gene,transcript,protein_change,score,pvalue,qvalue,info
MAP3K1,ENST00000399503,.,0.049,0.546837743919,0.931651334366,TYPE=oncogene
PBRM1,ENST00000394830,.,0.005,0.993226410051,0.997224906066,TYPE=oncogene
ATRX,ENST00000373344,.,0.01,0.975386260358,0.997224906066,TYPE=oncogene
CASP8,ENST00000358485,.,0.023,0.84747393745,0.988402543958,TYPE=oncogene
CDH1,ENST00000261769,.,0.025,0.822576851109,0.98826514227,TYPE=oncogene
PTEN,ENST00000371953,.,0.059,0.462101042502,0.907457136955,TYPE=oncogene
APC,ENST00000457016,.,0.015,0.937476610532,0.997224906066,TYPE=oncogene
CTNNB1,ENST00000349496,.,0.915,0.0,0.0,TYPE=oncogene
NF1,ENST00000358273,.,0.007,0.988158246458,0.997224906066,TYPE=oncogene
PIK3CA,ENST00000263967,.,0.931,0.0,0.0,TYPE=oncogene
IDH1,ENST00000415913,.,0.949,0.0,0.0,TYPE=oncogene
USP9X,ENST00000324545,.,0.014,0.946426089281,0.997224906066,TYPE=oncogene
FGFR3,ENST00000340107,.,0.952,0.0,0.0,TYPE=oncogene
ATM,ENST00000278616,.,0.019,0.895680299385,0.995229891885,TYPE=oncogene
STAG2,ENST00000218089,.,0.014,0.946426089281,0.997224906066,TYPE=oncogene
RB1,ENST00000267163,.,0.014,0.946426089281,0.997224906066,TYPE=oncogene
BAP1,ENST00000460680,.,0.017,0.927666399358,0.997224906066,TYPE=oncogene
SETD2,ENST00000409792,.,0.008,0.984592354985,0.997224906066,TYPE=oncogene
KANSL1,ENST00000262419,.,0.006,0.99099705961,0.997224906066,TYPE=oncogene
STK11,ENST00000326873,.,0.023,0.84747393745,0.988402543958,TYPE=oncogene
EPHA2,ENST00000358432,.,0.03,0.760716385993,0.98166264229,TYPE=oncogene
NSD1,ENST00000439151,.,0.014,0.946426089281,0.997224906066,TYPE=oncogene
BRAF,ENST00000288602,.,0.913,0.0,0.0,TYPE=oncogene
CCAR1,ENST00000265872,.,0.014,0.946426089281,0.997224906066,TYPE=oncogene
NAA15,ENST00000296543,.,0.015,0.937476610532,0.997224906066,TYPE=oncogene
KDM6A,ENST00000377967,.,0.011,0.975386260358,0.997224906066,TYPE=oncogene
CTCF,ENST00000264010,.,0.022,0.871900561347,0.995229891885,TYPE=oncogene
