,gene,score
0,NF1,6900.732494
1,SETD2,4166.462891
2,MEN1,4040.549898
3,ATM,3900.956444
4,TP53,2105.296663
5,SOCS2,1808.457126
6,CALR,1788.340408
7,PIGR,1766.940171
8,TRPM6,1760.872485
9,CCDC28A,1739.927339
10,UNC79,1735.456996
11,ATF7IP,1734.81556
12,COL6A3,1734.639277
13,SMCHD1,1733.683136
14,LMBRD2,1733.35713
15,RORC,1721.562169
16,TAPBP,1721.493179
17,ARID1A,1305.065102
18,KBTBD4,947.6101088
19,CDKN2A,777.5949233
20,PTEN,732.2798572
21,BRAF,611.2256914
22,KRAS,596.4439315
23,PBRM1,577.7959866
24,SMAD4,489.8506079
25,VHL,358.0543854
26,FSIP2,305.4480121
27,NOTCH1,302.4645871
28,APC,274.9808634
29,MAP3K1,266.8730733
30,SYCP2,255.3018696
31,PTCH1,251.9511575
32,CCND3,247.3267571
33,RB1,247.2508307
34,TET2,234.0893837
35,ZFP36L2,216.3984221
36,C6,213.105301
37,ALB,209.5403732
38,KDM6A,205.7700286
39,AXIN1,204.6803664
40,BCAR3,197.2268589
41,ARID2,195.9915888
42,PIK3CA,195.9159834
43,NFKBIE,195.6896294
44,GATA3,188.6847821
45,LRP1B,187.0538199
46,SENP5,185.5751751
47,APOB,182.065694
48,DAXX,180.7708872
49,ARID1B,167.383416
50,FLG,163.6223492
51,EYS,163.2290069
52,HNRNPR,163.1476976
53,UBTF,158.1636292
54,CACNA1G,151.086766
55,ATRX,150.6549283
56,CTNNB1,149.8423453
57,ZNF292,148.8838636
58,AMDHD2,148.8743755
59,SPCS3,146.5246676
60,CTDNEP1,144.3241625
61,KANSL1L,144.0448389
62,BAZ2A,143.7560071
63,ENTPD7,140.8738517
64,LMTK2,140.7393659
65,RPAP3,140.0626383
66,EZH2,139.9124603
67,RIOK2,139.6535337
68,SIX6,139.6005965
69,OR9A4,139.4385787
70,RASA2,139.3526304
71,RAN,139.2256149
72,IL18R1,139.0759843
73,SPOP,137.309047
74,TMEM44,132.4197856
75,EZR,131.6132708
76,CCDC112,131.4292653
77,ZNF221,130.8534102
78,SOX30,130.8440001
79,WDR48,130.4623281
80,HIST1H1C,129.5018369
81,CNST,128.8538164
82,IGLL5,127.554896
83,OS9,127.1393956
84,OR5D18,126.9050469
85,MED1,124.322968
86,NEDD4L,120.5853137
87,GSE1,119.2448182
88,TGFBR2,118.5448845
89,HMCN1,117.6799495
90,BAP1,117.2287004
91,ROS1,117.1337271
92,CSMD3,116.6464897
93,ASXL1,115.0610105
94,XIRP2,114.1951415
95,JAK2,113.8987113
96,TRANK1,113.7117592
97,MUC16,113.2892101
98,SMARCA4,111.3232697
99,SF3B1,111.1264741
100,RBM10,110.8099028
101,AHNAK2,110.3285247
102,COL5A3,109.7058387
103,GPT,108.5733746
104,TCF12,106.3152492
105,PHF6,106.3094198
106,NGF,105.8289304
107,BCL2,105.1293738
108,SAMD7,104.664667
109,ITPR2,104.5855231
110,SUPT20H,104.3607403
111,FOXA1,102.271579
112,MMP24,102.0488578
113,DAB1,100.9091306
114,PCBP1,100.5764931
115,GNA13,100.2994382
116,KRT31,99.31268512
117,ARHGEF37,98.97941876
118,FBXL5,98.19379188
119,BCOR,98.18348464
120,EXOC3,97.22988023
121,RGS22,97.02170542
122,EPHA7,96.73276932
123,REST,95.53298648
124,ACD,95.29026124
125,BIRC3,94.82083069
126,LRRK2,94.6065192
127,FAT1,94.58721179
128,TPO,93.54230808
129,PLK3,93.06779017
130,CACNA1E,91.56640595
131,EP300,91.34101838
132,CDH10,91.24465277
133,SLCO1B3,91.24462924
134,AHCTF1,90.56556274
135,MYC,90.40553723
136,ZNF676,90.27682611
137,CENPE,89.74099001
138,SCML2,88.9431132
139,ID3,88.284522
140,HEG1,88.10257319
141,NALCN,87.57779341
142,TENM3,87.23249992
143,ZNF226,87.19139669
144,TBX3,85.7085089
145,NOTCH2,84.65388576
146,IGFBP7,84.48035318
147,ZBTB7A,84.42034111
148,COL1A1,83.83733396
149,ACSS3,82.9353162
150,EPHA5,82.04802057
151,OR2J2,81.49454855
152,KCNH5,81.31077962
153,TBX4,80.6006134
154,PIK3R1,80.3989345
155,SLC12A9,79.15530982
156,DNAJC14,78.28079454
157,KIF1A,78.2171811
158,HERC1,78.11182851
159,CEP350,77.94595409
160,CBLB,77.6027681
161,DEPDC5,76.97413532
162,NDST4,76.92651858
163,COL5A2,76.44586792
164,RABEP1,76.38080679
165,CSMD1,75.67714573
166,ZNF804A,75.62875149
167,SULT1C3,75.29605821
168,STIM2,74.89285948
169,CLRN3,74.74337374
170,SI,74.54604395
171,EDN2,74.41625966
172,PEG3,74.38625662
173,ASB8,74.34103813
174,ESPN,73.79946722
175,ADAP2,73.28817548
176,CBFB,73.16973322
177,EPHA6,73.13238971
178,RNF43,72.79141212
179,CREBBP,72.72373807
180,RHOA,72.45717775
181,CDH1,72.41157468
182,KIF2A,72.11380172
183,MYO16,72.06551856
184,NFKB2,71.47514248
185,FMNL1,71.44581814
186,SLC25A12,71.3223792
187,SLC25A38,71.17710884
188,ZNF827,70.83026905
189,PLG,70.80632458
190,EIF5A,70.74560074
191,HNRNPU,70.16445944
192,CWC25,70.15058573
193,PCDH10,69.78553634
194,CDH4,69.71970465
195,DDX3X,69.52209003
196,SORL1,69.15154821
197,NLRP14,69.05615315
198,NCOR1,68.98863317
199,PRKCG,68.96766655
200,PRR14L,68.87484147
201,ADCK1,68.75873951
202,SPATA31D1,68.71869954
203,OLR1,68.62865784
204,SDK1,68.306706
205,XPO1,68.05918943
206,GRM3,67.818269
207,FBXO11,67.70188967
208,ZFHX3,67.6730066
209,HECTD1,67.33033006
210,GPR15,67.32830027
211,BIRC6,67.28441485
212,CHRNA10,67.16853361
213,BFSP2,66.88101301
214,ITIH6,66.68992032
215,BCAT1,66.29256893
216,TMEM132B,65.48320478
217,RP1,65.46424251
218,RCAN1,65.3282662
219,VSTM4,65.2702577
220,ZSCAN21,65.22837444
221,OR51B2,65.12061521
222,ZNF536,65.04673758
223,OR10G9,65.03527195
224,GSDMC,64.86587739
225,DMD,64.82169383
226,GPR75,64.74692946
227,FLNA,64.30907831
228,SNAPC1,64.20970855
229,PCDHA8,63.39828999
230,SLC26A2,63.27540119
231,SON,63.22167508
232,SLCO2B1,63.17173553
233,FAM3B,63.01082221
234,UPF2,62.80601468
235,SETD1A,62.6159847
236,DDR2,62.60074446
237,MAP3K13,62.52219413
238,RUNX2,62.49131883
