gene,score
A1CF,15.57703876
A2M,14.66496298
AACS,-8.872821776
AADACL2,48.29942451
AADAT,-6.929231528
AANAT,-0.8011839409999999
AARS2,-6.578050417999999
AASDHPPT,-4.872421867
AASS,-5.436054242999999
AATF,-7.520773396
ABAT,-6.380460482999999
ABCA1,7.2241442529999995
ABCA12,-7.895705636000001
ABCA3,33.86861765
ABCA4,-11.607183000000001
ABCB6,-4.465257475
ABCB8,-10.7508943
ABCC4,51.39838377
ABCC5,-10.29016656
ABCD3,-0.51626273
ABCD4,3.928437485
ABCF1,-7.467269979
ABHD1,-4.582939732
ABHD11,-5.644579907000001
ABHD12B,-4.567682571000001
ABHD14B,-2.7868232410000005
ABHD15,4.467469868999999
ABHD16A,-1.693421985
ABHD2,-4.272444426
ABHD4,-1.201611122
ABI1,-9.522849422
ABI3BP,-4.746626805
ABL1,-7.656236482000001
ABL2,-17.72374047
ABLIM1,11.30151008
ABRA,-3.435894195
ABRACL,5.587983552000001
ABTB1,-5.892955488999999
ACAD8,1.171735997
ACADL,-3.9178161510000002
ACADVL,-11.91666636
ACAP2,-6.111439412999999
ACAT1,-0.8332819220000001
ACAT2,-6.966689278
ACBD5,40.04107020000001
ACBD6,-4.984044405
ACCS,-5.052602388
ACE,-10.39138368
ACER1,2.228318967
ACER3,-3.88792725
ACHE,-5.081944082
ACIN1,-9.226951456
ACO2,2.775334669
ACOT11,-10.58329464
ACOT2,-8.531238104
ACOT8,-3.324076728
ACOX2,-9.006530323
ACP5,-5.799430393
ACP6,-4.825262563
ACPP,57.08478681
ACR,-7.471992508
ACRV1,-4.25554489
ACSBG1,-9.935162837
ACSF3,-6.677628831
ACSL1,11.519437199999999
ACSL3,-4.700335945
ACSL6,0.06241375
ACSM2A,-6.346078155
ACSM4,-8.615413585
ACSS1,-11.3551609
ACSS2,-2.8193263930000003
ACSS3,82.9353162
ACTA2,-3.362662764
ACTBL2,-4.935731198
ACTG1,20.35138097
ACTL9,-4.959545232
ACTN1,-13.03673274
ACTR2,-5.8181768929999995
ACTR3,5.68578996
ACVR1,-6.419276934
ACVR2A,56.3753343
ACY3,-5.401757298
ADAD1,-6.155493617
ADAM10,-3.985319342
ADAM17,36.37689472
ADAM22,4.5794199319999995
ADAM8,-13.03667355
ADAMTS1,-3.0911852389999996
ADAMTS14,-12.12478915
ADAMTS15,-10.27116526
ADAMTS17,-15.091455300000002
ADAMTS3,-14.12222581
ADAMTS6,-16.02734098
ADAMTS7,7.515046523
ADAMTSL3,13.80975797
ADARB2,-6.775946704
ADAT1,-6.02518192
ADCK2,-8.694181329
ADCY1,-6.065154893
ADCY10,9.662069658
ADCY2,-6.991764609
ADCY3,-17.89795604
ADCY7,-16.93328578
ADCYAP1,4.0512270710000005
ADCYAP1R1,9.381406968
ADD2,8.958715951
ADH1A,-5.656588807
ADI1,2.6043285640000002
ADIPOR1,51.58920064
ADIPOR2,-1.333538986
ADK,-6.042494776
ADNP,6.80384383
ADNP2,-0.25061724399999996
ADORA1,-1.7396808259999998
ADORA2A,-7.15343232
ADORA2B,-4.668583054
ADPGK,-7.881643755
ADPRHL1,-6.097969528999999
ADPRHL2,-5.920441539
ADPRM,-3.7072297610000002
ADRA1A,-8.576286593999999
ADRA1B,-0.383867604
ADRA1D,-8.332177156
ADRA2A,0.29426033
ADRB1,-4.670371483
ADRM1,8.038344827000001
AEN,3.454909745
AFAP1L1,-6.008550142000001
AFF1,-12.76306111
AFF3,8.256009094
AFF4,-5.483611357999999
AGAP2,-13.32838794
AGER,-4.110831548
AGL,-9.67893689
AGO3,-11.01530616
AGPAT1,-5.134790096000001
AGPAT2,-4.579812377
AGPAT5,-4.9306334110000005
AGR3,1.604716015
AGTPBP1,-9.464405417
AGTR1,7.280609302
AGTR2,11.49721259
AGXT,-5.404507214
AHI1,-21.19148216
AHSP,-1.9344673
AICDA,-0.143395518
AIF1,-2.553188552
AIF1L,-3.380615441
AIFM2,2.560930483
AIFM3,14.50795769
AIG1,-4.7285472010000005
AIMP2,-5.981704422999999
AIPL1,-6.4228972
AJAP1,8.788239523
AJUBA,8.955971822
AK3,1.11226143
AK5,-5.9637307360000005
AKAP1,-11.75200655
AKAP11,9.302995732000001
AKAP13,6.179781717999999
AKAP4,1.498876336
AKAP5,-6.233280618999999
AKAP6,-16.66594123
AKAP7,6.073381457000001
AKAP8,-11.70493061
AKAP9,-11.575618400000002
AKIRIN2,-2.380875825
AKR1C1,-4.940871892
AKR1C3,50.32500906
AKR7A3,-4.519555409
AKT1,7.748035731
AKT2,-8.407830878
AKT3,0.564559225
ALCAM,4.30005095
ALDH1B1,-0.36253197299999995
ALDH1L2,0.821413845
ALDH2,-2.062582716
ALDH3A2,-1.6487201340000002
ALDH3B2,-6.907806117000001
ALDH9A1,17.4770437
ALG1,-3.7132168460000003
ALG10,-6.20650286
ALG11,-2.468570579
ALG12,-7.470295899
ALG2,-7.2747567360000005
ALG3,46.92833367
ALK,-5.489007566000001
ALKBH6,13.54830506
ALLC,4.952099154
ALMS1,2.15822443
ALOXE3,-7.839490242999999
ALPI,-6.876066838
ALPK1,10.24333932
ALPK2,-31.70755865
ALS2CL,-14.22499924
ALX3,-5.071339561
AMBN,48.16244966
AMD1,32.79648647
AMDHD2,148.87437549999999
AMELX,-3.710680342
AMER1,-15.62230749
AMER2,-1.286762664
AMIGO1,1.645606381
AMN,-4.206079477
AMOTL1,31.63843298
AMOTL2,3.0021163910000004
AMPD2,-6.753574167999999
AMPH,17.02816289
AMT,-7.017327535
AMY2A,-8.096971983
AMZ2,-6.283123482000001
ANAPC13,-1.363805104
ANGEL1,-11.01911116
ANGPT2,-8.358628299
ANGPT4,-0.328796587
ANGPTL2,-8.443397986
ANGPTL4,-6.41801868
ANGPTL7,-6.344041536000001
ANK1,7.761136617999999
ANKEF1,-12.10591183
ANKFY1,-18.60363304
ANKH,-8.199753146
ANKHD1,-25.92115185
ANKMY2,-2.665558597
ANKRD10,-7.84191585
ANKRD12,13.66782704
ANKRD13A,-8.40801577
ANKRD20A4,-14.13766675
ANKRD26,-10.5179043
ANKRD27,-16.55659649
ANKRD33,-8.105880505
ANKRD36,-27.53032572
ANKRD40,9.193825576
ANKRD44,-16.75144478
ANKRD50,28.46451561
ANKRD9,-5.466453679
ANKS4B,0.182620913
ANKS6,-13.71256205
ANO1,-9.978239216
ANO3,-12.57477479
ANO7,-16.61368048
ANO9,0.772945145
ANP32E,35.2102816
ANPEP,-14.31844167
ANTXR1,-6.350225083
ANXA1,-5.717644312999999
ANXA11,12.78215137
ANXA13,-6.0150775460000006
ANXA3,-5.372617855
ANXA7,-8.492830947
ANXA9,-6.278983354
AOC2,3.8652598339999997
AOX1,-5.831099162
AP1G1,10.84476194
AP1S1,-2.9857260560000003
AP1S2,-1.924185999
AP1S3,1.14304928
AP2A1,-3.8701271989999997
AP2B1,-15.15039931
AP3D1,-16.85963306
AP3M2,-4.980822986000001
AP3S1,26.923942800000003
APBB1IP,-3.0753410860000003
APC,274.9808634
APH1B,-4.046785809
APLF,2.627847852
APLP1,-9.445622716
APMAP,0.45862757600000004
APOA2,-1.767698797
APOA5,2.594706729
APOB,182.065694
APOBEC1,9.625546847999999
APOBEC3B,-7.1107264070000005
APOBEC3F,-5.765918537999999
APOBEC3G,6.489093417
APOBEC3H,-3.22635515
APOC2,2.4981105759999997
APOC4,-2.326968857
APOD,-1.195459115
APOE,-5.501177331
APOF,-5.703575796
APOL6,-4.9049768369999995
APOLD1,5.051676586
APOM,-3.28111531
APOO,-0.539404211
APPL1,-11.18905833
APPL2,-10.31744605
APTX,1.232900858
AQP1,-5.503093783
AQP10,1.335676913
AQP3,-5.2558898130000005
AQP6,-4.925482118
AQP9,-4.372911895
AQR,20.96261487
AR,53.85490904
ARAF,5.590313171
ARAP2,3.404077338
ARF6,-1.9122612330000002
ARFGAP2,-9.469548402000001
ARFGAP3,5.564375409
ARFGEF2,1.633182999
ARFIP1,-6.936785786000001
ARFRP1,2.374672594
ARG2,-2.088676057
ARGFX,-2.313633092
ARHGAP11A,-0.732918871
ARHGAP17,-15.53836114
ARHGAP22,-8.07872313
ARHGAP24,-8.633953012000001
ARHGAP26,-9.34287964
ARHGAP29,-10.37194665
ARHGAP32,-25.23464461
ARHGAP35,43.0377739
ARHGAP5,-2.447969015
ARHGAP6,7.683829306
ARHGEF1,-7.849883285
ARHGEF10,-23.63901041
ARHGEF10L,-19.86081089
ARHGEF11,-1.360038588
ARHGEF12,-16.23810885
ARHGEF18,-20.61027591
ARHGEF2,-15.07062612
ARHGEF3,-10.67126737
ARHGEF35,-8.633221244
ARHGEF38,-8.896697427000001
ARID1A,1305.065102
ARID1B,167.38341599999998
ARID2,195.99158880000002
ARID3A,-7.850489725
ARID3B,8.33479736
ARID3C,4.216987883
ARID5B,-11.41360956
ARIH1,-9.784252084
ARIH2OS,-0.100430905
ARL1,-2.989306094
ARL10,-5.6965639
ARL14,-2.633788189
ARL6IP1,4.710003363
ARL6IP5,-2.247384152
ARL6IP6,-4.482061003
ARL8A,-3.323405667
ARMC1,11.98506485
ARMC12,-6.244229591
ARMC2,-14.41008324
ARMC4,3.9046527589999998
ARMC5,-10.21306559
ARMC9,41.35503415
ARMCX3,-6.434566161
ARMCX6,-5.460460317999999
ARMS2,0.396429333
ARNT,5.998172302
ARNT2,-3.088813285
ARPC1A,-5.718645792999999
ARR3,-1.565010745
ARRDC5,2.1180798259999998
ARSA,-8.258728805
ARSG,-5.83107619
ARV1,7.890601158
ARVCF,-16.15522459
ASAH2,-14.17026748
ASB15,3.19110701
ASB16,1.724035327
ASB18,-4.143785756000001
ASB4,-5.719825321
ASB6,9.060996436
ASB8,74.34103813
ASCC1,-7.880876751000001
ASCC3,-5.003301314
ASF1B,-2.9768194
ASGR1,1.288119905
ASIC1,-11.11310665
ASIC4,-11.03708366
ASIC5,-0.228677913
ASNA1,8.301245698999999
ASNSD1,-7.0844455889999995
ASPA,24.88137136
ASPG,4.095710065
ASPH,-8.342361079
ASPHD1,-5.398020027
ASPHD2,-4.985093147
ASPSCR1,-11.7977484
ASTN1,9.17860511
ASXL1,115.0610105
ATAD1,10.58138326
ATAD2B,25.63360826
ATCAY,49.24101445
ATF1,-0.806820422
ATF2,-3.42540206
ATF7IP,1734.8155600000002
ATG12,5.640568311
ATG4D,-7.968660959
ATG9A,6.639792732999999
ATIC,-9.025093498
ATL1,-9.04883048
ATL2,-11.29742653
ATL3,38.31325308
ATM,3900.956444
ATOH7,-2.604396158
ATP10B,-3.531444038
ATP11B,5.8563526910000006
ATP1A1,17.13970458
ATP1A3,32.83925956
ATP1A4,-3.304342006
ATP1B1,2.362607558
ATP1B2,-5.097719176
ATP2A1,-13.79718604
ATP2B2,-7.039174145
ATP2B3,-6.020912777
ATP6AP1,3.566140705
ATP6AP2,-3.069919247
ATP6V0A1,-10.68048371
ATP6V0C,4.813028863
ATP6V0D1,0.306978527
ATP6V0E1,-0.301345339
ATP6V1B1,-8.449180649
ATP6V1C2,-8.033427198
ATP6V1E1,-3.5381882310000003
ATP6V1E2,-2.109506208
ATP6V1G2,-2.089265691
ATP8A2,-12.56435589
ATP9A,-7.673732251000001
ATP9B,1.292185519
ATPAF1,-6.537061854
ATR,-7.354721369
ATRNL1,-14.97507174
ATRX,150.6549283
ATXN2,8.024195068
ATXN3,-6.170769831
ATXN7,-16.73031518
AURKAIP1,-2.8873503910000005
AURKC,12.09870946
AUTS2,-13.19521096
AVIL,-14.59005225
AVP,-2.939180855
AVPR1A,-6.11055383
