,gene,transcript,protein_change,score,pvalue,qvalue,info
0,TP53,.,.,.,16.0,6.982308e-14,.
1,PIK3CA,.,.,.,16.0,6.982308e-14,.
2,PTEN,.,.,.,16.0,6.982308e-14,.
3,BRAF,.,.,.,16.0,6.982308e-14,.
4,KRAS,.,.,.,16.0,6.982308e-14,.
5,ARID1A,.,.,.,16.0,6.982308e-14,.
6,IDH1,.,.,.,16.0,6.982308e-14,.
7,APC,.,.,.,16.0,6.982308e-14,.
8,CDKN2A,.,.,.,16.0,6.982308e-14,.
9,ATM,.,.,.,16.0,6.982308e-14,.
10,RB1,.,.,.,16.0,6.982308e-14,.
11,CTNNB1,.,.,.,16.0,6.982308e-14,.
12,FBXW7,.,.,.,16.0,6.982308e-14,.
13,SETD2,.,.,.,16.0,6.982308e-14,.
14,EP300,.,.,.,16.0,6.982308e-14,.
15,PIK3R1,.,.,.,16.0,6.982308e-14,.
16,NRAS,.,.,.,16.0,6.982308e-14,.
17,CIC,.,.,.,16.0,6.982308e-14,.
18,KEAP1,.,.,.,16.0,6.982308e-14,.
19,CDH1,.,.,.,16.0,6.982308e-14,.
20,SMAD4,.,.,.,16.0,6.982308e-14,.
21,STAG2,.,.,.,16.0,6.982308e-14,.
22,MAP3K1,.,.,.,16.0,6.982308e-14,.
23,CTCF,.,.,.,16.0,6.982308e-14,.
24,CASP8,.,.,.,16.0,6.982308e-14,.
25,HRAS,.,.,.,16.0,6.982308e-14,.
26,SMARCA4,.,.,.,15.954589779823815,7.19821e-14,.
27,RPL22,.,.,.,15.954589779823815,7.19821e-14,.
28,EGFR,.,.,.,15.653559784159834,1.3436660000000002e-13,.
29,NF2,.,.,.,15.653559784159834,1.3436660000000002e-13,.
30,BAP1,.,.,.,15.176438529440171,3.900966e-13,.
31,KDM6A,.,.,.,15.109491739809558,4.4089040000000003e-13,.
32,GATA3,.,.,.,15.000347270384491,5.496815e-13,.
33,NOTCH1,.,.,.,14.808461800028109,8.299113000000001e-13,.
34,ARHGAP35,.,.,.,14.592861926798497,1.3244709999999999e-12,.
35,SLC35B2,.,.,.,14.556649692916244,1.3996520000000001e-12,.
36,NF1,.,.,.,14.423110885792013,1.85208e-12,.
37,KMT2C,.,.,.,14.02517083109907,4.508353e-12,.
38,ATRX,.,.,.,13.958954494346607,5.1162660000000005e-12,.
39,VHL,.,.,.,13.649238305804948,1.017827e-11,.
40,SF3B1,.,.,.,13.544656673235536,1.263374e-11,.
41,FUBP1,.,.,.,13.394683099828855,1.741967e-11,.
42,PBRM1,.,.,.,13.371391015047358,1.7952e-11,.
43,NFE2L2,.,.,.,13.229495268319202,2.432341e-11,.
44,FAT1,.,.,.,12.98146176808848,4.210153e-11,.
45,CREBBP,.,.,.,12.914779371296385,4.802145e-11,.
46,KMT2D,.,.,.,12.880504918624645,5.085918e-11,.
47,STK11,.,.,.,12.836987193462294,5.504831e-11,.
48,BRCA2,.,.,.,12.801384970180484,5.853173000000001e-11,.
49,ELF3,.,.,.,12.730315706712867,6.755951999999999e-11,.
50,BRCA1,.,.,.,12.597990323275043,8.982802e-11,.
51,CHD4,.,.,.,12.39384648425441,1.409686e-10,.
52,DOCK2,.,.,.,12.242529646396342,1.959597e-10,.
53,TTBK2,.,.,.,11.802699313136294,5.295163e-10,.
54,SOS1,.,.,.,11.723247614478925,6.24255e-10,.
55,EIF4G1,.,.,.,11.432928794367815,1.1963430000000002e-09,.
56,BCOR,.,.,.,11.381022044168907,1.3245720000000003e-09,.
57,MTOR,.,.,.,11.339861197913713,1.4311429999999998e-09,.
58,GTF2I,.,.,.,11.259344536806564,1.693463e-09,.
59,PRKDC,.,.,.,11.162786870993843,2.07986e-09,.
60,NSD1,.,.,.,10.587539620575674,7.693126e-09,.
