gene,score
A1CF,0.005199159488212839
A2M,0.10279427951495614
AACS,0.03488282594526215
AADACL2,0.008474981368430397
AADAT,3.1026685259810217e-06
AANAT,0.003814543868086657
AARS2,0.06633344066365403
AASDHPPT,0.0022167585589324837
AASS,0.06836197506122788
AATF,0.014807291155421447
ABAT,0.036240414668293586
ABCA1,0.00245161237668245
ABCA12,0.0007123844285262693
ABCA3,2.03576301805569e-07
ABCA4,0.004072210135643323
ABCB6,0.04542213763350362
ABCB8,7.704391677654715e-06
ABCC4,0.0009140342756602898
ABCC5,0.031407479549268036
ABCD3,0.009158372537512444
ABCD4,0.0038721377814111267
ABCF1,0.049153231085702444
ABHD1,0.0158282371417859
ABHD11,2.415773805790349e-07
ABHD12B,0.045266198206186416
ABHD14B,0.04430542397102402
ABHD15,0.02551087755868361
ABHD16A,0.02231764554017262
ABHD17A,0.009484607504028872
ABHD2,2.714340649197173e-09
ABHD4,0.002259351831972417
ABI1,0.03720115225284888
ABI3BP,0.0
ABL1,0.03804304170957301
ABL2,0.035715760904983025
ABLIM1,0.022069778884824327
ABRA,9.917297394626969e-06
ABRACL,0.01650914166088514
ABTB1,6.232841372886781e-06
ACAD8,0.004570341067189739
ACADL,0.01916636276821834
ACADVL,0.014367185775410896
ACAP2,0.0028803894442403985
ACAT1,0.021001534241046137
ACAT2,1.2485995072586864e-07
ACBD5,0.005294044631925342
ACBD6,8.577451542012786e-07
ACCS,0.06837984152392225
ACE,1.2024794818897464e-06
ACER1,0.016823363297634956
ACER3,0.0034356476673257363
ACHE,5.428681566814928e-09
ACIN1,4.392158283434207e-06
ACKR3,8.414586013633476e-07
ACKR4,0.05773332609783195
ACO2,0.0
ACOT1,0.002730304736889554
ACOT11,3.7623366854421926e-06
ACOT2,1.8756740990043316e-06
ACOT8,0.012191246296332885
ACOX2,0.014957186468718754
ACP5,0.030827957155157175
ACP6,0.006913929806129398
ACPP,0.024195640388024017
ACR,7.854440084207316e-05
ACRV1,0.0
ACSBG1,0.04520937764468219
ACSF3,0.030188270181189306
ACSL1,2.092837214584096e-06
ACSL3,0.017487866981814114
ACSL6,0.03871333979641181
ACSM2A,0.04003352421153179
ACSM4,0.009127614798658626
ACSS1,1.1943124527274733e-07
ACSS2,0.11081824657926077
ACSS3,0.004229561669244205
ACTA2,0.021071334260787517
ACTBL2,0.0023850771787341982
ACTG1,0.04768323643813982
ACTL9,0.09296890708356872
ACTN1,0.014408308985820397
ACTR2,0.0063951940709295624
ACTR3,0.03448191938922496
ACVR1,0.010741170701969721
ACVR2A,0.32295904158284877
ACY3,0.011350805808424494
ADAD1,2.529883251474717e-06
ADAM10,0.0554056974666988
ADAM17,0.026902858599794008
ADAM22,0.0068801307955975895
ADAM8,7.383106603031502e-07
ADAMTS1,0.0030294360762353834
ADAMTS14,0.01529259687010169
ADAMTS15,0.006737500635455977
ADAMTS17,0.003110672631396141
ADAMTS3,0.022419911777843263
ADAMTS6,0.02166985719891797
ADAMTS7,5.07920885818524e-05
ADAMTSL3,0.007232406619308591
ADARB2,0.012651166341501128
ADAT1,0.03882735845734772
ADCK2,0.0005851135068885804
ADCY1,0.014020957129675658
ADCY10,0.013416707322868867
ADCY2,0.06009269744891065
ADCY3,5.428686452635015e-08
ADCY7,0.0005362581501623407
ADCYAP1,2.714340649197173e-09
ADCYAP1R1,0.010101869018979047
ADD2,0.012574182594633342
ADH1A,2.1714732781681285e-08
ADI1,0.00994381879982587
ADIPOR1,0.00409796596373101
ADIPOR2,0.0001383845204348487
ADK,0.01034414805917887
ADNP,0.11451531537922433
ADNP2,0.004880136737460895
ADORA1,0.014537868381114172
ADORA2A,0.005775038192146332
ADORA2B,0.017687531825884145
ADPGK,0.004564595218850281
ADPRHL1,0.00016064223126818032
ADPRHL2,1.3028865726473613e-07
ADPRM,0.007754380652028365
ADRA1A,0.011378836059431475
ADRA1B,0.004699704817996105
ADRA1D,1.099330168906777e-06
ADRA2A,7.491683198539291e-07
ADRB1,0.0029124135083217935
ADRBK1,0.002331201310714308
ADRM1,1.3705450450855839e-05
AEN,2.0765499206450666e-06
AFAP1L1,0.020013256070889412
AFF1,0.04646319792210963
AFF3,0.002128430911013671
AFF4,0.07698747469351151
AGAP2,0.012543249336479713
AGER,0.03845648988846327
AGL,8.880088960598494e-05
AGO3,0.08636568956900313
AGPAT1,0.0035451616663847627
AGPAT2,0.019142845939017952
AGPAT5,0.013000923508468475
AGPAT9,0.040639579260246965
AGR3,0.051520185364311376
AGTPBP1,0.04143180605542136
AGTR1,0.0026527019962281784
AGTR2,0.06298185631732843
AGXT,0.0018051442369173606
AHI1,0.029145925816296086
AHSP,0.001360915015519239
AICDA,0.030324683398443755
AIF1,0.012877354819554833
AIF1L,3.8000793771202654e-08
AIFM2,0.004950708438226556
AIFM3,0.013799573615082323
AIG1,0.024935962854153438
AIM1,0.006679968968852475
AIMP2,3.6781805959803977e-06
AIPL1,0.025848808289879857
AJAP1,0.00014190414506300806
AJUBA,0.07860381476504245
AK3,0.0001561619287175838
AK5,0.052641692989696696
AKAP1,4.831569112254603e-07
AKAP11,0.1123522462838003
AKAP13,0.18235983114415177
AKAP4,0.0012962257228754895
AKAP5,0.07673503822625696
AKAP6,0.03614542636514615
AKAP7,0.03405803775210521
AKAP8,0.019404006622368655
AKAP9,0.007468908070169662
AKIRIN2,0.006203826913916881
AKR1C1,0.0012588603838161838
AKR1C3,4.424411093459503e-07
AKR7A3,0.015938000841306713
AKT1,0.6059875110170663
AKT2,0.015090411643033935
AKT3,0.0013398100598001057
ALCAM,0.01035109061118668
ALDH1B1,0.015465614276795513
ALDH1L2,0.07478315780555611
ALDH2,0.014337915913333209
ALDH3A2,0.001127946253349705
ALDH3B2,0.002589793131528728
ALDH9A1,0.001098679422336173
ALG1,0.0008555118588901327
ALG10,0.10320071565257866
ALG11,0.003978628058101827
ALG12,0.047106828788797024
ALG1L,0.011803777820888572
ALG2,2.6129957544988853e-05
ALG3,0.010988786408050892
ALK,0.016358995187252836
ALKBH6,0.0030293875188940147
ALLC,0.012257141517053875
ALMS1,0.0046170080827527046
ALOXE3,0.019809301066362885
ALPI,0.023415476280047087
ALPK1,0.01797949036216747
ALPK2,0.04452829081734721
ALS2CL,0.0657956542836824
ALS2CR11,2.5786357348083683e-07
ALX3,0.003119425349865528
AMBN,0.004056959997723605
AMD1,0.014718415388425256
AMDHD2,1.0857364222380018e-08
AMELX,0.00623734358867836
AMER1,0.0
AMER2,0.0014731824780923849
AMIGO1,0.00010980788262466655
AMIGO3,2.5514920732262356e-07
AMN,0.0013489426858714689
AMOTL1,0.003523809464821389
AMOTL2,0.004550860216194627
AMPD2,5.428681566814928e-09
AMPH,0.07745277868883874
AMT,0.011850494466431435
AMY2A,9.581791126618256e-07
AMZ2,0.08812267992088446
ANAPC13,0.0002591580365163202
ANGEL1,0.006757439602843909
ANGPT2,0.03049772044366103
ANGPT4,0.02485984592222903
ANGPTL2,0.0027245453254713075
ANGPTL4,0.001717762091790908
ANGPTL7,0.001743073098034651
ANK1,0.01440623680792851
ANKEF1,0.029762895967789513
ANKFY1,0.006307172220823038
ANKH,0.00011299399621144082
ANKHD1,0.014183303534425078
ANKMY2,0.07164835182181792
ANKRD10,0.013916588221325774
ANKRD12,0.0007861742119019509
ANKRD13A,0.0020713231484917635
ANKRD20A4,0.0016636146994408532
ANKRD26,0.0919517903535183
ANKRD27,0.034643832544547004
ANKRD32,3.0619487945774194e-06
ANKRD33,0.021946494251316076
ANKRD36,0.0
ANKRD40,0.00131493767065329
ANKRD44,0.03746185393756811
ANKRD50,0.004882437110013006
ANKRD9,0.02298113945659828
ANKS4B,0.010462058441232155
ANKS6,0.000128455636565099
ANO1,0.00011393164063758462
ANO3,0.0023509959692772186
ANO7,0.06576749466556557
ANO9,0.11193421291688123
ANP32E,0.006161351403449385
ANPEP,0.005920197206857167
ANTXR1,0.0016543179029676858
ANXA1,0.00629025089776406
ANXA11,5.399360262340145e-06
ANXA13,0.018698978608470477
ANXA3,0.0314691578180938
ANXA7,0.08798202538354005
ANXA9,0.004151565764323935
AOC2,8.171394797425819e-06
AOX1,0.006835942047572906
AP1G1,0.0016222652062739807
AP1S1,0.16400643346932414
AP1S2,0.00522042406218543
AP1S3,2.5869131140646928e-05
AP2A1,0.009448233713697813
AP2B1,0.10047965960935575
AP3D1,0.013823272267683507
AP3M2,0.00383197457412085
AP3S1,0.004351574838986761
APBB1IP,0.01151648560940045
APC,1.0
APH1B,4.108004207047492e-05
APITD1,0.02170500993754862
APLF,0.04280293629357868
APLP1,0.006433124211983361
APMAP,0.031752864279517894
APOA2,0.00016331547576793569
APOA5,0.012120029264320716
APOB,2.257641333191195e-05
APOBEC1,1.2285170545830998e-05
APOBEC3B,2.0629066280644765e-07
APOBEC3F,0.010252951198272655
APOBEC3G,0.01931785702985627
APOBEC3H,0.0006030805542778907
APOC2,0.00023536278482682628
APOC4,0.00021240359065007413
APOD,0.06984363228306308
APOE,1.4549255067274588e-06
APOF,0.017839837087890175
APOL6,0.004024624769184236
APOLD1,1.492891386995232e-07
APOM,5.428681566814928e-09
APOO,0.0547842844647368
APPL1,0.04919188750505605
APPL2,0.026354751608637417
APTX,1.0857364222380018e-08
AQP1,0.0036064732460790233
AQP10,0.0009761297423940662
AQP11,0.01064558670135229
AQP12B,0.005054649965793179
AQP3,0.0065038970353137925
AQP6,0.10630221192940624
AQP9,0.03594775506148668
AQPEP,3.257228157715815e-07
AQR,0.05061999908458122
AR,0.0017396753246301726
ARAF,0.05095643076046592
ARAP2,3.6910257574417216e-05
AREL1,0.0249412417572046
ARF4,0.023220927824024733
ARF6,0.01987581562795952
ARFGAP2,0.02943649929381033
ARFGAP3,0.0007844251569405825
ARFGEF2,0.009669067693166672
ARFIP1,0.0052203780027319175
ARFRP1,0.0016558556076107151
ARG2,2.985776205498605e-08
ARGFX,0.004009155916966633
ARHGAP11A,0.009126805555018604
ARHGAP17,0.015134139327975268
ARHGAP22,2.714340649197173e-09
ARHGAP24,0.026531434116214482
ARHGAP26,0.051618207874174
ARHGAP29,0.004582132054567519
ARHGAP32,1.8186142353113155e-07
ARHGAP35,0.9120538704249058
ARHGAP5,0.0031431738911619467
ARHGAP6,0.0
ARHGEF1,0.0056039806777608185
ARHGEF10,8.496018765607835e-07
ARHGEF10L,0.012087638663428338
ARHGEF11,0.021984087726144613
ARHGEF12,0.027451633189945212
ARHGEF18,0.008722379668793929
ARHGEF2,0.0028630824663355126
ARHGEF3,0.021301355105651627
ARHGEF35,0.0127931561887938
ARHGEF38,0.00225225814062701
ARID1A,1.0
ARID1B,0.0008855523184758345
ARID2,0.2725511076874492
ARID3A,0.0
ARID3B,1.5553616748546044e-06
ARID3C,0.0012758452357628026
ARID5B,0.14416570283179378
ARIH1,7.095322900293922e-05
ARIH2OS,0.24472857473469448
ARL1,0.06128355175802245
ARL10,3.338659362418951e-07
ARL14,3.637240655520737e-07
ARL4C,0.08166734170346747
ARL6IP1,0.020991491736081575
ARL6IP4,0.008510849426539865
ARL6IP5,8.888205914660377e-06
ARL6IP6,2.6872104084917753e-07
ARL8A,0.04840014490208506
ARMC1,0.00600134635155674
ARMC12,0.011653298060384797
ARMC2,0.008395664109716122
ARMC4,0.005149749032251052
ARMC5,0.01089738448981362
ARMC9,0.010265468155329105
ARMCX3,0.0
ARMCX6,0.0
ARMS2,0.039467531232457005
ARNT,0.01768729747020795
ARNT2,0.04902476700910615
ARPC1A,0.0006702987917723878
ARPC5L,0.00626701710364519
ARPP19,1.2214559786208296e-07
ARR3,0.006195866003770317
ARRDC5,0.019880563635040732
ARSA,0.062108363873888926
ARSG,0.0030032247133425552
ARSK,0.01547115722070786
ARV1,0.12418202439251373
ARVCF,0.016983657844521535
ASAH2,0.0
ASB15,0.032718374818778595
ASB16,0.0037600521957424837
ASB18,1.1454758657273655e-06
ASB4,0.04691796221067909
ASB6,0.03516297750347907
ASB8,0.00012446055838485968
ASCC1,0.010407670811127841
ASCC3,0.003990469721926361
ASF1A,0.0263640560323645
ASF1B,4.4515549423660993e-07
ASGR1,0.002317723168302888
ASIC1,0.0017868422436001464
ASIC4,0.005566877658690013
ASIC5,0.029079450651557145
ASNA1,0.011791671139712172
ASNSD1,0.006069317129233635
ASPA,0.02273286206169446
ASPG,0.016143716021749955
ASPH,0.0
ASPHD1,0.002315272509644497
ASPHD2,0.026926190560040367
ASPSCR1,0.007135587266036339
ASTN1,0.02347456881993705
ASXL1,0.21420375622311766
ASXL2,0.23303399097962654
ATAD1,1.0966157185937818e-06
ATAD2B,0.06365335300627048
ATCAY,0.00042493559192791297
ATF1,0.0031927026073603126
ATF2,0.044604415530064175
ATF7IP,0.16581944622256176
ATG12,0.03384249955886063
ATG4D,0.0041777674549425695
ATG9A,0.0019516678071925335
ATG9B,0.0004608355979243178
ATIC,0.0
ATL1,0.041904471675026166
ATL2,0.024936302958717075
ATL3,6.623071650836964e-07
ATM,1.0
ATOH7,1.3680620934527733e-06
ATP10B,0.009566272918758015
ATP11B,0.016457837453268915
ATP1A1,0.019945962807994228
ATP1A3,0.06824748400240566
ATP1A4,0.03951754785275676
ATP1B1,0.01592458123667969
ATP1B2,4.590572264767193e-05
ATP2A1,0.027601904964635857
ATP2B2,0.013188310669868041
ATP2B3,0.0
ATP5D,0.07035659791090695
ATP5G1,0.007680286444832772
ATP5G2,0.02241361343586944
ATP5G3,0.0008612494338230401
ATP5L,0.0055670809252008294
ATP5L2,2.0900502408479156e-07
ATP5O,0.0217125593802766
ATP6AP1,0.004890294937320461
ATP6AP2,0.006596720099109144
ATP6V0A1,0.054225723658186745
ATP6V0C,0.00012549131408091978
ATP6V0D1,3.230084428213446e-07
ATP6V0E1,5.871764847801536e-05
ATP6V1B1,0.07129732476728023
ATP6V1C2,0.0980739366661314
ATP6V1E1,5.366781715867682e-06
ATP6V1E2,4.41659131230241e-06
ATP6V1G2,0.003994699016765914
ATP8A2,0.08639680062465312
ATP9A,0.01440598298854993
ATP9B,0.02664668891922096
ATPAF1,0.022521687293750817
ATR,0.6343572494529585
ATRAID,6.894512460910496e-07
ATRNL1,0.09985353639601104
ATRX,0.8724346558966629
ATXN2,0.002856938971065808
ATXN3,0.05520867516029715
ATXN7,0.003778605341197101
AUP1,0.005807568654485185
AURKAIP1,0.04848075259878453
AURKC,0.020992403468061586
AUTS2,5.428681566814928e-09
AVIL,0.0217200988391814
AVP,5.073576557234768e-06
AVPR1A,0.0021920850507760516
AWAT1,1.647654697547113e-06
AXIN1,0.24461920223352476
AXIN2,0.032994016773191415
AXL,0.004762557902327223
AZI2,0.0
AZU1,0.006700755128835357
B2M,0.029893451121519074
B3GALNT1,0.0016054596634275675
B3GALT4,0.003844243401822815
B3GALT5,0.0
B3GALTL,0.022016168074098286
B3GAT2,0.0
B3GNT2,0.001635607008015456
B3GNT4,0.004878561029789771
B3GNT7,4.936442827792333e-05
B4GALNT2,0.038128349753797704
B4GALT1,3.474378091302738e-07
B4GALT2,8.685903535165168e-08
B4GALT3,0.005089857258207586
B4GALT4,4.342979562966017e-07
B9D2,0.00011887116286221557
BACH2,0.0671903371455194
BAG1,0.013019922038125565
BAG2,0.01894666237525551
BAHD1,0.020726427740311755
BAI1,0.04220950938231342
BAI2,0.0015463513880060217
BAI3,7.980278415628183e-07
BAIAP2,0.0009656112446297114
BAIAP2L1,0.007977789916882161
BAMBI,0.0010629566706623441
BANF1,6.755163575888329e-05
BANK1,0.022159628214934873
BANP,2.5514920732262356e-07
BAP1,0.9485274080900107
BARD1,0.007564974582151541
BARHL2,0.009142398188465984
BARX1,0.0
BATF,0.004398227598200487
BATF2,2.714340649197173e-09
BAX,0.004909279447227108
BAZ1A,0.0009323468571244929
BAZ1B,0.008124521854120175
BAZ2A,0.01334110535185175
BBC3,0.018020972716944344
BBS1,0.008503771530305402
BBS4,0.03473338797206921
BBS9,0.01199705716678171
BCAM,0.03274505335508052
BCAN,0.051024978046129016
BCAS1,0.016705185748776816
BCAT2,0.0005718095768436472
BCCIP,6.637614424647711e-05
BCHE,0.10680711801427861
BCKDK,0.0021601232235531624
BCL10,0.03086369488869117
BCL11A,0.0175353254655777
BCL11B,0.0
BCL2,0.009611776920601103
BCL2A1,1.7372335196773555e-06
BCL2L11,0.1364181494267255
BCL2L12,0.016839430480317056
BCL2L13,0.009308321879758469
BCL2L15,0.011611748452634171
BCL3,0.008341228879333345
BCL6,0.03096899096063993
BCL7A,0.005327020657593019
BCL7B,0.00017765281769453582
BCL9,0.011154585681467159
BCL9L,8.756184589654087e-05
BCLAF1,0.018962377908895926
BCOR,0.7113138777605568
BCORL1,0.24869822012527126
BCR,0.000707706261217324
BCS1L,0.03313045668201578
BDKRB2,0.004429292027388898
BDP1,0.0032085408423598635
BECN1,7.40030094227999e-06
BEND3,0.03825211688056964
BEND5,0.021814100846755908
BEND6,0.020760343912449183
BEST4,0.029872377111531886
BET1L,0.0259160658493009
BEX1,0.002516122163592799
BEX2,0.0
BEX4,0.05720788442562787
BFSP2,0.024473608676965217
BGN,0.004797096599752945
BHLHB9,0.0033449065382044766
BHLHE22,0.00387088872677309
BHLHE23,0.001712002499010622
BICD2,0.0006110080358092638
BID,1.2866278959612534e-06
BIK,0.0023005968377592485
BIRC3,0.030646486849685836
BIRC5,7.057294505316259e-08
BIRC6,0.05054767698693348
BIRC7,0.01044919921930945
BIRC8,0.0
BLOC1S5,0.024889985955995845
BLZF1,1.1755639696212307e-05
BMP15,0.00013177486200613794
BMP3,0.008857531758522736
BMP5,0.08759602352060801
BMP8A,0.0004146670820662418
BMP8B,0.005908930845354513
BMPER,0.00015705465395799486
BMPR2,0.027430992011949012
BMS1,0.01356025563216158
BMX,0.03652274104647947
BNIP3,1.9800191040080873e-05
BOD1L1,0.0006729587099705946
BOD1L2,3.1486532560229034e-07
BOLA1,0.048282710650437224
BORA,0.00924177341162926
BPIFA1,0.005919876499794912
BPIFB1,0.04891243590412735
BPIFB3,0.0017154517468902508
BPTF,0.006757526643883069
BRAF,1.0
BRAP,1.0058495047860502e-05
BRCA1,0.7873743952046902
BRCA2,0.8000865606362804
BRCC3,0.0
BRD2,0.00665293431947939
BRD3,3.1648653656630876e-05
BRD4,1.5200349427767678e-07
BRF1,0.0018706144073567532
BRI3BP,0.0031773160602954265
BRMS1,0.0314754406832133
BROX,0.03248156032209911
BRWD1,0.1678642391544909
BSCL2,0.02429949951615925
BSDC1,0.05290646438237534
BSND,0.012061995267877898
BTBD1,0.037802774204304466
BTBD10,0.0704428880763529
BTBD11,0.17550140663327485
BTBD16,0.025668944509317324
BTBD17,0.027291206982204805
BTBD3,0.005756126496062909
BTBD7,0.007844244961748693
BTBD9,0.016800676529744027
BTC,0.02711305587222212
BTD,1.8322552498989046e-05
BTF3,0.07386356312098492
BTF3L4,0.1049243788070073
BTG1,0.02697700637853624
BTG3,0.023774101243246994
BTK,0.03555470777847181
BTLA,0.0
BTN2A1,0.05363548997266669
BTN3A2,4.614382792430549e-08
BTNL2,0.0447234034474694
BTNL3,0.0022422563839233833
BUB1,0.0002102972109526539
BUB1B,0.008482326303805238
BUB3,0.060343216381206224
BVES,0.0014064758132211615
BZRAP1,0.01697871054857145
C10orf10,0.013453157106256703
C10orf11,0.03677543069874522
C10orf111,0.0174421066917922
C10orf128,0.005857316617629811
C10orf2,0.009028568820420092
C10orf25,0.007117640710723938
C10orf32,2.7143418691445374e-08
C10orf53,0.0023561171173809405
C10orf88,0.039328641138344785
C10orf90,0.040896868691100194
C11orf16,0.013279646923515291
C11orf24,0.020270571610444276
C11orf40,0.03858109109978263
C11orf49,0.04556339720596545
C11orf71,0.0014223633757573105
C11orf74,0.02819048604430522
C11orf84,0.048091466385123495
C11orf85,0.0033731005202570076
C11orf87,0.0
C12orf10,0.0016059636207543756
C12orf29,5.428681566814928e-09
C12orf42,0.0034243873457684448
C12orf45,0.03205511589662853
C12orf5,0.003754335056664661
C12orf54,0.0013184280075035214
C12orf56,0.01755382009785757
C12orf57,0.010824705550146264
C12orf60,0.0002462128263902322
C12orf66,0.011500110875998731
C12orf77,1.0314689925517153e-06
C14orf142,1.6286091929562198e-07
C14orf166,5.193155135390204e-05
C14orf39,0.0187359297489561
C14orf79,0.017169260575667415
C14orf93,0.008624832336923117
C15orf26,0.03870198568919058
C15orf39,0.1171068207294974
C15orf48,0.007282783006859753
C15orf54,0.009429248690683172
C16orf58,0.0071219489191835465
C16orf59,1.0400630869142095e-05
C16orf62,0.015058300201162157
C16orf71,1.8292674608187953e-05
C16orf87,0.00010424875111080185
C16orf91,0.005253722461779644
C16orf93,0.0015071855920400028
C17orf102,1.04775565940591e-06
C17orf104,0.0018878992359797075
C17orf47,0.008490615855286198
C17orf50,0.002851481263462136
C17orf53,0.001880675037970621
C17orf59,0.0
C17orf70,0.010031620383454856
C17orf75,0.011275242903292447
C17orf80,0.027039491527067975
C17orf97,0.0
C18orf25,6.785859762111004e-08
C18orf54,0.001687696720229095
C19orf12,0.0031182469934453476
C19orf40,0.04931097644673004
C19orf45,0.0007514991423025462
C19orf52,0.09435481818952703
C19orf53,0.009573857416971428
C19orf54,1.6828963343472507e-07
C19orf70,0.027913953613134136
C19orf80,7.654548173160354e-07
C1GALT1,0.008778399361901421
C1QA,0.001392194667949823
C1QL1,0.013662483963994606
C1QL2,2.80405858091097e-06
C1QTNF2,8.768736080546316e-06
C1QTNF5,0.004819487679562977
C1QTNF7,0.0
C1QTNF8,0.006221298618841196
C1S,0.03298470965796124
C1orf101,0.016256306911887647
C1orf109,0.009908330207200658
C1orf110,0.026801263237823707
C1orf115,3.528644959335786e-08
C1orf122,0.0316585581187597
C1orf127,0.06878563128945187
C1orf141,0.0
C1orf158,0.019250244695868057
C1orf159,0.051270097379995494
C1orf168,0.08028031318859392
C1orf174,0.05202671758998417
C1orf177,0.06969437334804868
C1orf226,0.0
C1orf52,0.030873140350643688
C1orf54,0.0567490651856761
C1orf56,0.005907247030652425
C1orf94,7.60016407345877e-08
C1orf95,0.005425941166201023
C20orf144,0.0699232301961418
C20orf195,0.013822125009343603
C21orf58,0.012073354992414204
C21orf59,0.009590976667364812
C21orf62,0.016093087421790258
C21orf91,0.007697127618030261
C22orf24,0.01781868691728972
C22orf29,0.004401732423286148
C22orf31,5.1930301284260755e-06
C22orf39,0.0
C2CD2L,0.0438394749867539
C2CD4A,8.143022758880367e-09
C2CD5,0.00620076028859262
C2orf16,0.005488722972808983
C2orf47,0.010801754905240737
C2orf61,0.007513159328685172
C2orf66,4.302570699088879e-06
C2orf73,0.002009108682796121
C3,0.18483725870332623
C3orf14,0.005023691560991992
C3orf22,0.0077241803939089955
C3orf62,0.048505103225391755
C3orf70,0.05911626113822445
C4BPA,0.0012754099586812838
C4orf32,4.342979562966017e-07
C4orf33,0.005318797658911734
C4orf36,0.007125947237876612
C4orf45,1.1972881871996124e-05
C4orf51,0.00736924160630935
C5AR2,0.03952592979462516
C5orf15,5.671564139711401e-05
C5orf22,0.0036996218222861256
C5orf28,0.01525900252238417
C5orf64,0.00029597808645922993
C6orf1,0.15432801503092897
C6orf10,0.0012717487865726454
C6orf118,0.0037005519378402033
C6orf120,5.428681566814928e-09
C6orf15,0.030868290253973512
C6orf222,0.05437940464374401
C6orf223,0.0010349553753919883
C6orf226,0.050424962922535246
C6orf48,0.002464767801828067
C6orf58,0.00041939976225538174
C6orf62,0.040416535145379
C7orf25,0.00447292589765317
C7orf31,2.9315035829886835e-07
C7orf55,0.0018247097796577302
C7orf60,0.006769878856467719
C7orf61,0.01672027848442072
C7orf62,0.016998825022362777
C7orf66,0.0
C8B,0.03919776182940443
C8G,0.02141129954948397
C8orf22,0.03906258820129672
C8orf37,0.01813731239793145
