,gene,score
0,RNF40,3.00043
1,MAML1,3.00043
2,BCL7C,3.00043
3,DYRK1B,3.00043
4,KAT2B,3.00043
5,USP26,3.00043
6,DPF3,3.00043
7,MAFK,3.00043
8,GALNT12,3.00043
9,MIS12,3.00043
10,TP53,3.00043
11,TAF1,3.00043
12,SS18,3.00043
13,SP1,3.00043
14,SMARCD3,3.00043
15,SMARCB1,3.00043
16,SMARCA4,3.00043
17,BCL7A,3.00043
18,KIAA1430,3.00043
19,BAAT,3.00043
20,NXF3,3.00043
21,BRK1,3.00043
22,MBD5,3.00043
23,CHD7,3.00043
24,PBRM1,3.00043
25,PPP1CA,3.00043
26,WHSC1L1,3.00043
27,PML,3.00043
28,ING4,3.00043
29,ANGPTL4,3.00043
30,PA2G4,3.00043
31,MDM2,3.00043
32,SMAD3,3.00043
33,ARHGDIB,3.00043
34,ING1,3.00043
35,KCNK18,3.00043
36,HIF1A,3.00043
37,HDAC1,3.00043
38,SERTAD1,3.00043
39,BRD7,3.00043
40,BBC3,3.00043
41,AATF,3.00043
42,GATA1,3.00043
43,KBTBD2,3.00043
44,TDRD7,3.00043
45,GGA3,3.00043
46,FOXO3,3.00043
47,ATF5,3.00043
48,ELAVL1,3.00043
49,EGR1,3.00043
50,E4F1,3.00043
51,ZCCHC12,3.00043
52,DAXX,3.00043
53,CUX1,3.00043
54,HIPK4,3.00043
55,MBD6,3.00043
56,KLF1,3.00043
57,CEBPD,3.00043
58,CITED2,3.00043
59,NAT2,3.00043
60,CDKN1C,3.00043
61,SAP25,3.00043
62,CDC6,2.6994
63,PPP1R26,2.6994
64,CCNE1,2.6994
65,TP63,2.6994
66,HIST3H3,2.6994
67,BAG6,2.6994
68,MAPKAPK3,2.6994
69,WRN,2.6994
70,SMARCE1,2.6994
71,SMARCD1,2.6994
72,SMARCC2,2.6994
73,SMARCC1,2.6994
74,SKP2,2.6994
75,RASA1,2.6994
76,RAP1GAP,2.6994
77,IRGC,2.6994
78,PRLR,2.6994
79,MAP2K1,2.6994
80,PHF10,2.6994
81,RIN2,2.6994
82,POLR2A,2.6994
83,CXXC5,2.6994
84,MTR,2.6994
85,AR,2.6994
86,FOXK2,2.6994
87,GC,2.6994
88,POU2F3,2.6994
89,CRB1,2.6994
90,CRTC1,2.6994
91,NCOA6,2.6994
92,FBP1,2.6994
93,ARID2,2.6994
94,E2F1,2.6994
95,DYRK1A,2.6994
96,RBBP9,2.6994
97,KAT5,2.6994
98,CDKN2C,2.6994
99,CDK9,2.6994
100,CDK6,2.6994
101,MBD4,2.52331
102,PPFIA3,2.52331
103,XPA,2.52331
104,TFF1,2.52331
105,KLF5,2.52331
106,ST14,2.52331
107,SSR2,2.52331
108,FAM20C,2.52331
109,PDE4B,2.52331
110,NEUROG1,2.52331
111,MFAP2,2.52331
112,SMAD1,2.52331
113,C3ORF62,2.52331
114,ACAA1,2.52331
115,KDM2A,2.52331
116,FOXK1,2.52331
117,AKT1,2.52331
118,ADAMTS18,2.52331
119,CYP17A1,2.52331
120,AKAP13,2.52331
121,CBX1,2.52331
122,NCKAP1,2.52331
123,IRF9,2.52331
124,USP6NL,2.39837
125,BCL7B,2.39837
126,PCED1B,2.39837
127,CCND2,2.39837
128,TMEFF1,2.39837
129,HMGA2,2.39837
130,ZBED2,2.39837
131,CDK11A,2.39837
132,TGFB1,2.39837
133,CCND1,2.39837
134,CDK14,2.39837
135,PCDH1,2.39837
136,NOTCH1,2.39837
137,NFE2,2.39837
138,FOXA3,2.39837
139,ABHD12B,2.39837
140,MAPK14,2.39837
141,KDM5B,2.39837
142,CEBPB,2.39837
143,CDK4,2.39837
144,CACNA1I,2.30146
145,DGKZ,2.30146
146,ELMOD3,2.30146
147,METRN,2.30146
148,FZD5,2.30146
149,VDR,2.30146
150,TFDP1,2.30146
151,ZEB1,2.30146
152,BRCA1,2.30146
153,SREBF1,2.30146
154,DCLRE1C,2.30146
155,KDM5A,2.30146
156,RARA,2.30146
157,NLRC4,2.30146
158,CDKN2AIP,2.30146
159,STX17,2.30146
160,XAF1,2.30146
161,GMNN,2.30146
162,HBQ1,2.30146
163,LIN9,2.30146
164,HBP1,2.30146
165,SNW1,2.30146
166,ZNF510,2.30146
167,E2F5,2.30146
168,ZNF558,2.30146
169,CCDC180,2.30146
170,HELZ,2.22228
171,PROM1,2.22228
172,ENC1,2.22228
173,MAML2,2.22228
174,YY1,2.22228
175,C4A,2.22228
176,TMBIM1,2.22228
177,RPS6KA1,2.22228
178,ARID4A,2.22228
179,RAD17,2.22228
180,IRF5,2.22228
181,GDPD1,2.22228
182,STAP1,2.22228
183,CIC,2.22228
184,CTBP1,2.22228
185,CREB1,2.22228
186,IL24,2.22228
187,AKAP3,2.22228
188,CARM1,2.22228
189,ATP8A1,2.22228
190,ASXL3,2.15534
191,CDK5RAP3,2.15534
192,TMOD1,2.15534
193,SNAI1,2.15534
194,SOWAHC,2.15534
195,RBBP8,2.15534
196,PDXP,2.15534
197,SMYD2,2.15534
198,PRTN3,2.15534
199,MAPK8,2.15534
200,MYCN,2.15534
201,MAFA,2.15534
202,DPY19L4,2.15534
203,GGA1,2.15534
204,E2F4,2.15534
205,CRABP2,2.15534
206,RASSF8,2.15534
207,DCLRE1A,2.09734
208,ARHGEF10,2.09734
209,SETD7,2.09734
210,ZBTB17,2.09734
211,DPF2,2.09734
212,TRERF1,2.09734
213,SNRK,2.09734
214,BNC2,2.09734
215,SIX4,2.09734
216,SYCP3,2.09734
217,KCNMA1,2.09734
218,FAM89A,2.09734
219,INHBB,2.09734
220,HOXD10,2.09734
221,RSPO1,2.09734
222,EFNA2,2.09734
223,ZNF420,2.09734
224,PAXBP1,2.04619
225,ACTL6A,2.04619
226,RASAL1,2.04619
227,POLR3GL,2.04619
228,CASP8,2.04619
229,HIST1H3J,2.04619
230,LRP8,2.04619
231,CA8,2.04619
232,TGFB2,2.04619
233,TNN,2.04619
234,RAP2A,2.04619
235,HIF1AN,2.04619
236,SETD4,2.04619
237,ZBTB7A,2.04619
238,PAX2,2.04619
239,INHA,2.04619
240,KLK3,2.04619
241,TBX21,2.04619
242,ARHGEF12,2.04619
243,AHR,2.04619
244,THAP5,2.04619
245,ZER1,2.04619
246,CDC27,2.00043
247,TSC22D2,2.00043
248,NMI,2.00043
249,ACVR1,2.00043
250,NAV2,2.00043
251,CCND3,2.00043
252,LIPF,2.00043
253,FAM104A,2.00043
254,CDC45,2.00043
255,ARID1A,2.00043
