gene,score
A1CF,0.24915500000000002
A2M,0.338622
AACS,0.618417
AADAT,0.481921
AANAT,0.590501
AARS2,0.404938
AASDHPPT,0.42524700000000004
AASS,0.191548
AATF,3.0004299999999997
ABAT,0.057434400000000004
ABCA1,0.311126
ABCA3,0.21653000000000003
ABCA4,1.18089
ABCB6,0.108339
ABCB8,0.348188
ABCC4,0.0461915
ABCC5,1.26007
ABCD3,0.170487
ABCD4,0.12191199999999999
ABCF1,0.193576
ABHD1,0.18154800000000001
ABHD11,0.416103
ABHD12B,2.39837
ABHD14B,0.0328861
ABHD15,0.050069199999999994
ABHD16A,0.860555
ABHD4,0.36194499999999996
ABI1,0.395129
ABI3BP,0.310238
ABL1,1.56907
ABL2,0.5990340000000001
ABLIM1,0.559525
ABRA,0.16284500000000002
ABRACL,0.254579
ABTB1,0.31648699999999996
ACAD8,0.190874
ACADL,0.101161
ACADVL,1.7699900000000002
ACAP2,0.226647
ACAT1,0.00611692
ACAT2,0.272892
ACBD5,0.9670110000000001
ACBD6,0.00479888
ACCS,0.03996330000000001
ACE,0.692938
ACER1,0.932249
ACER3,0.143705
ACHE,0.043305800000000005
ACIN1,0.07203810000000001
ACO2,0.360948
ACOT1,0.0366462
ACOT11,0.0380647
ACOT2,0.0876807
ACOT8,0.23253600000000002
ACOX2,0.827248
ACP5,0.692938
ACP6,0.108896
ACPP,0.186853
ACR,0.836082
ACSBG1,0.0787475
ACSF3,0.16410999999999998
ACSL1,0.11734100000000001
ACSL3,0.116773
ACSL6,0.137706
ACSS1,0.012321200000000001
ACSS2,0.18752
ACSS3,0.308469
ACTA2,0.276978
ACTBL2,0.021797099999999996
ACTG1,1.05595
ACTN1,0.376152
ACTR2,0.3511
ACTR3,0.377185
ACVR1,2.0004299999999997
ACVR2A,0.896631
ACY3,0.36696599999999996
ADAM10,0.613045
ADAM17,0.963008
ADAM22,1.56907
ADAM8,0.09356039999999999
ADAMTS1,0.510476
ADAMTS17,0.10778299999999999
ADAMTS3,0.09302260000000001
ADAMTS6,0.133556
ADAMTSL3,1.24456
ADARB2,0.000869
ADAT1,1.11394
ADCK2,0.00876506
ADCY2,0.07409160000000001
ADCY3,0.9551120000000001
ADCY7,0.09843110000000001
ADCYAP1,0.278623
ADCYAP1R1,0.747581
ADD2,0.0725506
ADH1A,0.46513999999999994
ADI1,0.156578
ADIPOR1,0.0333543
ADIPOR2,0.245321
ADK,1.01366
ADNP,1.22958
ADNP2,0.910529
ADORA1,0.49528500000000003
ADORA2A,1.03195
ADORA2B,0.190201
ADPGK,0.014558700000000003
ADPRHL2,0.031951099999999996
ADRA1A,0.091949
ADRA1B,1.1875200000000001
ADRA1D,0.260071
ADRA2A,0.987597
ADRB1,0.6166189999999999
ADRBK1,0.37822
ADRM1,0.019522099999999997
AEN,0.0639203
AFAP1L1,0.329262
AFF1,0.5990340000000001
AFF3,0.38659299999999996
AFF4,0.25302199999999997
AGAP2,1.16792
AGER,0.839067
AGL,0.215104
AGO3,0.699405
AGPAT1,0.510476
AGPAT2,0.312015
AGPAT5,0.0222535
AGPAT9,0.276978
AGR3,1.25225
AGTPBP1,0.7148770000000001
AGTR1,0.18089
AGTR2,0.159074
AGXT,0.16601300000000002
AHI1,0.0559513
AHSP,0.242279
AICDA,0.11338
AIF1,0.0
AIF1L,0.17113
AIFM2,0.225917
AIFM3,0.0231678
AIG1,0.0735773
AIM1,1.04139
AIMP2,0.0962596
AIPL1,0.147954
AJAP1,0.947356
AJUBA,0.125373
AK3,0.0715263
AK5,0.848146
AKAP1,0.132378
AKAP11,0.258495
AKAP13,2.52331
AKAP4,1.2151
AKAP5,0.22083699999999998
AKAP6,0.205249
AKAP7,1.22958
AKAP8,0.914075
AKAP9,0.00655716
AKIRIN2,0.0599175
AKR1C1,0.524763
AKR1C3,0.5175609999999999
AKR7A3,0.22228299999999998
AKT1,2.52331
AKT2,0.440528
AKT3,0.282763
ALCAM,0.428726
ALDH1B1,0.08240360000000001
ALDH1L2,0.527678
ALDH2,0.228846
ALDH3A2,0.010984200000000001
ALDH9A1,0.310238
ALG1,0.705968
ALG10,0.20455399999999999
ALG11,0.21014899999999997
ALG12,0.376152
ALG2,0.225917
ALG3,0.258495
ALK,0.9248879999999999
ALLC,0.5062800000000001
ALMS1,0.16284500000000002
ALOXE3,0.192223
ALPI,0.5486479999999999
ALPK1,0.44655100000000003
ALS2CL,0.8831629999999999
ALS2CR11,0.101161
ALX3,0.5723
AMBN,0.112817
AMD1,0.18818900000000002
AMDHD2,0.10170900000000001
AMELX,0.570682
AMER1,0.788247
AMER2,1.2928600000000001
AMIGO1,0.0761547
AMIGO3,0.0296224
AMN,0.24379800000000001
AMOTL1,0.39084
AMOTL2,0.11507300000000001
AMPD2,0.116773
AMPH,0.23253600000000002
AMT,0.151014
AMY2A,0.21796100000000002
AMZ2,0.914075
ANAPC13,0.5938939999999999
ANGEL1,0.665981
ANGPT2,0.971051
ANGPT4,1.85431
ANGPTL2,0.690804
ANGPTL4,3.0004299999999997
ANGPTL7,0.28610399999999997
ANK1,0.476688
ANKEF1,0.43106099999999997
ANKFY1,0.215104
ANKH,0.10390799999999999
ANKHD1,0.46513999999999994
ANKMY2,0.255359
ANKRD10,0.9961129999999999
ANKRD12,0.38659299999999996
ANKRD13A,0.10335699999999999
ANKRD26,0.893225
ANKRD27,0.128861
ANKRD32,0.429892
ANKRD33,0.00304769
ANKRD40,0.200404
ANKRD44,0.94353
ANKRD50,0.24379800000000001
ANKRD9,0.052510400000000006
ANKS4B,0.28862600000000005
ANKS6,0.105564
ANO1,0.30495300000000003
ANO3,0.26804
ANO9,0.788247
ANP32E,0.0409157
ANPEP,0.29973
ANTXR1,0.36294499999999996
ANXA1,0.335793
ANXA11,0.279448
ANXA13,0.759885
ANXA3,0.268845
ANXA7,0.793609
ANXA9,0.17113
AOC2,0.0924855
AOX1,1.67822
AP1G1,0.315589
AP1S1,0.23105599999999998
AP1S2,0.0457092
AP1S3,0.0829285
AP2A1,0.031951099999999996
AP2B1,0.559525
AP3D1,0.13003
AP3M2,0.6425
AP3S1,0.1389
APBB1IP,0.0882119
APC,0.060914800000000005
APH1B,0.20455399999999999
APITD1,0.251471
APLF,0.47798999999999997
APLP1,0.188859
APMAP,0.7674380000000001
APOA2,0.9670110000000001
APOA5,0.590501
APOB,0.18752
APOBEC1,0.648252
APOBEC3B,1.07102
APOBEC3F,0.824343
APOBEC3G,0.18752
APOBEC3H,0.061414199999999995
APOC2,1.40937
APOC4,0.355996
APOD,0.227379
APOE,0.8668959999999999
APOF,0.25302199999999997
APOL6,0.987597
APOLD1,0.17957599999999999
APOM,0.422943
APOO,0.000869
APPL1,0.36696599999999996
APPL2,0.30935300000000004
APTX,0.20455399999999999
AQP1,0.201783
AQP10,0.09034339999999999
AQP11,0.439333
AQP12B,0.282763
AQP3,0.207342
AQP6,0.157201
AQP9,0.0428267
AQR,0.392979
AR,2.6994
ARAF,0.8450979999999999
ARAP2,0.114508
ARF4,0.0559513
ARF6,0.111693
ARFGAP2,0.900064
ARFGAP3,0.28778400000000004
ARFGEF2,0.836082
ARFIP1,0.7803260000000001
ARFRP1,0.05300030000000001
ARG2,0.8668959999999999
ARHGAP11A,0.686567
ARHGAP17,0.212973
ARHGAP22,0.879861
ARHGAP24,0.043785500000000005
ARHGAP26,0.812914
ARHGAP29,1.17436
ARHGAP32,0.712633
ARHGAP35,0.8512149999999999
ARHGAP5,1.2151
ARHGAP6,0.30495300000000003
ARHGEF1,0.879861
ARHGEF10,2.09734
ARHGEF10L,0.5350520000000001
ARHGEF11,0.799037
ARHGEF12,2.04619
ARHGEF18,1.18089
ARHGEF2,0.740363
ARHGEF3,0.9176489999999999
ARHGEF35,0.156578
ARHGEF38,0.0199762
ARID1A,2.0004299999999997
ARID1B,1.6580099999999998
ARID2,2.6994
ARID3A,0.242279
ARID3B,1.67822
ARID3C,1.20109
ARID5B,0.36294499999999996
ARIH1,0.355996
ARL1,0.0495826
ARL10,0.0442656
ARL14,0.0908779
ARL4C,0.230318
ARL6IP1,0.600761
ARL6IP4,0.29973
ARL6IP5,0.392979
ARL6IP6,0.0699944
ARL8A,0.237006
ARMC1,0.169845
ARMC2,0.159074
ARMC4,0.0679602
ARMC5,0.36294499999999996
ARMC9,0.510476
ARMCX3,0.364951
ARNT,1.10281
ARNT2,0.00832258
ARPC1A,0.5990340000000001
ARPC5L,0.799037
ARPP19,0.0236257
ARR3,0.403837
ARRDC5,1.3283399999999999
ARSA,0.36696599999999996
ARSG,0.13533
ARSK,0.355996
ARV1,0.26563400000000004
ARVCF,1.00043
ASB15,0.324656
ASB16,0.717133
ASB18,0.11790899999999999
ASB4,0.019522099999999997
ASB6,0.10006699999999999
ASB8,0.47539
ASCC1,0.166649
ASCC3,1.03195
ASF1A,0.100613
ASF1B,0.661978
ASGR1,0.153479
ASIC1,0.050556300000000005
ASIC4,0.0190685
ASNA1,0.075638
ASNSD1,0.118479
ASPA,0.0549654
ASPG,0.12133800000000002
ASPH,0.102807
ASPHD2,0.270459
ASPSCR1,1.11962
ASTN1,0.0684679
ASXL1,0.879861
ATAD1,0.0404392
ATAD2B,0.0705044
ATCAY,0.07719
ATF1,1.15534
ATF2,1.28443
ATF7IP,0.126532
ATG12,0.186853
ATG4D,0.745162
ATG9A,0.11338
ATIC,0.6059829999999999
ATL1,0.392979
ATL2,1.01816
ATL3,0.0730636
ATM,0.623858
ATOH7,0.0978872
ATP10B,0.169845
ATP11B,1.62022
ATP1A1,0.0245429
ATP1A3,0.167287
ATP1A4,0.667996
ATP1B1,0.416103
ATP1B2,0.818591
ATP2A1,0.9176489999999999
ATP2B2,0.0813559
ATP2B3,0.274522
ATP5D,0.360948
ATP5G1,0.237006
ATP5G2,0.22083699999999998
ATP5G3,0.6720550000000001
ATP5L,0.383434
ATP5O,0.0305524
ATP6AP1,0.27208000000000004
ATP6AP2,0.0409157
ATP6V0A1,0.111132
ATP6V0C,0.170487
ATP6V0D1,0.29457
ATP6V0E1,0.737983
ATP6V1B1,0.15162899999999999
ATP6V1C2,0.06492669999999999
ATP6V1E1,0.17113
ATP6V1E2,0.147954
ATP6V1G2,0.149176
ATP8A2,1.08136
ATP9A,0.11734100000000001
ATPAF1,0.321916
ATR,1.85431
ATRAID,0.350127
ATRNL1,0.607738
ATRX,0.266434
ATXN2,0.097344
ATXN3,0.353052
ATXN7,0.271269
AUP1,0.05447330000000001
AURKAIP1,0.105011
AURKC,0.308469
AUTS2,0.16601300000000002
AVIL,0.44655100000000003
AVP,0.487217
AVPR1A,0.0418702
AXIN1,0.570682
AXIN2,0.46895600000000004
AXL,0.421795
AZI2,0.580479
AZU1,0.185521
B2M,0.00965138
B3GALNT1,0.18953
B3GALT4,0.111132
B3GALT5,0.0
B3GALTL,1.27616
B3GNT2,0.441726
B3GNT4,0.174359
B3GNT7,0.47280500000000003
B4GALNT2,0.0305524
B4GALT1,0.0818795
B4GALT2,0.227379
B4GALT3,0.200404
B4GALT4,1.30146
B9D2,0.260071
BACH2,0.276978
BAG1,0.775125
BAG2,0.0385386
BAHD1,0.9961129999999999
BAI2,0.268845
BAI3,0.157825
BAIAP2,0.7427560000000001
BAIAP2L1,0.557955
BAMBI,1.7963099999999999
BANF1,0.0951779
