gene,score
A1CF,0.05407170689342826
A2M,0.04108950642187311
AACS,0.06892137044613518
AADACL2,0.05436647229286229
AADAT,0.0020782919457619413
AANAT,0.02102107549407539
AARS2,0.04586570226881356
AASDHPPT,0.0492399669273495
AASS,0.01782816031830995
AATF,0.10732661814158283
ABAT,0.1405161011590793
ABCA1,0.08827445501008291
ABCA12,0.12748252778178068
ABCA3,0.0002590221797561691
ABCA4,6.029182752225556e-05
ABCB6,0.1253212407753161
ABCB8,0.006845978742887522
ABCC4,0.002046150386397079
ABCC5,0.010159732622925787
ABCD3,0.006323809367572596
ABCD4,0.002905257300678011
ABCF1,0.06129592873418582
ABHD1,0.11329165222151215
ABHD11,0.03598300152808478
ABHD12B,0.008271713763672063
ABHD14B,0.07869743018143581
ABHD15,0.2348460681062973
ABHD16A,0.03715419153811053
ABHD17A,0.010291465770487004
ABHD2,0.005394339144162022
ABHD4,0.06661746649947525
ABI1,4.779342520207305e-05
ABI3BP,0.009503232660915465
ABL1,0.10553366609017643
ABL2,0.10676502544117247
ABLIM1,0.06773628595933297
ABRA,0.0017173717309008599
ABRACL,0.00031250403784721653
ABTB1,0.009933714170670035
ACAD8,0.03641340246899024
ACADL,0.10523862835180506
ACADVL,0.07545764286882971
ACAP2,0.00650832348048809
ACAT1,0.05312318067723576
ACAT2,0.0029768935615388037
ACBD5,0.046032758210211584
ACBD6,0.013737910754713905
ACCS,0.09309093686208676
ACE,0.0024575296687880197
ACER1,0.034260025543945485
ACER3,0.013240274986249384
ACHE,0.013225035222148254
ACIN1,0.0029877905542648087
ACKR3,0.0031820087835693228
ACKR4,0.03813378727149967
ACO2,0.0021618361851391166
ACOT1,0.14059563169372938
ACOT11,0.1212307161347372
ACOT2,0.014004959377525028
ACOT8,0.03427023059891161
ACOX2,0.0006779145294824055
ACP5,0.014901872583063356
ACP6,0.006847826269909262
ACPP,0.04586191151104157
ACR,0.006271380133085795
ACRV1,0.013270074156470345
ACSBG1,0.021345875856491822
ACSF3,0.014293809625512707
ACSL1,0.008710344867600141
ACSL3,0.0696880690896748
ACSL6,0.08250401066217486
ACSM2A,0.0019054029721957179
ACSM4,0.007814651754538032
ACSS1,0.012631941641686318
ACSS2,0.03440511742504054
ACSS3,0.1821468216301025
ACTA2,0.04118679878971076
ACTBL2,0.05940992678949417
ACTG1,0.03224581508594737
ACTL9,0.017769387150998045
ACTN1,0.01408793449287405
ACTR2,0.04627285049768552
ACTR3,0.00677212917329191
ACVR1,0.09812466159813098
ACVR2A,0.1837090262777392
ACY3,0.0032119502797767416
ADAD1,0.0002393890079305462
ADAM10,0.1489314310949493
ADAM17,0.003189492609574595
ADAM22,0.013489566651029296
ADAM8,0.011594411760006026
ADAMTS1,0.005267974396133136
ADAMTS14,0.03021930447888281
ADAMTS15,0.0006966071989272773
ADAMTS17,0.006724795224858321
ADAMTS3,0.01802377506652814
ADAMTS6,0.03046804390572081
