gene,score
A1CF,0.1067409087464654
A2M,0.07367609018545009
AACS,0.03692392573399209
AADACL2,0.026653384175318866
AADAT,0.053167432417570645
AANAT,0.060349060588903915
AARS2,0.028798219223391545
AASDHPPT,0.028094952042738503
AASS,0.015952646607642024
ABAT,0.123139342774799
ABCA1,0.07073833539168813
ABCA12,0.08111288732602602
ABCA3,0.06921091516083472
ABCA4,0.04602481809763189
ABCB6,0.04391819145383828
ABCB8,0.010978278731355193
ABCC4,0.0861902050549787
ABCC5,0.039508431653445523
ABCD3,0.0298253606091849
ABCD4,0.027375765631397816
ABCF1,0.09930187235428155
ABHD1,0.058837929324052074
ABHD11,0.05443223002227209
ABHD12B,0.045750776610838435
ABHD14B,0.008799327811799347
ABHD15,0.1407378671018225
ABHD16A,0.07601998748614723
ABHD17A,0.0036463294432242666
ABHD2,0.042721120396864494
ABHD4,0.02654904379832318
ABI1,0.018610442095559777
ABI3BP,0.09353065515384527
ABL1,0.09792433457411465
ABL2,0.12218565571264775
ABLIM1,0.014542102906755878
ABRA,0.035370223574361294
ABRACL,0.0034589283247323022
ABTB1,0.04043283951767223
ACAD8,0.09355397591355577
ACADL,0.061653234349492186
ACADVL,0.05191611577690435
ACAP2,0.07650087783090846
ACAT1,0.023923680949849837
ACAT2,0.02289628787808954
ACBD5,0.02900459477733266
ACBD6,0.017994072927058596
ACCS,0.024907809012413122
ACE,0.09297873353578108
ACER1,0.0034700570496264335
ACER3,0.009017915719740716
ACHE,0.0731097899396313
ACIN1,0.07319850438436598
ACKR3,0.018437699056946373
ACKR4,0.00237901893966652
ACO2,0.019660891935916882
ACOT1,0.01981974587502383
ACOT11,0.04438795525195182
ACOT2,0.11435778946992083
ACOT8,0.0239579085335149
ACOX2,0.043158973930065535
ACP5,0.01964697086889235
ACPP,0.04180374553135565
ACR,0.05310532910960143
ACRV1,0.032377611378572084
ACSBG1,0.016677916877581543
ACSF3,0.021949992678626337
ACSL1,0.024563580013498367
ACSL3,0.022013634759542353
ACSL6,0.0324142845636482
ACSM2A,0.07008937615905557
ACSM4,0.018374292338756735
ACSS1,0.06416364352257682
ACSS2,0.10121156359218587
ACSS3,0.07187018617049161
ACTBL2,0.011627870625230375
ACTG1,0.010901024518191704
ACTL9,0.0583122053399278
ACTN1,0.04067848241559566
ACTR2,0.012899993223324817
ACTR3,0.0451027710141248
ACVR1,0.041892816912521336
ACVR2A,0.014095563931792631
ACY3,0.01738426334070387
ADAD1,0.018676414697529044
ADAM10,0.07783642111287777
ADAM17,0.08360198831566974
ADAM22,0.058178393956713065
ADAM8,0.06838594109544112
ADAMTS1,0.06596197402273064
ADAMTS14,0.1242248392354585
ADAMTS15,0.12611842482302119
ADAMTS17,0.07341991635717178
ADAMTS3,0.07640558494570018
ADAMTS6,0.1373867162263873
ADAMTS7,0.06361969582405297
