,gene length,silent,nonsense,splice site,missense,recurrent missense,frameshift indel,inframe indel,lost start and stop,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,exp_mean,exp_std,methy_mean,methy_std,cna_mean,cna_std,3'UTR,5'UTR,SNP,DEL,INS
A1CF,-0.007744150042573797,-0.0010536490963704709,0.01421015275938058,-0.0017214330204350509,-0.012609516164458524,-0.0016243525424779887,-0.006133471961553193,-0.001262682590783125,0.0005440094412485635,0.0,-0.0011290173268945075,-0.008591465369458588,-0.019522273493392653,-0.052535263726583424,-0.014676540431701267,0.0023074701133315376,-0.0054984383287861455,-0.010339762583807158,-0.00578470299211075,-0.0014086998797118028,0.007163573244363754,0.024005858787913493,0.008060326137977983,0.006724864386428581,0.014860570333624284
ABI1,-0.01500576869590349,0.0,-0.010808180760829879,0.0018822250115283472,-0.007222247312563603,-0.0027741533328026176,-0.0002632477639292405,-0.0026494307301210282,0.0,-0.006860032652259738,-0.0007516267673422518,0.003849402991145579,-0.0010682778640990153,0.04884165143044288,0.016379925491755487,0.000918653027969869,-0.0017315861037049294,-0.02343509757528646,0.017466616392908484,0.004571013383301543,-0.0003127815367850711,-0.0013529221775518095,-0.02517287779504362,-0.002676955061610117,-0.0012971816603346877
ABL1,0.07672208804379455,0.008348017842172428,-0.00696763985859189,-0.002864583044077662,0.003900696854778285,0.0018237257743092261,0.0018062178923458627,0.0,0.0,0.004788305168709761,0.02326015784103541,0.018088882154503383,0.15771948637190597,0.2198662212553662,0.06239496658426469,0.011839882686388858,0.021276196448975826,-0.009048414414254635,0.05245611525391036,0.01556441395797209,0.0,0.0,-0.006921666699691298,0.00433119268221005,0.0
ABL2,0.0542074063539644,0.0025896530720209143,-0.012687997209666568,-0.001894042200669105,0.0015917757251579512,-0.0029504133766497243,0.0,-0.0023330500736906817,0.0,-0.0009378021516043694,-0.0005062340218583428,-0.009052666036668544,0.03939788185443091,0.08534194230881015,0.015533757113302682,-0.0015472353381922044,0.020559192701375434,0.12187052681804694,-0.02212688550974576,-0.004199600422764155,-0.0007115646686787491,-0.0004887604497763876,0.04377184150721386,-0.000924674793220448,-0.0018330741193964828
ACKR3,-0.01131265569839092,-0.003019509940429918,-0.00903997021287583,-0.0007112073542641512,0.0020944099167910374,-0.0021101387595439253,-0.0004806786586932926,-0.0016465498454848737,0.0,-0.0011347108974734121,-0.0009795662574474118,-0.007424886835646544,-0.019782145530592238,-0.033889704877293834,-0.010390690391047869,-0.0004043615381389143,-0.004993950359399729,-0.007778208477387499,0.0023903889992849398,-0.00041008337974422077,-0.0008033051329401561,-0.0006050633879141204,-0.01199649843777928,-0.0016013771194708162,-0.0012995587423752508
ACSL3,-0.014385612037309418,-0.0036955239824137467,0.02563127621905495,-0.0015848577809979558,-0.013430041472707384,-0.002358251948396721,-0.00023531236238911318,-0.0025574956269708918,-0.00013231713809833123,-0.0029254299763477876,-0.0017641567030415445,-0.012802861023714474,-0.013375389246655128,0.010664614436591516,0.0021231136706819295,-0.00948906265742494,0.0038399295619927845,-0.011713444521026156,-0.008827640792630272,-0.00830018989899517,-0.0019055021249405682,-0.0018444216751336007,-0.028933476590703264,-0.00255294847747832,-0.0017750207692046188
ACSL6,-0.005295494360093238,0.001650469173975086,0.02216819095731662,-0.0017984335365300239,-0.0044337168067784885,-0.0015677682397818096,-0.0009702504751580056,-0.0007148824926548475,0.0,0.0,-0.0008217755317879091,-0.0006646474961874427,-0.05559184649114069,-0.06049514131868212,-0.016608304969325645,0.0036585500555202377,-0.0034947976741218703,0.04331681361297829,0.008245185486940882,-0.004085828014931986,-0.0006367793909500194,0.00554391952186082,0.013049124105057208,0.0008905237362079044,-0.0008159899128483417
ACVR1,-0.018310726374335354,0.009220671190221116,-0.007022870746389492,-0.0003212124606969402,-0.005756878025934817,-0.0026592336121446097,0.0,-0.0019737063255265974,-0.003892947170614211,-0.0016040303909433257,-0.005648037847131027,-0.0302976893556805,0.05574057406402795,0.09473338485103322,0.013211443132538067,0.00346888899480563,0.007992310047242462,0.0813941543984658,0.02350566508615612,-0.0019291694701635137,-0.0005219943813883632,-0.0010791541251700398,-0.022549412085333564,-0.0008924032054022646,-0.0014233633916082844
ACVR2A,-0.013557616951367368,-0.0029795870462292345,-0.012161793601298557,0.0016536196276937948,0.0,-0.0026536164917458985,-0.000687534398386723,-0.0020822843568748944,0.0,-0.0012180871007199875,-0.0025499439245894526,-0.009482922566285572,-0.0006283573198503506,0.019010928331474504,-0.011053046704844291,-0.012662504716790438,0.0010611302035296172,-0.011219744079735805,-0.007364555772448274,-0.0010026779587178347,-0.0016591486561525828,0.00204287192074952,-0.024433616963529428,-0.0033230479427130144,-0.0018070578779973978
AFF1,0.019651694189329084,-0.008289239866111749,-0.01809766811270958,0.0,-0.008638124919805534,-0.002653175197549415,-0.0006358200771112536,-0.0020197521925884726,0.0,-0.0012719754807770586,0.0028118204222169103,0.010149078698189314,-0.01738509061755185,0.018487816653042298,0.003984841588299322,-0.010665542826059433,-0.00024602746853657,-0.020100282298791093,0.008224539395403848,-0.0055601238762210715,-0.0011404876531709782,-0.0008810769387282147,-0.010711883167750274,-0.00294232215710262,-0.0008297924427452807
