,gene length,silent,nonsense,splice site,missense,recurrent missense,frameshift indel,inframe indel,lost start and stop,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,exp_mean,exp_std,methy_mean,methy_std,cna_mean,cna_std,3'UTR,5'UTR,SNP,DEL,INS
A1CF,-0.004301611,-0.009759221,-0.003775371,-0.00523868,0,-0.002514667,-0.003260662,-0.005267286,-0.00161375,-0.004939458,-0.001175342,-0.014192678,-0.024977569,-0.046605457,0.002188282,0.012260307,-0.00640992,-0.009166728,0.010188904,-0.002466798,-0.004394353,0.013368831,0.015490583,-0.012788688,-0.004655525
ABI1,-0.005181786,0,-0.005241921,0.005959474,-0.004002898,-0.008237629,-0.002614521,0.006444516,-0.001225386,0,0,-0.002450595,0.001105038,0.022166346,-0.007805547,-0.010117835,0,0,0.001376864,-0.000626376,-0.002570768,-0.00266439,-0.021032445,-0.015160267,-0.017483877
ABL1,0.101271657,0.003929344,0,0.014181171,0.013548118,0.006601678,0,0.036067272,0,0.007602177,0.006445076,0.001662954,0.182765443,0.229837469,0.01136614,0.001695119,0.018672891,0,0.009315354,0.006535402,0.028118733,0.0127005,0.112249439,0.029564637,-0.00885172
ABL2,0.01615822,-0.004316635,-0.01464694,-0.001700506,-0.012325995,-0.017326764,-0.002634402,-0.015999408,-0.001586295,0,-0.002539485,-0.012450632,0.01099758,0.024810762,-0.006529393,-0.011666888,-0.006254502,0.021818124,-0.005049062,0,-0.003442502,-0.000802242,0.018219131,-0.004989881,0.002179426
ACKR3,-0.00710196,-0.005083576,-0.004569746,0,-0.001969615,0,-0.003097835,-0.003866418,-0.0005762,-0.000975933,-0.000991222,-0.005168414,-0.024945176,-0.031482933,-0.005253442,-0.002307017,-0.002920214,-0.006263024,0.003444575,-0.00218218,0.005017642,-0.001955923,-0.001784955,-0.01136455,-0.011108745
ACSL3,0.002602253,0.002419645,-0.002088867,-0.001743328,-0.005322471,-0.00971681,-0.001744383,-0.004224982,-0.001074142,-0.000284368,-0.000362022,-0.006780289,-0.012289233,0,0.000903941,-0.005038059,-0.00220428,0.000679166,-0.003303032,-0.002364047,-0.002864142,-0.000259548,-0.009820356,-0.015803112,-0.006538678
ACSL6,-0.000173142,-0.003140517,-0.006775211,-0.003390324,-0.005195941,-0.007358859,-0.003546369,-0.004481448,-0.000632073,-0.001510826,-0.000743589,-0.003990662,-0.031512723,-0.036933641,-0.00043829,0.007472949,-0.009206032,0.010634504,0.004898803,-0.00147899,-0.000417167,-0.000529312,-0.001000144,-0.011716007,-0.008198991
ACVR1,-0.017438021,-0.002677631,-0.004699237,-0.013000745,-0.004039956,-0.014088111,-0.001533016,-0.011752645,0.023765131,-0.000744889,0.002239629,-0.011904348,0.085536976,0.053973915,0.00204265,-0.00417036,-0.011708146,0.023977726,-0.008146426,0.004764173,-0.009813414,-0.000500356,-0.021675416,-0.013790052,0.007447135
ACVR2A,0,0.076299077,-0.004066881,-0.005456392,0.035433375,0.018644083,0.119660123,0.019778125,0.00152102,-0.008349894,-0.026651329,-0.008628967,0.015278434,0.031263815,-0.001564871,0,0.009744725,-0.008908304,0.004391024,-0.003328791,0.035128954,0.003711149,0.009093552,0.318233012,0.086910959
AFF1,0.025505912,-0.004025974,-0.00514129,0.002017248,0.005190787,-0.017735309,0.012679123,0.014256082,-0.000647682,-0.004323081,0.008213129,0.030426369,-0.011498194,0.029506411,-0.005095503,-0.010038626,0.004035546,-0.003854461,0.01291938,-0.002347197,0.033044992,-0.006069716,0.038123067,0.077396335,0.002741507
AFF3,0.009719595,-0.007174626,-0.012610492,-0.004387359,-0.004477555,-0.006999733,-0.005733748,0.005640411,-0.00098456,0.001093005,0.001150729,-0.012710008,-0.050650577,-0.059918122,-0.00651616,0.009793847,-0.004150289,0.011514063,-0.00681418,-0.002727937,-0.002851226,-0.001488727,0.030250605,-0.003410085,0.014007697
AFF4,0.027968676,-0.003289809,-0.012199334,-0.011897051,-0.017850388,0.044048611,-0.000537618,-0.012126258,-0.002109917,-0.005006231,-0.003682089,0.05162978,0.009059268,0.066742015,0.006118814,-0.013806271,0.005234563,-0.001177906,0.020229877,-0.009201129,0.026723213,-0.001563516,0.051058573,0.014353521,0.119773751
AKAP9,0.013146217,-0.003335615,0.010785779,-0.009329171,-0.032642403,-0.043795565,-0.011935268,0.015933273,-0.00216088,-0.00674494,0,-0.011902802,0.026207521,0.060431363,0.006692627,-0.011090312,0.012698494,-0.010067252,-0.037966146,-0.0046201,-0.002647103,-0.007063598,0.049649276,0.051711256,0.051895632
AKT1,0,0.006735145,0.013513812,0.013079879,0.016424486,0.443396766,0,-0.007977144,0,0.004972523,0.005118588,0.003046314,0.12736788,0.176548036,0.032120265,0.002141145,0.018337661,0.001944287,-0.007778987,0.000972247,-0.003173203,-0.005079091,0.01961341,-0.005006648,-0.013181373
AKT2,-0.005823531,-0.005898359,-0.007290125,0.001708129,-0.004664274,-0.018833279,-0.003634057,-0.004661664,-0.00139991,-0.002906313,-0.001391812,-0.00327336,0.021964466,0.023613109,-0.001719711,-0.008343553,-0.000499725,-0.002175711,-0.003892853,-0.002399362,-0.002282231,-0.00329803,-0.011823456,-0.013338427,-0.014242821
AKT3,-0.005425104,0.001143377,-0.007174717,-0.0041269,-0.001447535,-0.009309856,-0.005113867,-0.0050377,-0.000609499,-0.001919034,-0.00282607,-0.012902976,-0.017073569,-0.025791877,-0.002025772,0.001964817,-0.007249095,0.015411568,-0.004481493,-0.001943569,0.007919492,-0.001938074,-0.001543851,-0.004580436,-0.010782262
