,gene length,silent,nonsense,splice site,missense,recurrent missense,frameshift indel,inframe indel,lost start and stop,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,exp_mean,exp_std,methy_mean,methy_std,cna_mean,cna_std,3'UTR,5'UTR,SNP,DEL,INS
TP53,0.0,0.008856820033295576,0.0019410468686238969,0.01166582307680819,0.004450661271149903,0.12892313632504737,0.021400022185629253,0.0393624293015028,0.0,0.0,0.0,0.011424477847697956,0.10713023363678126,0.13102417205418115,0.025768663774280443,0.0,0.0021458170349848427,0.0,0.0019329628109647778,0.0,0.0035650641403968675,0.0,0.11644368824194268,0.1471330029705979,0.03613717323130994
PIK3CA,0.05180885674327529,0.010412085800825477,0.0,0.0,0.004769812243833715,0.0,0.009938802860266382,0.1657022056139263,0.0,0.0,0.009449659164740942,0.0,0.11094609169431352,0.12332292268129608,0.0024577846912626766,0.0,0.007681626425426469,0.0,0.0,0.0,0.0,0.0,0.16086063021831837,0.12945471666770958,0.0
PTEN,0.0,0.009353408780035766,0.0038404054073962746,0.006530810386237373,0.009250350886663594,0.03738426751645024,0.04722262479367484,0.0,0.0,0.01739836142346607,0.0,0.01105634470049277,0.10666584005928575,0.11193896407425552,0.01841162190558404,0.00848350711400847,0.015618380804054643,0.0016157672997670347,0.014358596608138874,0.010360743884974044,-0.043569456240332705,0.0,0.12744503295144494,0.1814192245523336,0.06523468361154927
RB1,0.032093277972676526,0.003740964855712514,0.011578218139761842,0.01016580100906439,0.0,0.0,0.027931383634268947,0.0,0.0,0.005842198216457206,0.007050058123544256,0.01868958319074082,0.1348378316330821,0.17226833110024287,0.022294582093704773,0.005919816806689959,0.0,0.053921168993765145,0.007733915864963803,0.011176229704784435,0.002549269322282055,0.0,0.11969492681342053,0.12503192304431843,0.0
IDH1,0.0,0.007710118827113477,0.0,0.0,0.0,0.39159488892855854,0.0,0.0,0.002927627153285317,0.01554697580676001,0.012611691551433934,0.0,0.039194912303972596,0.08263040915453068,0.02464053726795834,0.0049789420040785015,0.0067839685459499255,0.0029355384108818994,0.0,0.0013922604700383756,0.0021480376329447437,0.0,0.14528071531911713,0.0,0.0
PIK3R1,0.0037176762750755765,0.013833114402927282,0.0,0.006307546459672242,0.0027807731591300566,0.12385294041355155,0.0,0.09230601361366814,0.0,0.0276248733251514,0.0017623398741271057,0.014890494929617804,0.10980568968349941,0.1296102381995971,0.03144332884444212,0.003023096865208852,0.0,0.008199532104896712,0.0,0.0,0.0035901090638421618,0.0,0.08152069129711531,0.13063375219597229,0.023331555526271308
ATRX,0.04297776832069544,0.00403434926093324,0.016013176652594635,0.0,0.0052561486166058935,0.0,0.0642763671519403,0.0,0.0,0.0,0.005048174376689585,0.0,0.0786729004335644,0.08581315860800426,0.02795137933492381,0.0022891150781125524,0.0,0.02109621954147145,0.0,0.0,0.002430753539151287,0.0,0.11706725860588449,0.24423556814176628,0.0
EGFR,0.029625256722863647,0.009012496979344198,0.0,0.0,0.008490310503035281,0.1633635598896292,0.0,0.03933398813997313,0.0,0.0,0.0067737478968311615,0.0,0.11084230299864217,0.14975422526571103,0.030947332522928916,0.02740139106146333,0.007511679600095966,0.003627968648527047,0.027318791729833702,0.013794427443955704,0.0031934327509554605,0.0,0.09832796876108862,0.0,0.011057742461744957
BRAF,0.02192708228442153,-0.007589404156817775,0.027952945026161066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02224905317126115,-0.004400941245652545,0.004724617728306707,0.0845014418102458,0.005093559229609829,-0.008424412490796077,0.013710353799676611,-0.017408704127309993,0.01628590687908718,0.024693434040098966,0.0,0.0,-0.005438308571669076,0.0,0.0
NF1,0.05877786605313562,0.005176420036689333,0.008011627061444537,0.026189155121879915,0.0,0.0,0.04656393437503703,0.07240718239714256,0.0,0.0,0.010167534189897298,0.0,0.06720476315615587,0.05796618959492261,0.03555592313312628,0.0,0.0081359201460241,0.0,0.0019823778957347438,0.007076604349440352,0.002748388861516793,0.002775386084784337,0.1454768096951803,0.15983949842934775,0.07253532850944988
