,gene length,silent,nonsense,splice site,missense,recurrent missense,frameshift indel,inframe indel,lost start and stop,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,exp_mean,exp_std,methy_mean,methy_std,cna_mean,cna_std,3'UTR,5'UTR,SNP,DEL,INS,score
PBRM1,0.066100461476988,0.007552758900996826,0.01551627972995684,0.0,0.008999290169531994,-0.004588087550636666,0.0025602141969608967,0.0,-0.0027666767754435106,0.02024302438093617,0.007871023747685224,0.01184082504011297,0.07641716634844498,0.097891372433845,0.04324887805094865,0.0036334116552741436,-0.006437027066804046,-0.0030254804277437537,0.00693024673337922,0.0,-0.0026678646622897983,0.0009402949843371199,0.17065403832439668,0.033761414287808884,0.027860045573052883,1.0
PIK3R1,0.010939553994762208,0.0130727061611412,0.013457244507716626,0.004362510342686643,0.007496062636182409,0.02050490253622617,0.02617878648835392,0.022092320834504464,0.0,-0.00148533894689018,0.00236489044178545,0.004033022437924361,0.12337959116820155,0.14191321836065335,0.01831871835782717,0.011287602980592282,0.00443912270218727,0.005576341104713056,0.010840968631229464,0.007521284214694002,0.022979385429581282,0.00014105720013624093,0.11096666264619977,0.11102111835925076,0.06732435315255547,1.0
TP53,-0.0020711440099460687,0.010145233748644787,-0.006468803220862518,0.0005085998691446991,0.0008021608426113658,0.13683612550120738,0.014957290946348456,0.014444940332920098,0.0,-0.0015426668161179768,0.0049214817921584535,0.005833995954894367,0.14003589477936212,0.17844616064620106,0.026983690509196908,0.012390594603391536,0.010700465663204595,0.006365069837333093,0.016074894629462932,0.011342493440187285,-0.0017237377273683352,0.001207196345569206,0.1183783693580861,0.07051135934646724,0.025360705084403908,0.9982142857142856
ATM,0.08029746074905357,0.003129677788481111,0.017064805739744116,0.005324493290394361,0.0154669251907944,-0.004696979923439093,0.03095063519268426,0.0007508053881514765,0.0,0.0035977796950918406,0.0,-0.0024752447573700986,0.16527451865224585,0.1985071870466701,0.005626961033030843,0.016817749093085588,0.010576960488599962,0.0015820067579651045,0.008346105589123576,0.0019386459022886493,0.0,0.0029582094575151268,0.14863444665355352,0.054606613229643,0.015874894913479043,0.9982142857142856
MAP3K1,0.09205951461684507,0.004500931326097968,0.0039770585966803496,0.0075617021495945624,0.016186998368239947,-0.004571164213526102,0.03345449746226087,0.01705703050740753,0.0,0.0013579628205813712,0.0035631158524784827,0.008408729523257275,0.15815308154150265,0.1996062237323856,0.018652832485092696,0.015546145583576863,-0.004210759942200382,-0.0034910415316856125,0.011771801220992695,0.007454999213637514,-0.00645236374664393,0.00245204197402138,0.0533670532046524,0.0651775479412231,0.033332623246218995,0.9964285714285714
PTEN,-0.0037631726741355616,0.011188358385341213,0.004760184260282074,0.004918927290033848,0.002567874318381236,0.11635990358494876,0.020707050723036413,0.014518875482257162,0.0007134570589678035,0.0018084966157900786,0.004398239480323364,0.0060223472055546115,0.1020122653209663,0.12843096438204155,0.03335814960622907,0.010778374700620263,0.014169591069595032,0.004812583042948238,-0.008610364265785042,0.006417692350486115,0.039213568927939035,0.0,0.1309288326349483,0.11515696028869993,0.054999783095602384,0.9964285714285714
ARID1A,0.06226113824428992,0.011165973420402679,0.022302716633250952,0.007275328487286571,0.023522089306875216,-0.003260289490933488,0.045993558869969316,0.0,0.0,0.006667122122785585,0.00018605772750229788,0.0032527988661203433,0.04044602218732962,0.0974075159330504,0.022530118729361732,0.00672708388005505,0.013556406553714206,0.007022889648067576,0.00838446375887303,0.0,0.007377507989097864,0.0004422139981682116,0.1285314314302799,0.16640466338091686,0.07100546454194158,0.9964285714285714
RB1,0.059254396355680576,0.005626239157869362,0.01026928792762466,0.00153169183366475,0.014363597163201791,-0.0036490855454343048,0.024929685666372325,0.0,0.0,0.004100132643677479,0.0014081772902530545,0.01155576185909285,0.17711696449041914,0.2438384464122042,0.00853456688080273,0.018554723415021457,0.009780753161626243,0.02688594990400689,0.020691381362642317,0.011212533414308279,0.006401872965310862,0.0030581668742666324,0.0584152154847341,0.031388838520851614,0.025361550408779632,0.9964285714285714
FBXW7,0.013828192488254787,0.01449088833458184,0.003529093013622031,-0.0013775854916596721,0.0005469744884266103,0.1554335521335325,0.008803737789444429,0.01747539053383035,0.00018986198216447425,0.0006318863445523014,0.003355938257375568,0.01144600511388727,0.13622111036669815,0.14245116323140622,-0.002717201077518272,-0.01117781682790503,0.01215714974243298,0.0009637398219756732,0.010713553567770429,0.007395464902515081,0.01777363500625173,0.0009329350761792533,0.12085830569401672,0.02731925782344436,0.03652847247455393,0.9946428571428572
PIK3CA,0.03066663619486615,0.018007726371325083,0.008040758767528855,0.0013427722816556908,0.009709420591491935,0.16671255702266924,-0.001809662891274877,0.017058668706141478,0.0,0.001288013092786311,0.005167767643667942,-0.002766661839282425,0.11174097171743347,0.1152548739280344,-0.0036165726487817906,0.010612620141327522,0.017136457599911725,0.006684647621193586,-0.006301100585964782,0.015695908376415213,-0.003832338537394786,0.0010277563875034645,0.14111194199604565,0.06852117287775061,0.007462227117641441,0.9946428571428572
EP300,0.07520068309422856,0.0,0.007867710959097718,0.005811324993526046,0.0180654018235209,-0.0054509416383303755,0.02120864997867572,0.0,0.00016230883505702343,0.0041024355478292964,0.004980982022117386,0.01237058376150446,0.15727803031482368,0.21070227367695904,0.02476553440127993,0.012540132432160957,0.011992770439808677,0.0056560356445493065,0.004630022392774436,0.002606359206753061,0.005190223791267211,0.003117163713894866,0.1216666364251025,0.02810235842173836,0.023778453122923933,0.9875
KRAS,-0.007102541293556254,0.013577880358680185,0.00584951157468966,0.0,0.011547969829888316,0.2016995362151473,0.0034597559888519536,0.0182278399818257,0.0,0.0,0.0027170802589192022,-0.003087828861075448,0.10602025305430007,0.08198859058039497,0.034759229433454664,0.005162178959020214,0.020281293946413148,0.009073297144326198,0.0014023233879926766,0.01814480082243064,0.011908538437430059,0.0,0.14393707620006102,0.029685981391754268,0.02804474690269465,0.9821428571428572
NFE2L2,0.01018929631701021,0.007253675056613006,0.0014477252201650634,0.0,0.010210389045358148,0.18080668117712145,0.0019560798147691405,0.0005516270258456579,0.0,0.0038220690021709687,0.009297601447805727,0.007293219266817586,0.12323670372719744,0.14209183096480574,0.044833191181551935,0.009057176648181064,0.01987148899729646,0.008571352555869105,0.006788869138764697,0.0029200044906029787,0.023794945804419262,0.0,0.050494442367701016,0.06328533553976713,0.0,0.9803571428571428
KMT2C,0.07049862471925394,0.0012956132749576965,0.004697551975010039,0.013053087916186229,-0.002652867337335274,-0.0029639355817309143,0.014246232467591826,0.011264692640836179,0.01844301741795024,-0.002070483256895184,0.0036738672256776406,0.0,0.01627273099105303,0.06598911016670328,0.0,0.010206218950505995,-0.005983117884934386,0.0,0.0031303519083112352,0.0,0.07084812687165283,0.0,0.14720930920019226,0.12581775627871386,0.07908353113184774,0.9785714285714286
FAT1,0.04274871586539712,-0.0011060800820121425,-0.0008307942023938197,-0.0038207420489005375,0.011738509358242999,-0.004007960676166961,-0.003727313072697136,-0.0007920072743365925,0.0,-0.00617595515473135,-0.0015566724169126245,-0.0018980327567348358,0.01873915955480432,0.043993897154781,0.023148696624353426,-0.00815419165958245,-0.010847820223992057,-0.004632174710934661,0.011739780720429416,-0.0013486156192514256,0.03832701954948839,0.0,0.11950205145129733,0.07953340064535205,0.0014865480500485528,0.9767857142857144
ERBB2,0.08828539918543242,0.01298224949854121,0.007503176931169975,0.0008402652342033856,0.011823117065416168,0.0,0.026370021550260192,0.0,0.0007591586030425422,0.014706753977232978,0.014107975565184616,0.015267272017271629,0.1454559513807404,0.17991811149691905,0.036656685488385736,0.02927023741026036,0.0172695088350095,0.016642553633383742,0.007620060181208644,0.0076572393328642185,0.01989856751227731,0.0050830927182415895,0.0,0.007368699771577725,-0.004379059265456231,0.9732142857142858
