,gene length,silent,nonsense,splice site,missense,recurrent missense,frameshift indel,inframe indel,lost start and stop,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,exp_mean,exp_std,methy_mean,methy_std,cna_mean,cna_std,3'UTR,5'UTR,SNP,DEL,INS
TP53,0.0,0.009471195948039413,0.0,0.0,0.0,0.1424175331215311,0.00886175565920505,0.009760895088639365,0.0,0.0013659650006650481,0.0037075984650882243,0.0062316505776428555,0.14495911874133882,0.17817313991964528,0.03024662522487792,0.011856345237598487,0.008732609564569116,0.005719615927822497,0.014672344387066438,0.013965809266794305,0.0,0.0,0.12025381030056204,0.053734491263350115,0.011538048183793448
PIK3CA,0.031027752810724674,0.016809105426445203,0.0055313687025793645,0.0,0.009933277990357148,0.1664252030611711,0.0,0.01116841508338362,0.0028636065834496405,0.0,0.003084095072539983,0.0,0.10737625200835688,0.11752687328450195,0.0,0.004081298937025968,0.012666630506749654,0.0033862786800292755,0.0,0.012919348010205639,0.0,0.0,0.14613356616631612,0.043783098602012016,0.0
ERBB3,0.03126521089305129,0.0,0.0,0.0,0.0,0.05030667116544532,0.0,0.0,0.0,0.010827497447267187,0.0,0.005491842352632115,0.09037091576434975,0.13148589874348937,0.02064640087127545,0.005450413634928042,0.0,0.0,0.0,0.0,0.0,0.0,0.09776334183399443,0.0,0.003488930600367701
CHD4,0.0343881163277992,0.006943084748016054,0.0,0.0,0.0,0.11993355886437862,0.003342203162766344,0.006234228550375226,0.0,0.0035016628529350724,0.0,0.005443077369423288,0.08479052849852647,0.1336351810033587,0.02126039730759638,-0.019915349267204896,0.014979654095384598,0.0024712625635164853,0.0,0.0,0.0,0.0,0.10507771431716545,0.0462505770179677,0.009713606847176814
MAP3K1,0.06577964075558096,0.004760747111215213,0.010576407326134185,0.0019094265508363684,0.017255427119933664,0.0,0.028924357675627232,0.008085140999941176,0.0,0.005058390412028102,0.006635784019597857,0.011352388971011818,0.14998528980910159,0.2098105040248326,0.011079423444233738,0.011917416610120912,0.0,0.0,0.005938125375906378,0.0,0.00220266334313457,0.0022842765255794983,0.11786221384457118,0.05440337053155492,0.049847557427287414
ATM,0.051359804846021595,0.0019165005454421236,0.0028727657472231716,0.0012973324505686223,0.0,0.007066511912957152,0.01845576640159835,0.0025201077627899915,0.003964572667303656,0.002941993538171872,0.0012834249891259253,0.0,0.15130093274679618,0.18833720008522958,0.0014978865179391954,0.008667160936943974,0.011204415961605041,0.003163825228028716,0.007988266429839797,0.0,0.0,0.002455867127494127,0.12899492173959715,0.05237227769230263,0.026007016551250484
AKT1,0.0,0.0,0.005250082594904115,0.0,0.0,0.20433979795766366,0.0,0.0,0.0,0.006063777316479446,0.007781770013170208,0.005612331475390475,0.15113985122105877,0.1785338964932387,0.04100964689082287,-0.025630426569415832,0.015290039570222846,0.00970978657042848,0.0,0.0,0.0,0.0,-0.019549495160414654,-0.013406316019129338,0.0
PIK3R1,0.009099784322665005,0.013004856061215986,0.01005958616828051,0.005640233343099654,0.007323586399504478,0.02975039889354031,0.02207645284107118,0.02249073594712092,0.0,0.0,0.0022764641160278876,0.004093984639150117,0.11805389184872644,0.14097086095282396,0.015249620054856305,0.005482631258363013,0.0026095904246688506,0.003528031096206641,0.00913138321595175,0.0055147738151701264,0.021145935058409115,0.0,0.11486363279435718,0.10942457940803907,0.06340134874279024
EP300,0.07178064067926004,0.002974110308771316,0.010737177357013294,0.009042943804504044,0.011828909451671588,0.0,0.025920164827348824,0.0,0.0,0.0031068896834571813,0.0013513512136641426,0.008978515816909949,0.1470131571015254,0.19792561265825048,0.021712520133498392,0.01324167912375418,0.007718671409580491,0.005429694816630082,0.006062568460413975,0.0036117402394049147,0.010578882595257633,0.0,0.12757830890740002,0.0468043041554157,0.023223090086878728
ERBB2,0.03523106042071511,0.0,0.0058324775024916065,0.0,0.0,0.15943263068994368,0.0,0.0,0.0,0.008641845313005325,0.009781918295896919,0.006990344069433774,0.12554886757796635,0.16407796118728513,0.03526138285248717,0.011210791010504428,0.013081028540784467,0.005543605591115053,-0.01573597240487018,0.007785468570019494,0.0,0.0,0.0,-0.018443428767120573,0.0
NFE2L2,0.002081304868700562,0.00642598028452418,0.002496184827959491,0.0009554668016730772,0.008361014273942396,0.1924214147499374,0.004153931822592438,0.007234257533025368,0.0,0.0,0.005548917430005074,0.00468674331586566,0.09706132644862026,0.12408965419012419,0.027544968329941633,0.003421475300577431,0.01553908121294112,0.004646543175461815,0.0,0.007593633161318947,0.0,0.0,0.0,0.04022214362648274,0.011660701000726137
CTNNB1,0.012011226658338203,0.0013299280689579307,0.007130920240203231,0.0,0.003921621605035175,0.16424910801061954,0.0,0.0,0.0,0.0,0.0,0.0,0.16393614672790957,0.19042943766756387,0.027064670053585482,0.008576157709227705,0.011724326922113781,0.008422232198245727,0.0034261114742224485,0.004679362492613304,0.004443453560213029,0.0,0.10480003896557066,0.0,0.0
FBXW7,0.010855889467365931,0.016815684007183918,0.0,0.0,0.0,0.1581155133481027,0.0037182473445432906,0.0,0.0,0.0,0.0032043346655683536,0.007334439980597185,0.13721963138606375,0.1476177965240172,0.0,0.0,0.01240094974316075,0.0,0.00956666377025911,0.006639507228548391,0.006312320274583616,0.0,0.13039870927129732,0.023021473126290215,0.031018820312076367
RB1,0.04393933746484102,0.00547626424316805,0.007265114556082142,0.0,0.014686522434552929,0.0,0.025538321148289467,0.0,0.0,0.0043081163911485865,0.004248129209760365,0.014333656954747809,0.16038256837369075,0.21456852767666623,0.011254170865643176,0.013930063590710917,0.004279810436519482,0.022394051068127974,0.018469016197967536,0.006900389261531581,0.006149328700739698,0.0017766775677068858,0.10905580705832574,0.03901610655356713,0.021506095933965685
ARID1A,0.062058332112752634,0.008075111493630327,0.023952808367272704,0.0,0.016946478386986707,0.0,0.03553583510401881,0.00172760361611754,0.0,0.007309208025864211,0.0,0.0034433297352348124,0.04391931286612169,0.10664941262652833,0.024898137458965186,0.010078403756582643,0.013347059027411179,0.005766064672251603,0.0060192629989963,0.0,0.014565046229099321,0.0,0.1361690762130754,0.15980371733715765,0.06921387565968606
PTEN,0.0,0.01219328885533627,0.006150211927451188,0.0049992927544662,0.0,0.11298272315422087,0.018215866248466495,0.01445101995892889,0.0,0.0017558768108681955,0.00533722124792585,0.006950536152957321,0.10502818588378326,0.1345832992097925,0.03146244959814448,0.009949334344753091,0.012917497226514751,0.0040210162088862855,0.0,0.006769278620470942,0.03912675708463531,0.0,0.12920535011679485,0.1145244456632018,0.055044900810630626
KRAS,0.0,0.014436127816089606,0.005474687459493532,0.0,0.012512953045734243,0.18596164650113622,0.0,0.0,0.0,0.0,0.0009556719775688227,0.0,0.10429865814570055,0.08451888503685956,0.03148525610490305,0.005032527698422495,0.01571754941979192,0.006298034246495221,0.0,0.01384321359849966,0.0,0.0,0.14339307905514748,0.042602788584641504,0.021042235092507244
PBRM1,0.05645746020157211,0.015388278240618058,0.010983657164533589,0.0,0.0,0.0,0.02044942834902483,0.008204753704046691,0.0,0.003953862495302246,0.0,0.009665469109924413,0.0513349123645582,0.0724737044205212,0.016564810971684274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04337596033932328,0.03650534090976948,0.03745377075020806
NRAS,-0.010841689737667026,0.0,0.0,0.0,0.0,0.14155979575449584,0.0,0.0,0.0,0.0,0.0,-0.0051089938266126456,0.0,0.00483455783395674,0.029037943059862764,0.0,0.006159415930528864,0.0,0.0,0.0,0.003778472412997058,0.0,-0.012069681606002747,0.0,0.008794922532860905
FAT1,0.033426821596588024,0.0,0.0,0.0,0.0,0.0,0.003653844113511995,0.0,0.0,0.0,0.0,0.0,0.01816482763901045,0.0512027107785572,0.024751166639847416,0.0,0.0,0.0,0.0,0.0,0.01857050519768666,0.0,0.11018906013461127,0.08532711601127907,0.0018110711957086134
KMT2C,0.0607266542616165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016653955345687643,0.0,0.0031531642107871516,0.06482957972473874,0.0,0.011546213854564918,0.0,0.0,0.0,0.0,0.046208043143561806,0.0,0.1200697355504223,0.0841364322646358,0.0
