,gene length,silent,nonsense,splice site,missense,recurrent missense,frameshift indel,inframe indel,lost start and stop,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,exp_mean,exp_std,methy_mean,methy_std,cna_mean,cna_std,3'UTR,5'UTR,SNP,DEL,INS
ANK1,0.01920365979685988,0.005420184166321017,-0.009048883923378468,-0.006705205160233017,0.0006376217500348794,-0.005736689054351192,-0.0009286782861444576,0.0,0.0,-0.005995287176167796,-0.0021408367701066487,-0.008296898825340286,0.0036328057396925583,-0.00993008329679795,-0.023447306823693823,0.004727617886632795,0.002405092933514554,-0.006133617710733088,-0.007746382136534488,-0.011623319600262014,0.0,0.0,-0.006110574818034578,-0.001347387855447052,0.0
APC,0.05642831916991781,0.015303559284079796,-0.0025360680942439345,-0.0035252012606701855,0.013158914835929597,-0.0017067002370940165,0.0010930773234471003,0.0,0.0,0.02266667500078129,0.009928326224041412,0.005364119667173317,0.20441561549349102,0.15099260514344126,0.035061189508789836,0.012418287216272868,0.024027377627366106,0.012123950432673863,-0.01744991212285929,0.01408932403070412,0.0,0.0,-0.0023852549074331875,-0.0019657068333112093,0.0
BAP1,0.009080327364504984,0.011077069735297658,0.0645994380826461,0.0,0.008593301418717291,0.0011950533839464907,0.11080589386051697,0.0,0.0,0.002139282616880782,0.0008349855273271575,-0.013190847525146163,0.06760829725642106,0.03847791942610446,0.037701372276214784,-0.004424215461079024,0.007763282018875828,0.0,0.0366950754450122,0.04391114443207024,0.0,0.0,0.07346322588539922,0.13688617747307313,0.0
BRD4,0.007712553027066308,-0.04010447429451992,-0.006454387582669934,-0.006881630042991992,-0.0057605439684415265,-0.005842655870363445,-0.0010983400879490193,0.0,0.0,-0.007044410060819514,0.0,-0.0035031910358502283,-0.006359815367820737,0.023938205271618072,0.019136696125810353,-0.0001794744364904963,-0.0014331029705051332,-0.002388840647611294,-0.02664908451190357,-0.004731138496513618,0.0,0.0,-0.007356810503885966,-0.0013065808531846496,0.0
CACNA1D,0.009578091417817403,0.0030868251216199377,-0.007934574654582837,-0.005470592645927336,-0.0008030671308756725,-0.00608569728157946,-0.00113333276179531,0.0,0.0,-0.002538661429115588,-0.0012987872607180713,-0.0031046563635438677,-0.03588803731209699,-0.04391884309994373,-0.019745436950066378,0.0009361876790712001,-0.002107801431336747,-0.0046276073031921924,0.012128677011206172,0.028752516222810783,0.0,0.0,-0.00482915251016687,-0.0008268851484202894,0.0
CAMTA1,0.005102214714076549,-0.012950628843240792,-0.006217431139126903,-0.005339540731041939,-0.003049361049848952,-0.006217258880346334,-0.0006789737187133486,0.0,0.0,0.0037085287280937997,-0.0007281034078408877,-0.0021025679014516283,-0.020081346124312498,-0.024159232473045862,0.0027774757649842267,-0.0048738978252561155,-0.0011392830956509026,-0.0049080220008830555,-0.012313165300976384,-0.0028190886269870014,0.0,0.0,-0.005693374396029127,-0.0008144461899053518,0.0
CBL,0.019780397695134913,-0.023523642594754895,-0.002729792269239445,-0.002976768848178629,-0.0034798277275013972,-0.0021557053699769874,-0.0017886484179674284,0.0,0.0,-0.005583870962026727,0.0,-0.01142518394137372,0.20571220785691333,0.2136962164086609,0.014543744779854775,0.0059395713852999354,-0.008097885800214921,0.0,-0.014953869294463962,0.0,0.0,0.0,-0.004502064445287224,0.0,0.0
CIITA,0.005471755395348398,0.006653655472049415,-0.010047936388735768,-0.005396146059630626,0.0015110371464831336,-0.0055058795915718765,-0.00040015843738775824,0.0,0.0,-0.0020476627180851907,0.007409051319226743,-0.004395003872478414,0.0061134839325148755,0.010699001049925133,-0.007714180839809148,0.00831489808958048,-0.0016740160324152887,0.016258851592828354,-0.013410896739799179,-0.027450525162810775,0.0,0.0,-0.005144728991323292,-0.0007897207090307758,0.0
CLP1,-0.020046283254912197,0.0036883007392100875,-0.007069692764166773,-0.005785921445954896,-0.0004888324180264752,-0.006587499056189816,-0.0009110907225010813,0.0,0.0,0.002261421019077805,-0.0019719569063008082,-0.0009659838692394843,-0.0042612387197661465,-0.005553466428988128,0.0,0.004550676125872312,0.0,-0.007793009233021934,-0.01013107813956342,-0.014560433376133068,0.0,0.0,-0.006412736200357316,-0.0014110587989221157,0.0
CSMD3,0.014675139662528446,0.004108987675623025,-0.007112004908116438,-0.005876567882216788,0.001567860910149866,-0.006359649649379302,-0.0009157668463799611,0.0,0.0,-0.000428561633979075,0.0038670565531906276,0.0025237880990134614,-0.03217891346333337,-0.04872718760585845,-0.03526199363535336,-0.0041950209931038394,-0.0020213166105008786,-0.008098650688270736,0.027615027684208558,0.030574651251167338,0.0,0.0,-0.004949083813577573,-0.0003529156509331083,0.0
CYP2C8,-0.006848216358233865,0.0024050139017679217,-0.006917817521509728,-0.005756192831113004,-0.0014969752736632685,-0.006407060692080503,-0.0004336072218954533,0.0,0.0,0.0,0.0,0.0028509522960797453,-0.01796515743666753,-0.014323998510711314,-0.012898969441239621,-0.005896711401943977,-0.0008750505038250542,-0.005475630850150807,-0.008750132431529169,-0.007220099975720041,0.0,0.0,-0.0052317342287148405,-0.0012561140163519918,0.0
CYSLTR2,-0.010015539482449484,0.0026512879165152474,-0.008534365510252061,-0.005150901065222053,0.0,-0.0062420107938165655,-0.0007555511470093567,0.0,0.0,-0.0012335053178641833,-0.0012908224827670738,-0.002377574085607682,-0.020350827018182895,-0.023998877002995453,-0.01683659112239589,0.05334642799375538,0.0,-0.010673119057993334,-0.002251389176858456,-0.004018041799679312,0.0,0.0,-0.0029479733644664566,-0.0013419395040223936,0.0
DCTN1,0.010553251012164346,-0.042423168344744175,-0.006233733259138639,-0.005109930814064655,-0.003971503779863568,-0.005965739471771643,-0.00028366140340562764,0.0,0.0,-0.002611743057275971,-0.010010057434534293,-0.0010858700274807512,0.03948034473003671,0.026997139982677786,0.014595778936273117,-0.005846604113215121,0.0013027211368117878,0.014722360428489623,-0.028067669930823602,-0.009799017292498836,0.0,0.0,0.0007092547303440468,-0.001354416430244934,0.0
DDR2,0.002056668169600682,-0.013086192658131249,-0.006963450515743756,-0.005360682576343846,-0.002405443046132341,-0.006332089427740328,-0.000643484309841607,0.0,0.0,0.001131066242483731,-0.0018473889230007506,-0.000836021477977577,-0.016910540873718356,-0.020147955222727075,0.005289338334513359,-0.0056176085125283215,-0.0011777858998648985,-0.005276501526147007,-0.012556198686245856,-0.0017929908220096213,0.0,0.0,-0.005907042759115175,-0.0017322456258801189,0.0
EIF1AX,-0.029551514848346352,0.005215916268597461,-0.008572448236392048,-0.005165064570753421,-0.00401036832810998,-0.005873964804600364,-0.0008126552335587026,0.0,0.0,0.010677739470321967,-0.004425737781295274,-0.008363528765893953,0.0016208447493614789,0.006895248488772486,0.015509701959382385,-0.012246078975307415,0.005822678459777308,-0.004236484485483166,-0.012105625824119559,-0.01478738813116326,0.0,0.0,0.0037527731266007794,-0.0013653545591024024,0.0
ERBB4,0.007317752995906492,0.009858265432845483,-0.01003983543362755,-0.005370961765926193,0.0018596617296561303,-0.005512253040902564,-0.0009124079555416893,0.0,0.0,0.004133209290850913,0.007740397708673474,0.004315096579446259,-0.008868740233528622,0.03298420721002587,-0.036342489449227994,0.019560023706229255,-0.000754834133508739,-0.006978058728888364,-0.00920192183775583,0.0050585914568357605,0.0,0.0,-0.005682686717145129,-0.0008986145500147046,0.0
ERC1,0.0014717304268704982,0.006150280587186566,-0.007216821920168873,-0.005672706473010478,0.003765438716994956,-0.006483203840698632,-0.0017568724663444973,0.0,0.0,-0.010343541007081961,-0.007127329714451916,-0.00473246455198293,-0.008835313906403661,0.018214163629176182,0.009642787022257945,-0.011452926149986777,-0.0019715428664535996,-0.006257807257895827,-0.012360076478814992,-0.015490917960422068,0.0,0.0,-0.007568576870837354,-0.0011384680821017734,0.0
ESR1,-0.0033390319208124915,0.00999902218415843,-0.00566615915705445,-0.0031520040059837464,0.005557795334090123,-0.004893786068723295,0.0,0.0,0.0,0.004922298238769111,-0.0015142967105192424,0.009487480640822981,0.18513841982652746,0.24950551091650694,-0.013890880458715359,-0.007394488614024461,0.0023390424500847867,0.002740790364010943,-0.010980625406447864,0.007546357206180632,0.0,0.0,-0.005093423506849104,0.0,0.0
