,gene length,silent,nonsense,splice site,missense,recurrent missense,frameshift indel,inframe indel,lost start and stop,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,exp_mean,exp_std,methy_mean,methy_std,cna_mean,cna_std,3'UTR,5'UTR,SNP,DEL,INS
TP53,0.0,0.0046422584486440766,0.023180840200584807,0.001406724825325334,0.0,0.09924641420927743,0.016881459714942537,0.0,0.0,0.0,0.0,0.0,0.09199873162765637,0.1536821117896715,0.03008008925139183,0.0,0.015445978326004445,0.003648205064910648,0.016244973227829917,0.022893384072331602,0.001398652337656292,0.0,0.12133778494059616,0.079354410638725,0.0026251336842874062
PIK3CA,0.01250811992380585,0.003244981243165357,0.0,0.0,0.0,0.197730335628937,0.0,0.032835655666777264,0.0,0.0,0.008752746673162504,0.0,0.05836191991180478,0.1327909206187251,0.0,0.006864953495107712,0.01685899921757561,0.0019173980666829515,0.0,0.004786700328262505,0.0,0.0,0.16676551449500843,0.008506049947963223,0.0
PTEN,0.0,0.0,0.03583008462514467,0.0,0.0026790445626806714,0.0,0.0,0.0,0.0017187567212147425,0.0019069460221446677,0.0,0.0,0.07923305754235077,0.13639008345312043,0.020793240245079336,0.0,0.011981955486880136,0.0,0.007793431480486265,0.02883538883274611,0.0,0.0,0.0355510198349577,0.08563985783874406,0.0
ARID1A,0.04601508445803068,0.0,0.0510809890307348,0.0,0.005958915230565076,0.0,0.024390584667226323,0.0,0.0,0.001716849615780447,0.0,0.0,0.033763431706551994,0.0957036853199017,0.025685084988978035,0.0,0.008728327098465244,0.001992598589747041,0.0,0.007370993775413948,0.0009652666228172624,0.0,0.09616486492116233,0.14454678667755988,0.03998368965690058
FBXW7,0.0,0.012282877078858612,0.026039775881544658,0.0,0.0,0.12358968396558528,0.012522929347108858,0.0,0.0,0.007260261827730818,0.004653041104382194,0.017922003954904675,0.10236864131006157,0.155240222086659,0.0,0.002288280269871601,0.010972604842148015,0.0,0.007207452571351136,0.01600879888359341,0.0,0.0,0.14043819009224134,0.029066451648408875,0.009063080352528119
CTNNB1,0.00980150358869425,0.0,0.0,0.0,0.0,0.07443677968021903,0.010868858320320307,0.0421795315865065,0.0,0.0,0.0,0.0,0.10163234315168529,0.18431659449019183,0.03665908736533802,0.002081632495946728,0.003860240032124096,0.0,0.0,0.0,0.0,0.0,0.06867590534463763,0.006697533447028836,0.0
SMAD4,0.0,0.009597085000616845,0.02396850126232375,0.0013156011716984328,0.0,0.10476020657149765,0.015438990326799185,0.02527939245580174,0.0,0.005860907176806984,0.0008256691940548566,0.011165715171325474,0.11330462917936462,0.18011155381712368,0.02360920265639166,0.003171608399502257,0.01292919599444059,0.0021347005029175303,0.007094527211235935,0.030990343457506564,0.003251907571385826,0.0,0.1252264884642159,0.02750781824633136,0.01009453709992314
APC,0.037895093645047784,0.008984164655199689,0.037776919732368075,0.0,0.013374258076846557,0.0,0.026967100409363787,0.0,0.0,0.007522284960478853,0.002559553444222651,0.0020728935785033764,0.09619814563246659,0.15319559604246663,0.00902925605515914,0.0018167938077435775,0.0038841454272410814,0.022580245626114825,0.007633323543142612,0.02602693065815065,0.002225531306880524,0.0,0.11166595233138832,0.11542985485236246,0.06151482286040244
GNAS,0.02432172077244668,0.0,0.0045510579159799835,0.0,0.0,0.07482083053587252,0.01601214873731044,0.0,0.0,0.0014224966753992319,0.002186482042850879,0.0,0.1048919134700019,0.1157548380601594,0.046638102745064525,0.0,0.0,0.011260779355730055,0.0,0.012921978103947684,0.0,0.0,0.06604058703932594,0.0032442169057460557,0.0
SMAD2,0.0,0.0,0.01911182033547254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057260931394160774,0.004294037506843262,0.08760013451421961,0.19911953495835755,0.003704011679106556,0.0,0.0,0.0,0.019223672709286654,0.03980824753259621,0.0,0.0,-0.026663257158320353,0.0,0.0
KRAS,0.005673213240565134,0.00770499248905554,0.0,0.0,0.003488939528398627,0.2367980503012444,0.0,0.0,0.0,0.004024258532931035,0.005483040013164131,0.0017171739743398473,0.06961570117355242,0.09872703424044188,0.029571201028057548,0.0021136261818918145,0.018622671963647974,0.009249010976031036,0.0,0.011538091638050363,0.0,0.0,0.15516511104645353,0.006717893174867151,0.0
ACVR2A,-0.008106795461662014,0.0,0.02495095784660927,0.01077601389932456,0.0,0.0,0.019147287062665753,0.023496112515879644,0.0,-0.008706824230804988,0.0,-0.012122902428314222,0.0,0.0448735042234087,-0.014081416034525167,0.0,0.0,-0.005413240896547836,0.0,0.004874526699773812,0.0,0.009792636872123152,0.0,0.13744443514904747,0.0
NRAS,0.007290834739662411,0.0,0.0,0.0,0.004100245013903048,0.29024949868480504,0.0,0.0,0.0,0.002070346188996819,0.006520196224596042,0.0,0.019780851638793395,0.04843848968376488,0.04527118171613739,0.0026007019911453155,0.019474995029024667,0.008864059603748031,0.006121944861798567,0.01602092319305254,0.0,0.0,0.01083431236183563,0.0,0.0
BRAF,0.008745949135095632,0.009452797271084556,0.0,0.0,0.0,0.22298638696262368,0.0,0.0,0.0,0.008260279731459375,0.010435848063972769,0.0,0.01762115674381659,0.12216685825230139,0.0,0.0,0.02183736781155221,0.0,0.0,0.011855868782315093,0.0025876606799964397,0.0,0.141749416211027,0.00636756271459038,0.0
