,gene length,silent,nonsense,splice site,missense,recurrent missense,frameshift indel,inframe indel,lost start and stop,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,exp_mean,exp_std,methy_mean,methy_std,cna_mean,cna_std,3'UTR,5'UTR,SNP,DEL,INS
TP53,0.0,0.0031858265408707953,0.05336853720763357,0.00945474895025894,0.004031184295389345,0.04551829013845671,0.0,0.009131017760724391,0.0,0.0,0.007933528179445148,0.012633527998433758,0.12844291453436224,0.15807980524315562,0.03661973203679958,0.0,0.01593901978178347,0.005074073940923851,0.010689834105728657,0.034105640233994095,0.0,0.0,0.11171395453874644,0.043297467177626336,0.07941365346842322
PIK3CA,0.031126554947988383,0.009069906005772982,0.0,0.0,0.007229068009857009,0.1165573852243258,0.0,0.0,0.0,0.008668564511996157,0.005556351433616713,0.0029171786302898683,0.09786193331104387,0.1411383534701509,0.03411866503417768,0.007638498760444867,0.04086782211970813,0.01190774792746166,0.0025102332815197526,0.03744825368616855,0.0,0.0,0.1336590969210909,0.0,0.0
ARID1A,0.0681947064527128,0.005104041592322861,0.08295381452624148,0.0,0.015894825478807495,0.0,0.03620416824399619,0.0,0.0,0.005196192326427984,0.0,0.011333488615039022,0.06024376099943807,0.11143143313697473,0.034681161570079555,0.0,0.007619209824116235,0.0,0.01418278318702193,0.017769275786732985,0.0,0.0,0.042832610688229245,0.035258521224732164,0.11437561962274045
FBXW7,0.0,0.0010835254746242584,0.0,0.0,0.0,0.0,0.055517097573989704,0.0,0.0,0.010611592725622232,0.0028204669063792986,0.03202049876604002,0.13627083605236157,0.12104303415006284,0.0,0.0,0.007411221441042809,0.0,0.009859894344599718,0.0,0.00357421704185637,0.0,0.04386826975120525,0.02496260791617705,0.09816092256022363
CDKN2A,-0.021164531411556525,0.0,0.022345852619244766,0.01610340590509851,0.003375379195947076,0.0,0.02655457184781085,0.019142973798451257,0.0,0.009206306717020607,0.011620408376185526,0.0,0.13735276776254088,0.16753745035621542,-0.02025127296639928,0.0050987997461380274,0.009298833094976033,0.010967413903102352,0.021972582490901837,0.024069525995290164,0.0,0.0,0.043913319973912346,0.052917540156447784,0.0
NFE2L2,0.0,0.0043337688664428775,0.0,0.0,0.0,0.06411950539368352,0.0,0.0,0.0,0.005492267521607752,0.0,0.005339373842680906,0.1284309225491106,0.12188316993612824,0.0351510082201546,0.0011199215705609555,0.022385379176684594,0.008612792822908333,0.0,0.029094300559126318,0.0030190483053172956,0.0,0.12812294808152197,0.01152834928682811,0.0
ERBB2,0.03860670735176008,0.005400397687508551,0.030083230695315377,0.0,0.0,0.0,0.0,0.026025737717227326,0.0,0.0,0.0151046087219312,0.01646717759189814,0.13755056841801805,0.18582776016366898,0.06106659538470083,0.010899612326064567,0.025331714124414817,0.00991013964644949,0.0,0.04534757534177075,0.0,0.0,0.10764048376450214,0.0,0.03908473291181147
SMAD4,0.0,0.004250442837401502,0.05210993804944214,0.0,0.0,0.0,0.0,0.023303848726427157,0.0,0.015502974859137875,0.012704057321045903,0.025489221471737544,0.17222924162055608,0.18393513352782204,0.03445448813778912,0.002326676098337921,0.016333997158064772,0.0031125958343571902,0.034179091849900756,0.030960665133687726,0.0,0.0,0.05974735068564174,0.019421604249977964,0.0
NOTCH1,0.049588035029373034,0.0012310249004674478,0.04991132494292466,0.0,0.002685063547460398,0.0,0.047447230764225024,0.0,0.0,0.0,0.0011862276268571614,0.019193371456130315,0.11692053200571056,0.12919128691657616,0.03376985967548918,0.0,0.0,0.0,0.0,0.006997711287411501,0.0,0.0,0.034811302075649864,0.024371516398752874,0.10489969807715649
KMT2D,0.07095605573291386,0.0,0.11190255973164587,0.0016512612358759449,0.002699259614451832,0.0,0.03633547406983215,0.0,0.0,0.007604551422808858,0.0045208159472150955,0.04350678955983045,0.00952639153744686,0.07316337458597066,0.0,0.001743173651844565,0.0,0.0,0.0,0.0,0.008093167333493967,0.0,0.09357178782422287,0.03404188145544171,0.04610192671547564
