,gene length,silent,nonsense,splice site,missense,recurrent missense,frameshift indel,inframe indel,lost start and stop,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,exp_mean,exp_std,methy_mean,methy_std,cna_mean,cna_std,3'UTR,5'UTR,SNP,DEL,INS
TP53,0.0,0.0026785145216264294,0.046764236141079496,0.03515120349854095,0.0057355342530181486,0.07447699062846536,0.019888118323641124,0.0,0.0,0.0031000788196970386,0.004181235469110145,0.004594070167446784,0.1463148887977324,0.1963248288725683,0.02238792902028308,0.006432859465047458,0.010026869917777903,0.0,0.008445971788780482,0.02181095647578768,0.0017151189236393471,0.0,0.08928908629260818,0.06068983714819326,0.0268806080101196
PIK3CA,0.010599774502893483,0.0,0.0,0.0,0.0,0.1514689438377419,0.0,0.0,0.0,0.0,0.0,0.0,0.08631791549473872,0.1105415837975029,0.01041967077975664,0.002108987471479251,0.019909066894532673,0.0,-0.02232147078093505,0.004837559489352272,0.0,0.0,0.12550690504810014,0.0,0.0
RHOA,-0.038996836124814825,-0.010687026264816782,-0.017334726398092054,-0.006846984567729336,-0.029099679449840016,0.0,-0.0036239050091922548,0.0,0.0,0.0028489131621076275,-0.0020840126603544756,0.0,0.10637084979491128,0.12005457970782799,0.012236797310861247,-0.02536013541750773,0.01823691418784669,-0.00499407258775178,0.02487454935786801,0.006541787912718838,0.0,0.0,0.007283441577064696,0.0,-0.002888660853087116
CUL3,0.007221989131999396,0.003180005741760028,0.05216660910366033,0.06075701263798261,0.01682482689114212,0.0,0.010786886165985998,0.0,0.0,0.0,0.0,0.0,0.15300044535158241,0.20063360795502272,0.02478351172200699,0.0,0.0020686814752265414,0.0,0.005698279095747938,0.01233003550565398,0.0,0.0,0.044512255295609204,0.0,0.030424790461782703
KEAP1,0.0,0.0044578399254536355,-0.01378936278697096,-0.007954775586942409,-0.007725098951406634,0.0,0.0,0.0,0.0,0.0,0.003864411693055736,0.0,0.09113884546522807,0.11904507575279902,0.023196149947860067,-0.01779069415206224,0.011006821801583105,0.0,0.008032931433457957,-0.015816144005905225,-0.019670349421865505,0.0,0.11425042827802112,0.0,0.0
CASP8,0.0,0.0032229468815190565,0.06485636063329725,0.039688756039823914,0.009619590378740772,0.0,0.012839897231426922,0.0,0.0,0.0,0.003943064407373964,0.012173270310293416,0.1105573678482189,0.1593927249907503,0.014617338929557688,0.004416280091875557,0.002151733415396151,0.004075160380224485,0.012355034715456237,-0.01635007940712707,0.0,0.0,0.10692290364571344,0.06562087175690778,0.0
EP300,0.03894547656462316,0.005589578602409939,0.042945030880156665,0.05419362801952132,0.0,0.04462450968060294,0.0,0.0,0.0,0.001877903557563232,0.004616351585352008,0.016519867817860856,0.15909481119376667,0.21817138165039196,0.03613780103313624,0.010411276941368786,0.010374797386011991,0.0,0.0057785897964663935,0.0,0.0,0.0,0.0840365032545024,0.0,0.0
NOTCH1,0.03802065315334485,0.0036207080296607463,0.06959184280726394,0.0,0.0045911439193834225,0.02759286751273926,0.019758011577867274,0.0,0.0,0.002092171214100047,0.005134759868248628,0.012789092854973816,0.1207554448280308,0.1889094543565641,0.02634305890013572,0.00888052630730446,0.011815100846279347,0.0,0.0,0.026182093840652787,-0.024010415589385325,0.0,0.08202755817224938,0.05333174419575504,0.038034548311423166
TGFBR2,0.0,0.0,0.05699649285478042,0.02027662345824993,0.006062259881992604,0.0,0.0,0.0,0.0,0.002410309051840809,0.006096000310415378,-0.021199333343327964,0.12061894147802199,0.13715621000283346,0.028932267281547575,0.0019940064085760267,0.004280640150771342,0.0,0.03567862033254754,0.015471839981321622,0.0,0.0,0.10723632639852088,0.005949160858500058,0.0
NFE2L2,0.0,0.0,0.0,0.0,0.0,0.14029572084887104,0.0,0.0,0.0,0.004309277345626167,0.004738982775373324,0.006160304368921177,0.09647661595243723,0.12944330967048176,0.026273634801708023,0.0,0.02531041106206583,0.0,-0.020413984089273696,0.012091261349607973,0.0,0.0,0.09356367630837048,0.0,0.04185401185525928
HRAS,-0.008041431739835792,0.0,-0.015768706060435844,-0.005117947905920711,-0.014703972500121815,0.14288522982085292,0.0,0.0,0.0,0.0,0.0,0.008149356550183506,0.08694461582368823,0.11892209900604717,0.010753682636935602,0.005475618308922431,-0.008876057597536402,-0.00578229550788939,-0.017820702966949348,0.01748045165658496,0.0,0.0,0.133103282724923,0.0,0.0
CDKN2A,-0.02030988929874611,0.0015433258054772248,0.0689656805450437,0.03392273132446405,0.009991676541763028,0.0,0.028537331044533265,0.0,0.0,0.0,0.0041124888278030736,0.0,0.10724818905172473,0.16940268073540868,0.0,0.0,0.006887487848143248,0.01083780991925093,0.01356470539538901,0.01835455920931628,0.0,0.0,0.08317296579937367,0.06972500729073439,0.023789329352626676
FBXW7,0.005242078036457987,0.0,0.032946114662813414,0.0,0.0021969693494108267,0.1012413104269394,0.02195012040188188,0.0,0.0,0.0,0.0,0.009276912077903654,0.11341150481192103,0.14823961491162663,0.0035968522624688637,0.0,0.013328340479687673,0.0,0.02367309380898419,0.01875281099616377,0.0,0.0,0.08029821965524453,0.0279667633121492,0.02941108848436713
RB1,0.016979309931770603,0.0,0.09228366934064797,0.0,0.024037512679269124,0.0,0.02783468947569795,0.0,0.0,0.0015543140628457852,0.006575809727775883,0.01724065142427922,0.154139615259141,0.2233955157347779,0.020081885473144323,0.010128560766092642,0.0,0.028388181659141754,0.04297375709288259,0.016165417098881252,0.001879066397431739,0.0,0.0,0.024659551839954608,0.0
PTEN,-0.01940668291438663,0.00470073414135197,0.08031346247380872,0.07767803037295279,0.022236822368922354,0.0,0.012751232494380371,0.0,0.0,0.008009931019473171,0.007304902356674414,0.010199089090632801,0.14838971740523008,0.16199614469855528,0.029070747133098707,0.007457855508964717,0.018309194469884882,0.0,0.050021798920366733,0.026952846790893492,0.0011690916434562992,0.0,0.0,0.004019732846617052,0.0
ARID2,0.06249788598549305,0.0,0.0993643938968383,0.0,0.020787020640138237,0.0,0.009529792119643221,0.0,0.0,0.0,0.005183995079388576,0.0,0.0,0.04356659219493342,0.01421957513652447,0.006275075270172847,0.0,0.0,-0.014112930682115665,0.010310035595515077,0.0,0.0,0.05542264982440376,0.020883067646446096,0.04046178382778154
KMT2D,0.06517361739040933,0.0,0.09472064491027266,0.03992969905269006,0.01491853838589835,0.0,0.019379923825195988,0.0,0.0,0.0,0.0,0.02723017289255425,0.004924986484076299,0.050194483110752475,0.0,0.005551002861200444,0.0,0.0,-0.014191700373817367,0.014746765545851886,0.0,0.0,0.09178094231725492,0.08608125277191503,0.04537717878948011
FAT1,0.04952060086035914,0.0,0.07754783238614865,0.005663659290946033,0.014411229406204817,0.0,0.022965108930162736,0.0,0.0,0.0,0.0,0.0,0.01916827081897915,0.04648268332700922,0.017675724773461354,0.0,0.0,0.0,0.02439810457128999,0.0019241505552093363,0.0,0.0,0.059709630335832764,0.0913042678114313,0.05968910203955702
KDM6A,0.06954963188003654,0.0,0.10789581551822242,0.07023490911106806,0.015976673047281842,0.0,0.012787526126130516,0.0,0.0,0.005162145885689751,0.003991970316104876,0.011300594150144672,0.05611860501638921,0.04990624460312054,0.009787354938083359,0.005277579645165953,0.0,0.0,0.028013565968081577,0.014159159725801007,0.0,0.0,0.03539427138413054,0.000866080287176163,0.0368953803611074
