,gene length,silent,nonsense,splice site,missense,recurrent missense,frameshift indel,inframe indel,lost start and stop,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,exp_mean,exp_std,methy_mean,methy_std,cna_mean,cna_std,3'UTR,5'UTR,SNP,DEL,INS
TP53,-0.022335424769647005,0.006946789890718175,0.0,0.0,0.0048043301632579305,0.04196922707051515,0.0316874568248493,0.0,0.0,0.0,0.004758467367291963,0.01174069357742441,0.10016604446323157,0.18703335521822717,0.02260110071612159,0.0,0.02384224642443261,0.009102667340184334,0.04037152611133055,0.03389897176231585,0.0,0.0,0.07895222326018991,0.20294382025055213,0.0
PIK3CA,0.04551124403853801,0.0013994847736411575,0.0,0.0,0.003651748656064352,0.0423991003417703,0.0,0.0,0.0,0.004092360951102436,0.014353704621961588,0.0,0.08678230106610613,0.10114489980112423,0.009892758837927978,0.0,0.022660321134816114,0.013707528304578998,0.012106417853419565,0.0,0.0,0.0,0.03506733957565911,0.0,0.0
PTEN,-0.020324814695317717,0.01001726347875087,0.0,0.0,0.007537563830682603,0.0,0.08989903652723741,0.0,0.0,0.016524051003810658,0.005708170534494572,0.01144293294213855,0.1144063031043086,0.15184296846413375,0.02966881902181978,0.005969192153610359,0.022607617696069005,0.01179181033165777,0.04177564757989932,0.03394389827749372,0.0,0.0,0.014913478722286821,0.14330646310914752,0.026738807874486237
CTNNB1,0.02683284454676571,0.0060745687329282205,0.0,0.0,0.002362762678958852,0.0,0.0,0.0,0.0,0.013725197085557472,0.005767371653702669,0.001559924280789382,0.15646803554493416,0.2616971098242151,0.0250346416879893,0.01686546206424011,0.02286296208805172,0.0170071656836846,0.021669994005666937,0.017798459755674845,0.0,0.0,0.06132842460926502,0.0,0.0
HRAS,-0.024071792546223644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01988635237082295,0.0055104253532803765,0.014541784897330906,0.08538948724998346,0.10892291316542692,0.03683253789826926,0.007720316383314191,0.0,0.0,0.0,0.0,0.0,0.0,0.016608613755934087,0.0,0.0
IDH1,0.0,0.0016260084851345558,0.0,0.0,0.0007327589702518233,0.10252441009626312,0.0,0.0,0.0,0.02099978900162891,0.014873486194083574,0.006227827272548947,0.07531831624782181,0.09806537610081023,0.05932809745968015,0.002708175517000394,0.03625062084486763,0.02694951310606769,0.010092081364215105,0.0,0.0,0.0,0.015644177867764564,0.0,0.0
AKT1,-0.028178785436231688,0.0,0.0,0.0,0.0,0.0,-0.0024009187896649464,0.0,0.0,-0.004524238857571236,0.010478531125848345,0.008921319948142742,0.10591781019631219,0.17508275612157712,0.018647991771389427,0.012761034833941115,0.013003050237557975,-0.006566977365399768,-0.014485710298953777,-0.02119285556241196,0.0,0.0,-0.00512727308261994,-0.005280810599491315,0.0
APC,0.08167967740162935,0.007575593448223172,0.03128726638563045,0.0,0.0,0.0,0.0,0.0,0.0,0.007745929684422559,0.0,0.005633375814033392,0.12281792810338865,0.24277772971562456,0.013263949721187107,0.0017412844509004932,0.0036438102175706533,0.02052739658594077,0.021064918179122982,0.02370948277404958,0.0,0.0,0.01644372461784327,0.0,0.0
BRAF,-0.004073368879887906,-0.0027431705924549805,-0.0039458154784691585,0.0,-0.00464522642684375,0.0,-0.0029921900204578356,0.0,0.0,0.0019175051733380105,0.009003977920121406,-0.0010433015293307493,0.0030739016577929767,0.07261868380150754,-0.012082829829991447,-0.0116876169331128,0.021562666263323704,0.004810332420315838,0.0,-0.00875049539241722,0.0,0.0,0.010994446511105198,-0.00781971727925744,0.0
KMT2D,0.07787274197809596,0.008410530635565128,0.0,0.0,0.010039630110246778,0.0,0.06859485615890876,0.013340448730445542,0.0,0.007028048639927786,0.0,0.01916721600707516,0.016720386777047347,0.0767105831955785,0.0,0.01165748626104468,0.0,0.0,0.0,0.0,0.0,0.0,0.04875784712781783,0.287383518809649,0.00780020123959313
KDM6A,0.04578194499789216,0.00930960522259959,0.024819343263303872,0.0052180396741128565,0.0022845267462991425,0.0,0.004490557595239655,0.0,0.0,0.014991534406908702,0.004018540004904578,0.011436744565065271,0.037877170097402824,0.06454168225100948,0.010096995433796482,0.0016986392109640258,0.0,-0.009947843936587764,0.0,0.0015588800135497571,0.0,0.0,0.013935568238847965,0.16137156788568707,0.0
FOXA1,-0.012904504653855002,0.007204940391615192,0.0,0.0,0.0,0.0,0.0,0.031004700856987782,0.0,0.00452031657159286,0.0,0.0,-0.01686693129369252,-0.04330840061183647,0.00891154401732016,0.004271661708330245,0.013020572237881563,0.010681306255730383,0.0,0.0,0.0,0.0,0.06420470211490358,0.26131501664744644,0.0
