gene	Total Mutations	Unmapped to Ref Tx	num recurrent	position entropy	mean vest score	entropy p-value	vest p-value	combined p-value	entropy BH q-value	vest BH q-value	combined BH q-value
TFDP3	2	0	0	1.0	0.719	1.0	0.00029	0.002652232594145289	1.0	0.948038427991284	1.0
CACNA1H	1	0	0	1.0	0.94	1.0	0.00217	0.015478671001802596	1.0	0.948038427991284	1.0
FAM161A	1	0	0	1.0	0.966	1.0	0.00219	0.015601239679986664	1.0	0.948038427991284	1.0
KLHL18	1	0	0	1.0	0.996	1.0	0.00268	0.018550795138351114	1.0	0.948038427991284	1.0
DNAH1	2	0	0	1.0	0.8785000000000001	1.0	0.00348	0.023179315988481216	1.0	0.948038427991284	1.0
XPNPEP1	2	0	0	1.0	0.9725	1.0	0.00375	0.02469749789624931	1.0	0.948038427991284	1.0
CUL3	1	0	0	1.0	0.987	1.0	0.0038	0.024976466006549226	1.0	0.948038427991284	1.0
SMC3	2	0	0	1.0	0.9484999999999999	1.0	0.00444	0.02849192800726873	1.0	0.948038427991284	1.0
SPON2	1	0	0	1.0	0.937	1.0	0.00466	0.029678327611735753	1.0	0.948038427991284	1.0
QRFPR	1	0	0	1.0	0.993	1.0	0.00469	0.029839293446697317	1.0	0.948038427991284	1.0
ADSSL1	2	0	0	1.0	0.938	1.0	0.00513	0.032178692549571224	1.0	0.948038427991284	1.0
LONRF3	2	0	0	1.0	0.942	1.0	0.00547	0.033960367344138896	1.0	0.948038427991284	1.0
ZNRF3	1	0	0	1.0	0.951	1.0	0.00574	0.035360099434054784	1.0	0.948038427991284	1.0
SLC44A1	1	0	0	1.0	0.987	1.0	0.00585	0.03592668466376948	1.0	0.948038427991284	1.0
LNX1	2	0	0	1.0	0.925	1.0	0.0065	0.03923369516352354	1.0	0.948038427991284	1.0
ITPR1	1	0	0	1.0	0.981	1.0	0.00674	0.04043794668635038	1.0	0.948038427991284	1.0
STRN4	1	0	0	1.0	0.9329999999999999	1.0	0.00689	0.04118624409636076	1.0	0.948038427991284	1.0
IRGC	2	0	0	1.0	0.7545000000000001	1.0	0.00726	0.04301822576805582	1.0	0.948038427991284	1.0
CARD8	2	0	0	1.0	0.665	1.0	0.00755	0.04444086825369509	1.0	0.948038427991284	1.0
BEST1	1	0	0	1.0	0.996	1.0	0.00772	0.04526962386337889	1.0	0.948038427991284	1.0
PPP1R18	1	0	0	1.0	0.973	1.0	0.00851	0.049073028492737224	1.0	0.948038427991284	1.0
COL23A1	1	0	0	1.0	0.887	1.0	0.00879	0.0504030955864356	1.0	0.948038427991284	1.0
WDR44	2	0	0	1.0	0.9215	1.0	0.00882	0.050545068667057505	1.0	0.948038427991284	1.0
HNRNPM	1	0	0	1.0	0.93	1.0	0.00887	0.050781463881199945	1.0	0.948038427991284	1.0
SLIT2	3	0	0	1.0	0.922	1.0	0.00901	0.05144187606833066	1.0	0.948038427991284	1.0
KIF2C	1	0	0	1.0	0.983	1.0	0.00904	0.0515831087853856	1.0	0.948038427991284	1.0
THSD7B	1	0	0	1.0	0.976	1.0	0.00914	0.052053167326736975	1.0	0.948038427991284	1.0
RNF40	1	0	0	1.0	0.934	1.0	0.0096	0.05420152493288012	1.0	0.948038427991284	1.0
CDH2	1	0	0	1.0	0.993	1.0	0.00989	0.055544525908806944	1.0	0.948038427991284	1.0
SBK2	1	0	0	1.0	0.9359999999999999	1.0	0.01015909137086779	0.05678308585277729	1.0	0.948038427991284	1.0
SOHLH2	1	0	0	1.0	0.857	1.0	0.010259988098413806	0.05724564052324752	1.0	0.948038427991284	1.0
POLE	2	0	0	1.0	0.9490000000000001	1.0	0.010292936986639767	0.0573964772260429	1.0	0.948038427991284	1.0
SALL2	2	0	0	1.0	0.6255	1.0	0.010703658510478881	0.05926797335952887	1.0	0.948038427991284	1.0
TCEAL2	1	0	0	1.0	0.703	1.0	0.011026209299504923	0.060726629140446166	1.0	0.948038427991284	1.0
GPR6	1	0	0	1.0	0.956	1.0	0.011242776516088413	0.06170068855279551	1.0	0.948038427991284	1.0
NLRC5	3	0	0	1.0	0.5003333333333333	1.0	0.01139795976520203	0.06239608944620845	1.0	0.948038427991284	1.0
BRAF	1	0	0	1.0	0.988	1.0	0.011573672210455655	0.063180935817384	1.0	0.948038427991284	1.0
ANGPTL4	1	0	0	1.0	0.9670000000000001	1.0	0.011735987231245892	0.06390356922050587	1.0	0.948038427991284	1.0
TMEM145	1	0	0	1.0	0.972	1.0	0.012015475933001707	0.06514262128432467	1.0	0.948038427991284	1.0
MAGEB2	1	0	0	1.0	0.8420000000000001	1.0	0.012190067532974132	0.06591332612665005	1.0	0.948038427991284	1.0
CD97	1	0	0	1.0	0.9520000000000001	1.0	0.012384054291694015	0.0667667163447864	1.0	0.948038427991284	1.0
SCN11A	1	0	0	1.0	0.9079999999999999	1.0	0.012446325222478063	0.06704001322414233	1.0	0.948038427991284	1.0
RTN4R	1	0	0	1.0	0.8009999999999999	1.0	0.01254091473432072	0.0674545555012868	1.0	0.948038427991284	1.0
IGLV1-50	1	0	0	1.0	0.665	1.0	0.012611612773041417	0.06776392625773046	1.0	0.948038427991284	1.0
SCAP	2	0	0	1.0	0.9025	1.0	0.01279279509780092	0.06855496615690326	1.0	0.948038427991284	1.0
AKAP1	1	0	0	1.0	0.951	1.0	0.013026091260795373	0.0695697600963069	1.0	0.948038427991284	1.0
CDK13	1	0	0	1.0	0.976	1.0	0.013097062328919624	0.06987763838517866	1.0	0.948038427991284	1.0
TRPM7	1	0	0	1.0	0.946	1.0	0.013814826071339761	0.07297008966550857	1.0	0.948038427991284	1.0
PIWIL3	2	0	0	1.0	0.489	1.0	0.014585338817420728	0.07624833647490784	1.0	0.948038427991284	1.0
PIK3R5	1	0	0	1.0	0.9159999999999999	1.0	0.014820523460888638	0.07724074959970402	1.0	0.948038427991284	1.0
CCDC178	2	0	0	1.0	0.6495	1.0	0.01489447266119543	0.07755202039336526	1.0	0.948038427991284	1.0
PALM2-AKAP2	1	0	0	1.0	0.9440000000000001	1.0	0.015225334957369063	0.0789402324169332	1.0	0.948038427991284	1.0
GRM5	1	0	0	1.0	0.99	1.0	0.016229287371991495	0.08310917127564829	1.0	0.948038427991284	1.0
OR9K2	2	0	0	1.0	0.54	1.0	0.01707504482199266	0.08657282077216491	1.0	0.948038427991284	1.0
TBR1	1	0	0	1.0	0.958	1.0	0.01708000273280044	0.08659299942989857	1.0	0.948038427991284	1.0
NLRP9	1	0	0	1.0	0.757	1.0	0.01736804626847526	0.08776287723227325	1.0	0.948038427991284	1.0
SDHA	1	0	0	1.0	0.991	1.0	0.017425549340442957	0.08799584917905842	1.0	0.948038427991284	1.0
ITIH1	3	0	0	1.0	0.6553333333333332	1.0	0.01786926843215039	0.08978722863680322	1.0	0.948038427991284	1.0
SEC24B	2	0	0	1.0	0.9	1.0	0.018103151758721195	0.09072700855470216	1.0	0.948038427991284	1.0
PRODH	1	0	0	1.0	0.84	1.0	0.018673090209698803	0.0930045341574426	1.0	0.948038427991284	1.0
HSD11B1	1	0	0	1.0	0.946	1.0	0.019142053176623725	0.09486548165625777	1.0	0.948038427991284	1.0
OR56A4	1	0	0	1.0	0.831	1.0	0.01918354818907305	0.09502958548994082	1.0	0.948038427991284	1.0
IL17A	1	0	0	1.0	0.973	1.0	0.019439368609307568	0.09603932505389337	1.0	0.948038427991284	1.0
LRP1	6	0	0	1.0	0.6476666666666665	1.0	0.01967574374311349	0.09696931929726568	1.0	0.948038427991284	1.0
SUSD5	1	0	0	1.0	0.867	1.0	0.019737491364847527	0.0972117899319112	1.0	0.948038427991284	1.0
CABLES2	1	0	0	1.0	0.9359999999999999	1.0	0.019866102469356536	0.09771620067099092	1.0	0.948038427991284	1.0
ARHGEF5	1	0	0	1.0	0.775	1.0	0.020073468896159945	0.09852773734348758	1.0	0.948038427991284	1.0
ZNF653	1	0	0	1.0	0.877	1.0	0.02019875575664539	0.09901701286009891	1.0	0.948038427991284	1.0
NOX5	1	0	0	1.0	0.867	1.0	0.02093714668564968	0.10188497852381542	1.0	0.948038427991284	1.0
RUFY4	1	0	0	1.0	0.835	1.0	0.02097095522701059	0.10201566285060028	1.0	0.948038427991284	1.0
NAV3	3	0	0	1.0	0.6973333333333334	1.0	0.02105883839447416	0.10235511373362784	1.0	0.948038427991284	1.0
RHOF	2	0	0	1.0	0.822	1.0	0.021160438444284564	0.10274708941930207	1.0	0.948038427991284	1.0
ADCY2	1	0	0	1.0	0.9670000000000001	1.0	0.021902446503274414	0.10559513187289515	1.0	0.948038427991284	1.0
DLGAP4	1	0	0	1.0	0.96	1.0	0.02311657689729305	0.110201468000074	1.0	0.948038427991284	1.0
FLT4	2	0	0	1.0	0.6965	1.0	0.023295361893447015	0.11087429819443957	1.0	0.948038427991284	1.0
GUCY2D	1	0	0	1.0	0.951	1.0	0.023369946249123627	0.11115457888358786	1.0	0.948038427991284	1.0
KCNJ12	1	0	0	1.0	0.97	1.0	0.024131856463717755	0.11400425846149599	1.0	0.948038427991284	1.0
CHST8	2	0	0	1.0	0.7865	1.0	0.024193743497931436	0.11423466025665402	1.0	0.948038427991284	1.0
DIDO1	1	0	0	1.0	0.722	1.0	0.02475002475002475	0.11629860385028554	1.0	0.948038427991284	1.0
KDM4C	2	0	0	1.0	0.9390000000000001	1.0	0.025060144346431435	0.11744377930777934	1.0	0.948038427991284	1.0
KIF5A	3	0	0	1.0	0.7566666666666667	1.0	0.025119316754584276	0.11766184719950332	1.0	0.948038427991284	1.0
KIF24	2	0	0	1.0	0.7065	1.0	0.02512373439188001	0.11767812190875356	1.0	0.948038427991284	1.0
HDAC6	1	0	0	1.0	0.919	1.0	0.02512752217503832	0.11769207559778351	1.0	0.948038427991284	1.0
MYH8	1	0	0	1.0	0.9840000000000001	1.0	0.02534661495957215	0.11849821534554883	1.0	0.948038427991284	1.0
FGF19	1	0	0	1.0	0.963	1.0	0.025508902607009845	0.11909412187906443	1.0	0.948038427991284	1.0
GFRA1	1	0	0	1.0	0.917	1.0	0.02553756575923183	0.11919926308379085	1.0	0.948038427991284	1.0
KIAA0825	1	0	0	1.0	0.888	1.0	0.025705619248367693	0.11981506511707625	1.0	0.948038427991284	1.0
TLN2	2	0	0	1.0	0.8665	1.0	0.026179381119430335	0.12154518975393905	1.0	0.948038427991284	1.0
