gene	Total SNV Mutations	SNVs Unmapped to Ref Tx	inactivating count	inactivating p-value	inactivating BH q-value
TP53	7	0	3	0.0045	0.2303701749758199
ARHGEF40	3	0	2	0.00618	0.2303701749758199
GPR20	1	0	1	0.012444311705119589	0.2303701749758199
SLCO4C1	3	0	2	0.012484238648706009	0.2303701749758199
ALOXE3	3	0	2	0.012792958755500973	0.2303701749758199
PLEC	1	0	1	0.014475760339311822	0.2303701749758199
GTF3C2	1	0	1	0.016184896254815007	0.2303701749758199
NYAP2	1	0	1	0.01700824900076537	0.2303701749758199
SPG11	1	0	1	0.01771479185119575	0.2303701749758199
RPGRIP1L	1	0	1	0.017730810829979255	0.2303701749758199
WNK1	1	0	1	0.018437597949739107	0.2303701749758199
NF1	3	0	2	0.01862821802466376	0.2303701749758199
GTDC1	1	0	1	0.019483302809492266	0.2303701749758199
SV2C	1	0	1	0.022537242793716616	0.2303701749758199
PCDHB5	2	0	1	0.02256114069127335	0.2303701749758199
ATRX	3	0	2	0.022967913824387332	0.2303701749758199
CDKL3	1	0	1	0.02363339871906979	0.2303701749758199
MAGEB2	1	0	1	0.024567610062893083	0.2303701749758199
INO80	1	0	1	0.026920074299405065	0.2303701749758199
NIPBL	1	0	1	0.027515615111575818	0.2303701749758199
ANO8	1	0	1	0.027646457106521798	0.2303701749758199
MAST4	2	0	1	0.02772694504519492	0.2303701749758199
TM4SF5	1	0	1	0.028301352804664063	0.2303701749758199
KTN1	1	0	1	0.028340654669122858	0.2303701749758199
ALDH18A1	1	0	1	0.02963489805595069	0.2303701749758199
POTEG	1	0	1	0.02969032985956474	0.2303701749758199
KIAA1211	1	0	1	0.02969738366049951	0.2303701749758199
RNFT2	1	0	1	0.029700911817992812	0.2303701749758199
MYBL2	1	0	1	0.029704440813901677	0.2303701749758199
ZNF785	2	0	1	0.030109598940142118	0.2303701749758199
CCT6A	1	0	1	0.032655193808575254	0.2303701749758199
IGSF9B	1	0	1	0.03270325070311989	0.2303701749758199
VSIG2	1	0	1	0.03389370932754881	0.2303701749758199
NOP14	1	0	1	0.03455544421023532	0.2303701749758199
CST1	1	0	1	0.03636892638929299	0.2303701749758199
SLC45A2	1	0	1	0.03846745653177412	0.2303701749758199
CD99L2	1	0	1	0.03940420836945386	0.2303701749758199
OSMR	2	0	1	0.039820013538804606	0.2303701749758199
DTL	1	0	1	0.04127455836222552	0.2303701749758199
ANK3	2	0	1	0.0416267743412563	0.2303701749758199
ALG13	1	0	1	0.04190763557120107	0.2303701749758199
POM121L2	1	0	1	0.043936731107205626	0.2303701749758199
PCSK7	1	0	1	0.044618954131715155	0.2303701749758199
DFNA5	1	0	1	0.045158959537572256	0.2303701749758199
EMP1	1	0	1	0.04551454189613582	0.2303701749758199
KHDC1L	1	0	1	0.04599181345720462	0.2303701749758199
CHRDL2	1	0	1	0.04600027600165601	0.2303701749758199
NPSR1	1	0	1	0.04637573621481241	0.2303701749758199
OR5B12	1	0	1	0.04925380485642516	0.2303701749758199
CTSC	1	0	1	0.04995753609431983	0.2303701749758199
NFASC	1	0	1	0.0546477949614733	0.2303701749758199
SPTB	2	0	1	0.055254724278925846	0.2303701749758199
C19orf71	1	0	1	0.05542315579449094	0.2303701749758199
SMTN	1	0	1	0.05769674590353104	0.2303701749758199
DEAF1	1	0	1	0.058837373499646975	0.2303701749758199
PTPN6	1	0	1	0.05925574780753733	0.2303701749758199
OSTF1	1	0	1	0.05995203836930456	0.2303701749758199
TBX4	1	0	1	0.06008532115604158	0.2303701749758199
OAS1	1	0	1	0.06038647342995169	0.2303701749758199
HEPH	2	0	1	0.060613407685780094	0.2303701749758199
RRNAD1	1	0	1	0.06385288295766554	0.2303701749758199
DES	1	0	1	0.06386103838048407	0.2303701749758199
SERPINA10	1	0	1	0.06507451031430989	0.2303701749758199
ADAMTS6	1	0	1	0.06640106241699867	0.2303701749758199
STK11	1	0	1	0.0676178240584218	0.2303701749758199
OR9Q2	1	0	1	0.0683433570256971	0.2303701749758199
PHLDB1	1	0	1	0.06850253459377997	0.2303701749758199
CAPN6	1	0	1	0.06854009595613433	0.2303701749758199
RBPJL	1	0	1	0.06857769853243725	0.2303701749758199
TMEM203	1	0	1	0.06860122110173561	0.2303701749758199
WDR35	1	0	1	0.0687616035205941	0.2303701749758199
MAGEE1	1	0	1	0.0691897875873521	0.2303701749758199
OR7E24	1	0	1	0.0702543206407194	0.2303701749758199
TMEM40	2	0	1	0.0711997152011392	0.2303701749758199
RB1	1	0	1	0.07281730139081045	0.2303701749758199
PDYN	1	0	1	0.074487895716946	0.2303701749758199
PCDHA11	1	0	1	0.07584376185058779	0.2303701749758199
PA2G4	2	0	1	0.0785237534354142	0.2303701749758199
GADD45G	1	0	1	0.07913270554720266	0.2303701749758199
ASAP3	1	0	1	0.0796876245119133	0.2303701749758199
SERPINB11	1	0	1	0.07995522507395858	0.2303701749758199
RIMS1	6	0	2	0.07998080460689434	0.2303701749758199
ZEB2	2	0	2	0.08038585209003216	0.2303701749758199
CSPG4	3	0	1	0.08048289738430583	0.2303701749758199
CHTF18	1	0	1	0.08129420372327453	0.2303701749758199
KLHL1	1	0	1	0.08357709987463435	0.2303701749758199
EHMT1	2	0	1	0.08593280054996992	0.2303701749758199
RNF44	1	0	1	0.08655011251514627	0.2303701749758199
SLC5A7	1	0	1	0.08731336767659129	0.2303701749758199
PRTG	1	0	1	0.08769622029290537	0.2303701749758199
IMMT	1	0	1	0.08816787162757891	0.2303701749758199
SERPINB2	1	0	1	0.09039139473922082	0.2303701749758199
RBM15B	1	0	1	0.09086778736937756	0.2303701749758199
FGF12	1	0	1	0.09144947416552354	0.2303701749758199
CACNA1S	1	0	1	0.09228497600590624	0.2303701749758199
CR2	1	0	1	0.09249838127832763	0.2303701749758199
SLC6A1	1	0	1	0.09296272194849865	0.2303701749758199
AMER3	2	0	1	0.09373828271466067	0.2303701749758199
ULK1	1	0	1	0.09383503800319039	0.2303701749758199
NAALAD2	1	0	1	0.09489466691971911	0.2303701749758199
A2ML1	1	0	1	0.09659036028204385	0.2303701749758199
SCN1A	1	0	1	0.099147332936744	0.2303701749758199
SLC2A3	1	0	1	0.10013016921998598	0.2303701749758199
SF3B4	1	0	1	0.10030090270812438	0.2303701749758199
DLG5	3	0	1	0.10048231511254019	0.2303701749758199
ANKRD55	1	0	1	0.10089799212995662	0.2303701749758199
NEDD4	1	0	1	0.10182262498727217	0.2303701749758199
NBPF9	1	0	1	0.10400416016640665	0.2303701749758199
TJP2	2	0	1	0.10513036164844407	0.2303701749758199
WNT3	1	0	1	0.10515247108307045	0.2303701749758199
SEC63	1	0	1	0.10546298249314491	0.2303701749758199
GSN	1	0	1	0.10628122010840685	0.2303701749758199
RNF2	1	0	1	0.10633772862611654	0.2303701749758199
ADAMTS2	1	0	1	0.10648493238206794	0.2303701749758199
EYS	1	0	1	0.10848340203948796	0.2303701749758199
F11R	1	0	1	0.11076650420912716	0.2303701749758199
CTLA4	2	0	1	0.11169440411035407	0.2303701749758199
ARID1A	1	0	1	0.112145340361108	0.2303701749758199
GNAS	3	0	1	0.11234692731153803	0.2303701749758199
EMC1	1	0	1	0.11238480557428636	0.2303701749758199
WDR62	2	0	1	0.11285407967498025	0.2303701749758199
RAPGEF3	1	0	1	0.11301989150090416	0.2303701749758199
CETN3	1	0	1	0.11332728921124206	0.2303701749758199
DNAH3	1	0	1	0.11372682815876266	0.2303701749758199
APAF1	1	0	1	0.11406410402646287	0.2303701749758199
EPG5	1	0	1	0.11572734637194769	0.2303701749758199
LGI4	1	0	1	0.11574074074074074	0.2303701749758199
SDHD	1	0	1	0.11609008590666357	0.2303701749758199
UMODL1	3	0	1	0.11609008590666357	0.2303701749758199
SMARCD3	1	0	1	0.11682242990654206	0.2303701749758199
GOSR2	1	0	1	0.11779950524207798	0.2303701749758199
RCOR3	1	0	1	0.12038040207054292	0.2303701749758199
VPS13C	1	0	1	0.12040939193257075	0.2303701749758199
MEAF6	1	0	1	0.12144765606023804	0.2303701749758199
AGBL2	1	0	1	0.12166930283489476	0.2303701749758199
MAMLD1	2	0	1	0.12277470841006753	0.2303701749758199
ARID3A	2	0	1	0.12422360248447205	0.2303701749758199
ARHGEF28	1	0	1	0.1249843769528809	0.2303701749758199
HHATL	2	0	1	0.12690355329949238	0.2303701749758199
ITIH2	2	0	1	0.12732365673542145	0.2303701749758199
SMARCAL1	3	0	1	0.12740476493820868	0.2303701749758199
RMDN1	1	0	1	0.12759984688018375	0.2303701749758199
EXD2	2	0	1	0.1277139208173691	0.2303701749758199
CNTLN	1	0	1	0.1285677552069941	0.2303701749758199
LDLRAD2	1	0	1	0.12966804979253113	0.2303701749758199
LRCH3	1	0	1	0.13012361743656473	0.2303701749758199
TMEM8C	1	0	1	0.1305653479566523	0.2303701749758199
PKN3	1	0	1	0.13171759747102213	0.2303701749758199
ELAVL2	1	0	1	0.13175230566534915	0.2303701749758199
SYNE2	3	0	1	0.13189132155104194	0.2303701749758199
SWT1	1	0	1	0.1335648457326032	0.2313049128457214
ABCC11	3	0	1	0.13419216317767044	0.2313049128457214
NTAN1	1	0	1	0.1358326541700625	0.2324496107799838
ANKRD2	1	0	1	0.13663068725235689	0.2324496107799838
COL6A5	1	0	1	0.1383700013837	0.23388993782277034
FARP1	2	0	1	0.14349261013057826	0.24099399906545838
SLC39A6	1	0	1	0.14461315979754158	0.24132896730545156
IFT140	1	0	1	0.14889815366289458	0.24462204959665373
DCLK1	2	0	1	0.14903129657228018	0.24462204959665373
IRF9	1	0	1	0.14938751120406335	0.24462204959665373
LMLN	1	0	1	0.15424957581366652	0.24854831655948417
MED23	2	0	1	0.1545595054095827	0.24854831655948417
DIXDC1	1	0	1	0.15463120457708365	0.24854831655948417
GALNT3	2	0	1	0.1556420233463035	0.24859170899209346
C22orf42	1	0	1	0.15792798483891346	0.24859170899209346
CCNF	3	0	1	0.158052789631737	0.24859170899209346
CDH16	3	0	1	0.1584534938995405	0.24859170899209346
SI	2	0	1	0.1622586402725945	0.24970074033410342
TRIOBP	2	0	1	0.16241676140977748	0.24970074033410342
TEX2	1	0	1	0.16257519102584947	0.24970074033410342
DSC2	2	0	1	0.16297262059973924	0.24970074033410342
