gene	Total Mutations	Unmapped to Ref Tx	num recurrent	position entropy	mean vest score	entropy p-value	vest p-value	combined p-value	entropy BH q-value	vest BH q-value	combined BH q-value
ERBB2	42	0	14	0.6797947496040474	0.5725714285714286	0.0	0.0	2.402585092994044e-09	0.0	0.0	9.395909652426457e-06
FGFR3	36	0	22	0.46584056089005255	0.7103055555555555	0.0	0.0	2.402585092994044e-09	0.0	0.0	9.395909652426457e-06
TBX20	2	0	0	1.0	0.969	1.0	0.0	0.0001251292546497022	1.0	0.0	0.10302089107817324
TP53	116	0	48	0.7598134088755	0.6465948275862069	0.0	0.0	2.402585092994044e-09	0.0	0.0	9.395909652426457e-06
ADCY8	16	0	4	0.8140380362325801	0.5991875	0.0	0.04041	6.35309996015073e-06	0.0	0.9026860261456374	0.008281795223053156
SMARCA2	18	0	4	0.8848703331208349	0.7966666666666666	3e-05	0.0	6.878171592381709e-09	0.046929	0.0	2.1519047643925414e-05
PIK3CA	53	0	30	0.649585279857772	0.8138679245283018	0.0	0.0	2.402585092994044e-09	0.0	0.0	9.395909652426457e-06
ERCC2	25	0	9	0.8052259941502208	0.60072	0.0	0.00308	5.635091353265798e-07	0.0	0.6595427027027028	0.0009408998930209978
AHR	13	0	6	0.5924245074677014	0.5630000000000001	0.0	0.02494	4.0413294262428956e-06	0.0	0.9026860261456374	0.005747137837701601
NFE2L2	11	0	5	0.6505149978319906	0.8055454545454546	8e-05	0.0	1.7557127510608534e-08	0.06952444444444444	0.0	4.577435760807488e-05
KRAS	7	0	5	0.4092232318950599	0.9375714285714286	8e-05	6e-05	9.67423196113564e-08	0.06952444444444444	0.08532545454545454	0.00021619144366863546
RHOB	13	0	8	0.6673991945509911	0.7204615384615385	0.00013	5e-05	1.290345137902912e-07	0.10167949999999999	0.08532545454545454	0.0002523108624026906
HRAS	12	0	7	0.6160396270529163	0.7054166666666667	6e-05	0.00055	6.01483023090838e-07	0.06952444444444444	0.37407173913043484	0.0009408998930209978
RXRA	11	0	6	0.353759374819711	0.5568181818181818	0.0003	0.00415	1.817248690991928e-05	0.187716	0.6849987368421052	0.021867093287066715
EFCAB13	5	0	3	0.5904362833084088	0.406	0.00161	0.00172	3.820651972248436e-05	0.6627692105263158	0.5605408333333333	0.04269032771563021
CUL1	15	0	4	0.7591760034688151	0.6074666666666667	8e-05	0.07048	7.378359618808258e-05	0.06952444444444444	0.939861595271312	0.07694645301134505
SF3B1	18	0	3	0.9315714232285017	0.7636666666666667	0.00616	0.00106	8.44875709501365e-05	1.0	0.5328396875	0.08260244202331157
GNA13	10	0	3	0.8018796874098555	0.654	0.00339	0.00276	0.00011769836557620457	1.0	0.6541618181818181	0.10302089107817324
SPTBN5	16	0	4	0.7591760034688151	0.0	1e-05	1.0	0.0001251292546497022	0.01955375	1.0	0.10302089107817324
UNC13D	9	0	3	0.8018796874098555	0.4773333333333334	0.00206	0.00551	0.0001405912551991481	0.7672519047619049	0.7456888721804511	0.10996345025401369
