gene	Total SNV Mutations	SNVs Unmapped to Ref Tx	inactivating count	inactivating p-value	inactivating BH q-value
RB1	31	0	28	0.0	0.0
ARID1A	60	0	34	0.0	0.0
KMT2C	53	0	18	0.0	0.0
TSC1	14	0	7	0.0	0.0
STAG2	30	0	15	0.0	0.0
CREBBP	32	0	11	0.0	0.0
KDM6A	50	0	29	0.0	0.0
KMT2D	80	0	40	0.0	0.0
KANSL1	12	0	7	0.0	0.0
EPS8	12	0	7	1e-05	0.003780909090909091
KMT2A	35	0	12	1e-05	0.003780909090909091
NF1	26	0	10	3e-05	0.009597692307692307
ATM	38	0	12	3e-05	0.009597692307692307
MMP27	4	0	4	7e-05	0.020794999999999998
MKI67	39	0	7	0.0001	0.027726666666666667
ZNF766	5	0	4	0.00015	0.038990624999999994
PSIP1	9	0	6	0.00017	0.04159
SYT15	6	0	4	0.00024	0.055453333333333334
EP300	50	0	12	0.00028	0.06129052631578947
RBM10	13	0	6	0.00031	0.0644645
YLPM1	9	0	5	0.00035	0.06690565217391305
PIK3R1	4	0	3	0.00036	0.06690565217391305
TP53	116	0	20	0.00037	0.06690565217391305
PTEN	12	0	5	0.00041	0.07104958333333333
RBMXL2	4	0	2	0.00044	0.07319840000000001
ARID2	19	0	7	0.00046	0.0735823076923077
PPP4R1	10	0	5	0.00053	0.08163962962962963
CDKN1A	9	0	4	0.00067	0.09895551724137931
TGFBR1	9	0	5	0.00069	0.09895551724137931
HIST1H4K	4	0	2	0.00084	0.116452
HNRNPLL	2	0	2	0.00096	0.12879483870967742
PLXDC2	8	0	4	0.00109	0.1416659375
FAM120A	7	0	4	0.00128	0.15779735294117647
ANKRD11	33	0	7	0.00129	0.15779735294117647
PARD3	14	0	6	0.00155	0.1841842857142857
MAP3K1	12	0	4	0.00172	0.19870777777777776
TMEM5	4	0	3	0.00192	0.20021232558139535
CYP3A7	5	0	3	0.00194	0.20021232558139535
DDIT4L	3	0	2	0.00194	0.20021232558139535
LATS1	13	0	5	0.00197	0.20021232558139535
NEMF	7	0	4	0.00202	0.20021232558139535
COL8A1	4	0	2	0.00205	0.20021232558139535
MYO5C	10	0	4	0.00207	0.20021232558139535
FUS	3	0	3	0.00221	0.20702577777777775
PPP1R32	6	0	3	0.00224	0.20702577777777775
ASXL2	29	0	6	0.00257	0.231344375
MAST2	10	0	3	0.00262	0.231344375
NUDT14	4	0	2	0.00267	0.231344375
SPATA32	6	0	3	0.00275	0.23341326530612244
GIGYF2	8	0	4	0.0029	0.241222
TMED8	3	0	2	0.00306	0.24953999999999998
GFM1	4	0	3	0.00315	0.25189415094339623
ZNF786	9	0	3	0.00321	0.25189415094339623
RNF25	7	0	3	0.00337	0.25799898305084745
FAM132A	2	0	2	0.00349	0.25799898305084745
KLHL11	13	0	4	0.00351	0.25799898305084745
MTSS1L	3	0	2	0.00355	0.25799898305084745
SPTAN1	48	0	10	0.00361	0.25799898305084745
SPDYE1	4	0	2	0.00366	0.25799898305084745
HLA-A	4	0	3	0.00395	0.2622480555555555
COL4A4	9	0	3	0.00404	0.2622480555555555
TP53BP2	9	0	4	0.00407	0.2622480555555555
KIAA1522	14	0	4	0.00426	0.2622480555555555
ARID1B	24	0	6	0.00432	0.2622480555555555
CHURC1-FNTB	2	0	2	0.00434	0.2622480555555555
ZDHHC1	4	0	2	0.00434	0.2622480555555555
OGDH	11	0	3	0.00436	0.2622480555555555
IFNL2	2	0	2	0.0044	0.2622480555555555
SIAH1	1	0	1	0.00444	0.2622480555555555
AMOT	8	0	3	0.0045	0.2622480555555555
TNMD	3	0	2	0.00453	0.2622480555555555
STRIP1	6	0	3	0.00454	0.2622480555555555
ZKSCAN3	2	0	2	0.00472	0.2664008108108108
LMCD1	4	0	2	0.00474	0.2664008108108108
ZFP36L1	10	0	3	0.00509	0.2765464935064935
ELAVL1	6	0	2	0.0051	0.2765464935064935
ATG14	6	0	3	0.00512	0.2765464935064935
PRKD1	9	0	3	0.0053	0.278807037037037
HSP90AB1	7	0	3	0.0054	0.278807037037037
ZNF692	3	0	2	0.00542	0.278807037037037
URB2	7	0	3	0.00543	0.278807037037037
ARID3A	3	0	2	0.00572	0.2866202409638554
NFIX	3	0	2	0.00572	0.2866202409638554
LACTB	2	0	2	0.00587	0.29063488095238094
SCRN3	3	0	2	0.00639	0.31145238636363637
HERC6	11	0	4	0.00654	0.31145238636363637
ACMSD	2	0	2	0.00654	0.31145238636363637
ASXL1	16	0	4	0.00659	0.31145238636363637
IREB2	9	0	4	0.00669	0.3126259550561798
LAMA1	24	0	6	0.00692	0.3197808888888889
FAM98A	2	0	2	0.00705	0.32019827956989244
TNRC6C	6	0	3	0.00715	0.32019827956989244
HSPA4L	7	0	3	0.00716	0.32019827956989244
PEG10	3	0	2	0.00733	0.3231223076923077
KIAA1549L	10	0	3	0.0075	0.3231223076923077
BBX	8	0	3	0.00751	0.3231223076923077
HLA-B	3	0	2	0.00771	0.3231223076923077
ARHGEF2	5	0	3	0.00781	0.3231223076923077
EXOC5	5	0	3	0.00789	0.3231223076923077
ZNF714	7	0	2	0.0079	0.3231223076923077
SESTD1	6	0	4	0.00797	0.3231223076923077
DLGAP1	11	0	3	0.008	0.3231223076923077
WNK3	10	0	3	0.00807	0.3231223076923077
CSRNP1	1	0	1	0.00808	0.3231223076923077
PIKFYVE	12	0	4	0.00827	0.32757076190476186
TNFRSF8	4	0	2	0.00873	0.34088252336448593
RAD17	6	0	3	0.00877	0.34088252336448593
ASTL	3	0	2	0.00902	0.3456930275229358
GSG2	3	0	1	0.00906	0.3456930275229358
PRICKLE2	6	0	2	0.00951	0.35956445454545455
NEK11	14	0	6	0.00982	0.36081149122807016
AKAP8	5	0	2	0.00984	0.36081149122807016
KIAA1549	8	0	3	0.00987	0.36081149122807016
BLVRA	4	0	2	0.00989	0.36081149122807016
LRRC41	5	0	3	0.010040362256270207	0.3619250969078595
ATG2B	13	0	4	0.010161052685058172	0.3619250969078595
ARHGAP26	9	0	3	0.010256199872823122	0.3619250969078595
CCZ1B	3	0	2	0.010281507680286238	0.3619250969078595
TBC1D32	8	0	3	0.01038961038961039	0.3619250969078595
IDE	3	0	2	0.010557543892988736	0.3619250969078595
SLMAP	6	0	3	0.010631398773136581	0.3619250969078595
FZD8	6	0	2	0.010704918910239255	0.3619250969078595
EIF4H	2	0	2	0.01078725378093245	0.3619250969078595
OR5K1	5	0	2	0.010907266420889596	0.3619250969078595
TPRG1	6	0	3	0.011055465269255856	0.3619250969078595
C8orf34	7	0	3	0.011086720326393046	0.3619250969078595
BAHD1	8	0	3	0.011137469789613195	0.3619250969078595
S100PBP	9	0	3	0.011138834432364996	0.3619250969078595
SEMA6B	5	0	2	0.011382650564010336	0.36512146280352525
KIT	7	0	3	0.011412789171545633	0.36512146280352525
IL10RA	6	0	3	0.011534025374855825	0.3661832941528655
SIL1	3	0	2	0.011659632022013386	0.36736673923904295
AKAP6	21	0	5	0.011891030595621722	0.3686620095350409
HIRA	11	0	3	0.011912987539015034	0.3686620095350409
MEF2A	2	0	2	0.012041664157986633	0.3686620095350409
NACA	6	0	2	0.012055309761184314	0.3686620095350409
MAGEE2	6	0	2	0.012446015408167076	0.3758005414455409
WDR18	1	0	1	0.012499531267577467	0.3758005414455409
FAM83D	4	0	2	0.012559816124291941	0.3758005414455409
GTF3C3	8	0	3	0.0127000254000508	0.37728146884865194
MCTP2	7	0	3	0.013032202572556788	0.3818240023620024
DCAF4L1	1	0	1	0.01305721672368318	0.3818240023620024
IL17RE	2	0	2	0.013128355935986137	0.3818240023620024
IFT46	3	0	2	0.013380790537104932	0.3839932341850923
USP4	6	0	3	0.013387597729463425	0.3839932341850923
TBC1D16	6	0	2	0.013671848297171295	0.38930651115373915
KIF21B	17	0	4	0.013812154696132596	0.38930651115373915
SCG3	6	0	3	0.014012078411590792	0.38930651115373915
GLB1L3	4	0	2	0.014065291081198925	0.38930651115373915
PLCL2	14	0	5	0.014076378429357694	0.38930651115373915
ADCK1	4	0	2	0.014134475398945568	0.38930651115373915
BCLAF1	11	0	4	0.014332602370612433	0.3902221348181353
KSR1	5	0	2	0.014386833170282557	0.3902221348181353
MYPN	13	0	4	0.014621379380930798	0.3902221348181353
SLC38A11	3	0	2	0.01466985491513489	0.3902221348181353
MEOX2	4	0	2	0.01467954552127066	0.3902221348181353
EIF2A	2	0	2	0.014890923981833074	0.3902221348181353
DLG3	4	0	2	0.015056386166192391	0.3902221348181353
TLR7	4	0	2	0.015057292999864485	0.3902221348181353
VGLL2	3	0	2	0.015184645286686104	0.3902221348181353
KIRREL	6	0	2	0.015214447639478448	0.3902221348181353
TRIM10	4	0	2	0.01525041176111755	0.3902221348181353
DGKH	10	0	3	0.01535320037461809	0.3902221348181353
TMEM120B	1	0	1	0.015387456145749984	0.3902221348181353
ZNF630	4	0	2	0.01571733936879165	0.3950788694835724
CD79A	3	0	2	0.015860679788735746	0.3950788694835724
SNX12	2	0	2	0.015863950758296847	0.3950788694835724
FBN2	29	0	6	0.015987977041264968	0.39579759830131545
SGPP1	5	0	2	0.016090104585679808	0.3959689051588303
GPR112	20	0	5	0.01640339222151141	0.4000247382454139
LIPH	4	0	2	0.016476636129967706	0.4000247382454139
DDX60	6	0	3	0.01668641225450116	0.4000247382454139
BAP1	10	0	3	0.01684664499065011	0.4000247382454139
SDK1	19	0	5	0.01695950071229903	0.4000247382454139
KDM5B	7	0	3	0.016991487264880294	0.4000247382454139
ZBTB44	1	0	1	0.017104835537006313	0.4000247382454139
NIPA2	4	0	2	0.017172983462416927	0.4000247382454139
LEKR1	2	0	2	0.017209038186855735	0.4000247382454139
CREB5	6	0	3	0.01721674155949245	0.4000247382454139
A4GNT	3	0	2	0.017742135798307402	0.4047217866145981
FAM134B	2	0	2	0.0177954941808734	0.4047217866145981
MASP2	5	0	2	0.01790830945558739	0.4047217866145981
OR1L3	2	0	1	0.017943012990741407	0.4047217866145981
RXRA	11	0	2	0.017946877243359655	0.4047217866145981
