gene	Total Mutations	Unmapped to Ref Tx	num recurrent	position entropy	mean vest score	entropy p-value	vest p-value	combined p-value	entropy BH q-value	vest BH q-value	combined BH q-value
PIK3CA	203	0	166	0.41517720153629145	0.8505665024630541	0.0	0.0	2.402585092994044e-09	0.0	0.0	1.0824446705635832e-05
FOLR3	2	0	0	1.0	0.4235	1.0	0.0	0.0001251292546497022	1.0	0.0	0.08456235029226875
METTL7B	3	0	0	1.0	0.9583333333333334	1.0	0.0	0.0001251292546497022	1.0	0.0	0.08456235029226875
AKT1	17	0	16	0.07896266496667848	0.8469411764705882	0.0	0.0	2.402585092994044e-09	0.0	0.0	1.0824446705635832e-05
FOXA1	20	0	6	0.8821744315721146	0.62045	0.00046	0.0	9.290716385387613e-08	0.3272294736842105	0.0	0.0003139333066622475
NUDT1	2	0	0	1.0	0.508	1.0	0.0	0.0001251292546497022	1.0	0.0	0.08456235029226875
TP53	175	0	89	0.7638343034978976	0.6953314285714287	0.0	0.0	2.402585092994044e-09	0.0	0.0	1.0824446705635832e-05
TRAV38-2DV8	2	0	0	1.0	0.173	1.0	0.0	0.0001251292546497022	1.0	0.0	0.08456235029226875
PHC2	6	0	4	0.4841962570206112	0.7556666666666666	7e-05	0.00091	1.11915047717726e-06	0.09829818181818183	0.45553925925925925	0.0030252875699055687
IPO13	6	0	4	0.3109175070825711	0.7364999999999999	7e-05	0.0113	1.1904524584520391e-05	0.09829818181818183	0.8228991474871987	0.026816925714062932
NOS1	8	0	3	0.6934264036172708	0.6995	0.00102	0.00285	3.9966566638078584e-05	0.5994052173913044	0.69691875	0.07716973066861002
DOT1L	8	0	4	0.3109175070825711	0.28675	2e-05	0.19576	5.266196195359894e-05	0.054064	0.9124960446240001	0.08456235029226875
MAP3K5	12	0	3	0.8568636235841013	0.6485833333333333	0.00083	0.00606	6.639401556438775e-05	0.5283527272727273	0.7876947540983606	0.08456235029226875
CTNNAL1	5	0	4	0.3109175070825711	0.7417999999999999	0.00792	0.0008	8.217324975627287e-05	1.0	0.45413760000000003	0.08456235029226875
CRTAP	5	0	4	0.3109175070825711	0.6656000000000001	0.00147	0.0047	8.900647514519364e-05	0.7358711111111111	0.77717	0.08456235029226875
FGFR2	12	0	5	0.6949146629676184	0.5065	3e-05	0.24506	9.425423253688573e-05	0.06758	0.9264371479636513	0.08456235029226875
MB21D2	3	0	3	0.0	0.92	0.00769	0.00105	0.0001027625434531839	1.0	0.5000920000000001	0.08456235029226875
CDC42BPG	7	0	3	0.4056390622295664	0.4167142857142857	9e-05	0.0937	0.00010695875782317607	0.10137	0.8781308832121659	0.08456235029226875
COL4A1	13	0	4	0.7195867761904634	0.3601538461538461	8e-05	0.12105	0.00012148612396491586	0.09829818181818183	0.8925409960667707	0.08456235029226875
CDC42BPA	13	0	3	0.8018796874098555	0.14161538461538462	1e-05	0.99638	0.00012471242114666365	0.03379	1.0	0.08456235029226875
OR51E2	6	0	4	0.4841962570206112	0.5398333333333333	0.0004	0.02875	0.0001422913805098434	0.3003555555555556	0.8781308832121659	0.09158144280814492
MYH10	17	0	4	0.8634890534347651	0.4701176470588236	8e-05	0.2176	0.00020817497260435734	0.09829818181818183	0.9208360340935522	0.12789513316911336
SF3B1	9	0	3	0.7580392711198944	0.6642222222222222	0.00013	0.15251	0.000234515413714745	0.13515999999999997	0.8993979237589244	0.1331301027434078
GRM5	6	0	0	1.0	0.9189999999999999	1.0	2e-05	0.00023639556568820564	1.0	0.03003555555555556	0.1331301027434078
MAP2K4	11	0	3	0.8333333333333334	0.6856363636363637	0.00541	0.0042	0.0002656696444265118	1.0	0.756896	0.14363163656274933
ERBB2	14	0	3	0.9011575366850628	0.5549285714285714	0.00405	0.00862	0.0003931924196612547	1.0	0.7998392405063293	0.2043995670823661
MAGI1	7	0	4	0.4841962570206112	0.11257142857142857	5e-05	0.96289	0.0005267635937035821	0.09654285714285715	1.0	0.25567795656479914
