gene	Total SNV Mutations	SNVs Unmapped to Ref Tx	inactivating count	inactivating p-value	inactivating BH q-value
NF1	17	0	9	0.0	0.0
KMT2C	43	0	20	0.0	0.0
CDH1	31	0	21	0.0	0.0
TP53	175	0	36	0.0	0.0
MAP3K1	31	0	11	1e-05	0.0045780000000000005
RASIP1	3	0	3	2e-05	0.0076300000000000005
RB1	12	0	8	6e-05	0.019620000000000002
ARID1A	14	0	7	0.00011	0.03147375
NCOR1	19	0	7	0.00023	0.05849666666666667
OR10A3	3	0	3	0.00041	0.093849
MOS	4	0	3	0.00065	0.1352590909090909
SPG11	7	0	4	0.00079	0.13910076923076922
OXGR1	3	0	2	0.00079	0.13910076923076922
PTEN	17	0	6	0.00089	0.14497
UPF2	8	0	3	0.00095	0.14497
EP300	10	0	5	0.0011	0.15736875
APOBEC3B	3	0	2	0.00125	0.16277333333333335
DUSP16	4	0	3	0.00128	0.16277333333333335
ARHGAP10	3	0	2	0.00151	0.16321565217391304
CDKN1B	4	0	3	0.00156	0.16321565217391304
RAI1	4	0	3	0.00164	0.16321565217391304
TNK2	2	0	2	0.00164	0.16321565217391304
STMN4	2	0	2	0.00164	0.16321565217391304
MCM6	4	0	2	0.00187	0.17762640000000002
ZNF716	6	0	3	0.00194	0.17762640000000002
CSF2RB	3	0	2	0.00204	0.17959846153846154
FGF7	5	0	3	0.00222	0.18311999999999998
PDE9A	4	0	2	0.00224	0.18311999999999998
SMTNL2	2	0	2	0.00236	0.18627724137931034
ZFHX3	14	0	4	0.00253	0.19303900000000002
TAS2R50	4	0	2	0.00304	0.22446967741935486
ANKRD2	2	0	2	0.00331	0.23167454545454544
SYNJ2	4	0	2	0.00334	0.23167454545454544
CUL7	6	0	3	0.00355	0.23589416666666668
DHX30	4	0	3	0.00367	0.23589416666666668
OR11G2	5	0	2	0.00371	0.23589416666666668
RGS3	3	0	2	0.00385	0.23817972972972973
ECT2	2	0	2	0.00401	0.24154973684210523
HERC5	5	0	3	0.00427	0.242634
ARHGAP5	10	0	4	0.00441	0.242634
DAZAP1	2	0	2	0.00448	0.242634
FAM21A	3	0	2	0.00463	0.242634
GOLGA4	12	0	5	0.00466	0.242634
SPRR2B	3	0	3	0.00476	0.242634
NARS	5	0	3	0.00477	0.242634
PCDH10	7	0	3	0.00507	0.24845187500000002
SLC4A7	3	0	2	0.00516	0.24845187500000002
BSX	4	0	2	0.00521	0.24845187500000002
CEACAM21	3	0	2	0.00561	0.25707230769230766
FARSB	3	0	2	0.00578	0.25707230769230766
UTRN	18	0	6	0.00582	0.25707230769230766
ST8SIA3	3	0	2	0.00584	0.25707230769230766
PXDNL	12	0	4	0.00599	0.25870018867924527
MLLT4	8	0	3	0.00652	0.27141
EIF4A2	7	0	3	0.00656	0.27141
LMAN1L	3	0	2	0.00664	0.27141
DEPDC7	3	0	2	0.00706	0.28351473684210526
