gene	Total Mutations	Unmapped to Ref Tx	num recurrent	position entropy	mean vest score	entropy p-value	vest p-value	combined p-value	entropy BH q-value	vest BH q-value	combined BH q-value
CD79B	5	0	4	0.0	0.48460000000000003	0.00036	0.08741	0.00035767811526801323	0.8222400000000001	0.9174835242614942	0.8169368152721422
B2M	3	0	0	1.0	0.9063333333333333	1.0	0.00053	0.004527595782251598	1.0	0.854216	1.0
MYD88	2	0	0	1.0	0.991	1.0	0.00126	0.009672570883103623	1.0	0.854216	1.0
LPHN2	1	0	0	1.0	0.996	1.0	0.00156	0.01164238835404427	1.0	0.854216	1.0
SLC22A23	2	0	0	1.0	0.9815	1.0	0.00164	0.012157416820919493	1.0	0.854216	1.0
ZMYM4	2	0	0	1.0	0.972	1.0	0.00187	0.013616997505976253	1.0	0.854216	1.0
DYSF	1	0	0	1.0	0.985	1.0	0.00445	0.028546087763477737	1.0	0.9174835242614942	1.0
IGLV3-1	21	0	4	0.8634890534347651	0.3796190476190476	0.00862	0.5381	0.029562430908213262	1.0	1.0	1.0
ZNF217	1	0	0	1.0	0.992	1.0	0.00467	0.02973200428809722	1.0	0.9174835242614942	1.0
PAX1	1	0	0	1.0	0.99	1.0	0.00641	0.038779833411597665	1.0	0.9174835242614942	1.0
CREBBP	3	0	0	1.0	0.886	1.0	0.00642	0.03883032457541931	1.0	0.9174835242614942	1.0
SH3RF3	1	0	0	1.0	0.9329999999999999	1.0	0.00762	0.0447825792887409	1.0	0.9174835242614942	1.0
PKD1L1	1	0	0	1.0	0.7809999999999999	1.0	0.00785	0.045900847715424374	1.0	0.9174835242614942	1.0
MUC17	1	0	0	1.0	0.564	1.0	0.00849	0.04897767470581392	1.0	0.9174835242614942	1.0
SSFA2	1	0	0	1.0	0.9670000000000001	1.0	0.00944	0.053456825380905446	1.0	0.9174835242614942	1.0
EPB41L1	1	0	0	1.0	0.93	1.0	0.010317574957182064	0.057509198441129436	1.0	0.9174835242614942	1.0
MPDZ	1	0	0	1.0	0.977	1.0	0.010692785577570812	0.05921863549370259	1.0	0.9174835242614942	1.0
LYN	2	0	0	1.0	0.987	1.0	0.010907266420889596	0.06018985261814983	1.0	0.9174835242614942	1.0
TP53	3	0	0	1.0	0.6313333333333333	1.0	0.011082419957221859	0.06097985453014953	1.0	0.9174835242614942	1.0
JARID2	1	0	0	1.0	0.977	1.0	0.011880717595342758	0.06454602071074589	1.0	0.9174835242614942	1.0
SWAP70	2	0	0	1.0	0.8365	1.0	0.011909582450039301	0.06467393891575565	1.0	0.9174835242614942	1.0
IDH3A	1	0	0	1.0	0.968	1.0	0.012567866478986528	0.06757254175010535	1.0	0.9174835242614942	1.0
SORCS2	1	0	0	1.0	0.927	1.0	0.012612567161920137	0.0677680998951673	1.0	0.9174835242614942	1.0
STPG2	1	0	0	1.0	0.92	1.0	0.013013716457145831	0.06951603765742677	1.0	0.9174835242614942	1.0
MYO1A	1	0	0	1.0	0.975	1.0	0.013973310976035772	0.07364781845366004	1.0	0.9174835242614942	1.0
CHKA	1	0	0	1.0	0.992	1.0	0.014989357556135145	0.07795087726637837	1.0	0.9174835242614942	1.0
ZNF181	1	0	0	1.0	0.777	1.0	0.015129279694993721	0.07853795724539017	1.0	0.9174835242614942	1.0
DYRK1A	1	0	0	1.0	0.945	1.0	0.015489947024381176	0.08004529329513788	1.0	0.9174835242614942	1.0
SULF2	1	0	0	1.0	0.992	1.0	0.015811776611220036	0.08138321835190526	1.0	0.9174835242614942	1.0
MACROD2	1	0	0	1.0	0.987	1.0	0.015886128232827094	0.0816913800079211	1.0	0.9174835242614942	1.0
HYDIN	1	0	0	1.0	0.845	1.0	0.01621323648626739	0.08304301863399961	1.0	0.9174835242614942	1.0
TRIM72	1	0	0	1.0	0.98	1.0	0.016420630880638436	0.08389656241021669	1.0	0.9174835242614942	1.0
FAM161B	1	0	0	1.0	0.966	1.0	0.016736681785469214	0.08519226186664032	1.0	0.9174835242614942	1.0
ARHGAP44	1	0	0	1.0	0.968	1.0	0.017273543840254268	0.08737958968035925	1.0	0.9174835242614942	1.0
