gene	Total Mutations	Unmapped to Ref Tx	num recurrent	position entropy	mean vest score	entropy p-value	vest p-value	combined p-value	entropy BH q-value	vest BH q-value	combined BH q-value
OR13H1	2	0	0	1.0	0.37749999999999995	1.0	0.0	0.0001251292546497022	1.0	0.0	0.15290971617261032
PDZD2	12	0	0	1.0	0.542	1.0	0.0	0.0001251292546497022	1.0	0.0	0.15290971617261032
TP53	75	0	32	0.7159573186714231	0.6577999999999999	0.0	0.0	2.402585092994044e-09	0.0	0.0	2.050366118361117e-05
PIK3CA	12	0	5	0.7301310573425013	0.8371666666666667	4e-05	0.00062	4.591080701576322e-07	0.08534000000000001	0.40700615384615385	0.0019590141353626168
DNAH10	13	0	3	0.8333333333333334	0.4732307692307692	6e-05	0.08268	6.555173111278913e-05	0.102408	0.9015581722645887	0.15290971617261032
TUBA3C	7	0	3	0.4056390622295664	0.32785714285714285	1e-05	0.81414	0.00010354678996465446	0.04267000000000001	1.0	0.15290971617261032
IRAK4	6	0	4	0.3109175070825711	0.6351666666666667	0.00016	0.06266	0.0001254239528015318	0.22757333333333335	0.8873184579083115	0.15290971617261032
RAD54L2	6	0	4	0.4841962570206112	0.29383333333333334	4e-05	0.63313	0.0002933597879536945	0.08534000000000001	1.0	0.31294155379960364
NFE2L2	6	0	0	1.0	0.8218333333333333	1.0	3e-05	0.00034242939528906336	1.0	0.064005	0.3246991621552074
WWC3	3	0	0	1.0	0.9573333333333333	1.0	4e-05	0.0004450652441540136	1.0	0.068272	0.3671509494031462
POLR3H	4	0	4	0.0	0.8745	0.0012	0.03566	0.00047324354856276166	1.0	0.8618076228065763	0.3671509494031462
TRIM49C	3	0	3	0.0	0.2456666666666667	0.00163	0.04131	0.000714146471534639	1.0	0.8873184579083115	0.4813074511378791
PRDM11	2	0	0	1.0	0.9940000000000001	1.0	7e-05	0.000739691072114044	1.0	0.09956333333333332	0.4813074511378791
AZU1	3	0	3	0.0	0.5553333333333333	0.01025	0.00734	0.0007895833508237998	1.0	0.7439122584518901	0.4813074511378791
PLRG1	2	0	0	1.0	0.9840000000000001	1.0	0.00018	0.0017320596672733325	1.0	0.20268250000000002	0.9696823810794625
