gene	Total Mutations	Unmapped to Ref Tx	num recurrent	position entropy	mean vest score	entropy p-value	vest p-value	combined p-value	entropy BH q-value	vest BH q-value	combined BH q-value
TP53	73	0	26	0.8603294087683998	0.7362191780821918	0.0	0.0	2.402585092994044e-09	0.0	0.0	1.3667105301496618e-05
IDH1	12	0	12	0.0	0.8040000000000002	0.0	0.00155	2.942276001018291e-07	0.0	0.7815504347826088	0.0011158091354528366
PTEN	50	0	3	0.9776636990514238	0.69112	0.5266	0.0	6.92702251906236e-05	1.0	0.0	0.15761747039874494
EGFR	58	0	25	0.7706161920552844	0.6990517241379309	0.0	0.0	2.402585092994044e-09	0.0	0.0	1.3667105301496618e-05
PIK3CA	20	0	3	0.9366510388806776	0.76345	0.00695	0.00039	3.7454712046365816e-05	1.0	0.37923333333333337	0.10653056473787598
FCHO2	5	0	0	1.0	0.889	1.0	2e-05	0.00023639556568820564	1.0	0.056885000000000005	0.39088689317191916
PIK3R1	11	0	3	0.8018796874098555	0.6621818181818182	0.002	0.01019	0.0002405034940848584	1.0	0.9002343758654578	0.39088689317191916
BRAF	6	0	3	0.5904362833084088	0.7651666666666667	0.00153	0.01891	0.00033129080389046687	1.0	0.9295672826306141	0.4328688033559637
NTNG2	2	0	0	1.0	0.988	1.0	3e-05	0.00034242939528906336	1.0	0.068262	0.4328688033559637
COL6A6	9	0	0	1.0	0.7102222222222222	1.0	0.00016	0.0015584538788368713	1.0	0.26546333333333333	1.0
TYSND1	2	0	0	1.0	0.9405000000000001	1.0	0.00017	0.0016455510605553837	1.0	0.26546333333333333	1.0
CCDC141	4	0	0	1.0	0.574	1.0	0.00019	0.0018180124323027185	1.0	0.26546333333333333	1.0
TMEM181	3	0	0	1.0	0.941	1.0	0.00021	0.0019883646357218275	1.0	0.26546333333333333	1.0
CYP4F22	7	0	3	0.5904362833084088	0.49400000000000005	0.00276	0.10933	0.002747715339595764	1.0	0.9385353008724575	1.0
CCDC102B	2	0	0	1.0	0.868	1.0	0.00036	0.003214586349545082	1.0	0.37923333333333337	1.0
CTCF	2	0	0	1.0	0.965	1.0	0.0004	0.0035296184043425174	1.0	0.37923333333333337	1.0
CHL1	5	0	0	1.0	0.7114	1.0	0.00051	0.00437636091444541	1.0	0.44632846153846156	1.0
DPP4	2	0	0	1.0	0.968	1.0	0.00059	0.00497687893242806	1.0	0.4794592857142857	1.0
GLT8D2	5	0	4	0.3109175070825711	0.5114	0.015500511516880058	0.052205722788852035	0.006570380326932903	1.0	0.9295672826306141	1.0
