gene	Total SNV Mutations	SNVs Unmapped to Ref Tx	inactivating count	inactivating p-value	inactivating BH q-value
NF1	29	0	17	0.0	0.0
RB1	13	0	11	0.0	0.0
OPRK1	4	0	3	8e-05	0.046373333333333336
STAG2	7	0	5	0.00035	0.1260775
GAS6	2	0	2	0.00037	0.1260775
BCL11B	5	0	2	0.00049	0.1260775
TP53	73	0	12	0.00055	0.1260775
PXK	2	0	2	0.00058	0.1260775
CCDC102B	2	0	2	0.00087	0.16810333333333333
PPM1N	2	0	2	0.0011	0.17390000000000003
KDM3B	4	0	3	0.0011	0.17390000000000003
ZSCAN29	5	0	3	0.00187	0.27099416666666665
F5	10	0	4	0.0022	0.286935
PNPLA8	2	0	2	0.00231	0.286935
SLC22A3	2	0	2	0.00258	0.288021875
CLTC	2	0	2	0.00265	0.288021875
PRMT7	3	0	2	0.00306	0.3009226086956521
ELP2	2	0	2	0.00345	0.3009226086956521
ABCF2	2	0	2	0.00346	0.3009226086956521
LRP1B	15	0	5	0.00359	0.3009226086956521
RAI14	2	0	2	0.00367	0.3009226086956521
DHX15	3	0	2	0.00391	0.3009226086956521
PCDH17	7	0	2	0.00398	0.3009226086956521
VPS11	2	0	2	0.00499	0.36156708333333326
ATP9B	9	0	3	0.00671	0.41484827622072507
ABCA8	5	0	3	0.00696	0.41484827622072507
IGHV3-43	2	0	2	0.00726	0.41484827622072507
RPTOR	5	0	2	0.0075	0.41484827622072507
HAND1	1	0	1	0.00758	0.41484827622072507
LPA	6	0	3	0.00791	0.41484827622072507
PRR14	2	0	2	0.00813	0.41484827622072507
USP34	4	0	2	0.010099173887575997	0.41484827622072507
DEPDC5	2	0	2	0.01041938004688721	0.41484827622072507
RBM23	1	0	1	0.010493289541338314	0.41484827622072507
RNASE10	1	0	1	0.010696559986308403	0.41484827622072507
KRT83	1	0	1	0.011513441943469	0.41484827622072507
WDR90	6	0	2	0.011673242593327575	0.41484827622072507
VGLL2	1	0	1	0.01183039939428355	0.41484827622072507
LMX1A	2	0	2	0.011950715250307732	0.41484827622072507
BBX	2	0	2	0.012100677637947725	0.41484827622072507
PIK3CA	20	0	4	0.012441215257906393	0.41484827622072507
