gene	Total Mutations	Unmapped to Ref Tx	num recurrent	position entropy	mean vest score	entropy p-value	vest p-value	combined p-value	entropy BH q-value	vest BH q-value	combined BH q-value
TP53	14	0	0	1.0	0.6893571428571429	1.0	4e-05	0.0004450652441540136	1.0	0.06312000000000001	0.7023129552750335
MEGF8	1	0	0	1.0	0.779	1.0	0.00241	0.01693778976086576	1.0	0.85212	1.0
SLC6A19	2	0	0	1.0	0.9465	1.0	0.00242	0.01699805032792877	1.0	0.85212	1.0
MYH14	1	0	0	1.0	0.951	1.0	0.0028	0.019258780413042745	1.0	0.85212	1.0
HNRNPF	1	0	0	1.0	0.946	1.0	0.00312	0.021122157504741525	1.0	0.85212	1.0
REV1	1	0	0	1.0	0.995	1.0	0.00324	0.0218122695153364	1.0	0.85212	1.0
MR1	1	0	0	1.0	0.935	1.0	0.00584	0.035875262975709296	1.0	0.9607879191574292	1.0
WTIP	1	0	0	1.0	0.884	1.0	0.00706	0.0420303702059875	1.0	0.9607879191574292	1.0
OLFM2	1	0	0	1.0	0.9309999999999999	1.0	0.010766232787485331	0.05955170092061641	1.0	0.9607879191574292	1.0
DMXL1	1	0	0	1.0	0.991	1.0	0.011411747252621849	0.06245777075381004	1.0	0.9607879191574292	1.0
HS6ST3	1	0	0	1.0	0.973	1.0	0.011952857928330663	0.06486558858281725	1.0	0.9607879191574292	1.0
NLRP8	1	0	0	1.0	0.723	1.0	0.013003055718093752	0.0694697470112967	1.0	0.9607879191574292	1.0
CSMD2	2	0	0	1.0	0.794	1.0	0.01331628848407372	0.07082623968033838	1.0	0.9607879191574292	1.0
C2orf57	1	0	0	1.0	0.5870000000000001	1.0	0.013977217136068209	0.07366449957870846	1.0	0.9607879191574292	1.0
TSC2	1	0	0	1.0	0.972	1.0	0.014682994156168326	0.07666087150913659	1.0	0.9607879191574292	1.0
SRPR	1	0	0	1.0	0.983	1.0	0.01727294711023595	0.08737716779400802	1.0	0.9607879191574292	1.0
PNMA5	1	0	0	1.0	0.6629999999999999	1.0	0.01794752144728813	0.09010200033226108	1.0	0.9607879191574292	1.0
TCF7L1	1	0	0	1.0	0.851	1.0	0.01966258995634905	0.09691764197544682	1.0	0.9607879191574292	1.0
YLPM1	1	0	0	1.0	0.84	1.0	0.01969124133585381	0.09703019345352866	1.0	0.9607879191574292	1.0
CACNA1B	1	0	0	1.0	0.885	1.0	0.02011263073209976	0.09868075757527171	1.0	0.9607879191574292	1.0
SLC35D1	1	0	0	1.0	0.97	1.0	0.020351262795856483	0.09961154150982664	1.0	0.9607879191574292	1.0
GRPR	1	0	0	1.0	0.988	1.0	0.02190580503833516	0.1056079651049502	1.0	0.9607879191574292	1.0
PARK2	1	0	0	1.0	0.907	1.0	0.0223234217340834	0.10719972429950105	1.0	0.9607879191574292	1.0
BMP7	1	0	0	1.0	0.9359999999999999	1.0	0.022351363433169423	0.10730594448059864	1.0	0.9607879191574292	1.0
LPIN1	1	0	0	1.0	0.988	1.0	0.022370363742114447	0.1073781540724778	1.0	0.9607879191574292	1.0
PHIP	1	0	0	1.0	0.948	1.0	0.02258151928461747	0.1081795555504747	1.0	0.9607879191574292	1.0
ZNF512B	1	0	0	1.0	0.7859999999999999	1.0	0.02320293285071233	0.11052662750755768	1.0	0.9607879191574292	1.0
WDR74	1	0	0	1.0	0.868	1.0	0.023255813953488372	0.11072558408589676	1.0	0.9607879191574292	1.0
ECEL1	1	0	0	1.0	0.98	1.0	0.02328939400996786	0.11085186116603878	1.0	0.9607879191574292	1.0
MRPS30	2	0	0	1.0	0.79	1.0	0.024627508927471987	0.11584512281084534	1.0	0.9607879191574292	1.0
