gene	Total SNV Mutations	SNVs Unmapped to Ref Tx	inactivating count	inactivating p-value	inactivating BH q-value
FAT3	3	0	2	0.00457	0.18607382521692964
IGF1R	1	0	1	0.00533	0.18607382521692964
OTOA	1	0	1	0.011716736185968036	0.18607382521692964
RBM10	1	0	1	0.01271051795360661	0.18607382521692964
MAML1	2	0	1	0.016673336001067095	0.18607382521692964
DBF4	1	0	1	0.01734394782940493	0.18607382521692964
WNT5B	1	0	1	0.018092015993342137	0.18607382521692964
SPTB	1	0	1	0.01910694155186579	0.18607382521692964
PAXBP1	1	0	1	0.020830729492146816	0.18607382521692964
CDKN1B	1	0	1	0.02208236722976703	0.18607382521692964
FRYL	1	0	1	0.022666999115987036	0.18607382521692964
LAMA4	1	0	1	0.023180880409837967	0.18607382521692964
RNF32	1	0	1	0.026567481402763018	0.18607382521692964
ALPL	1	0	1	0.026692291266282298	0.18607382521692964
ZNF836	2	0	1	0.02806229830223095	0.18607382521692964
RTCB	1	0	1	0.028115159694107064	0.18607382521692964
TTC8	1	0	1	0.03402286336418073	0.18607382521692964
VWF	1	0	1	0.03595958143047215	0.18607382521692964
SARDH	1	0	1	0.03839803402065814	0.18607382521692964
SLC2A10	1	0	1	0.04002561639449247	0.18607382521692964
FXN	1	0	1	0.04139415514529349	0.18607382521692964
NDUFB5	1	0	1	0.04206275763439051	0.18607382521692964
IGDCC4	1	0	1	0.04375218760938047	0.18607382521692964
FERMT3	1	0	1	0.04668534080298786	0.18607382521692964
USP49	1	0	1	0.0468471844842125	0.18607382521692964
F8	1	0	1	0.050436273768094016	0.18607382521692964
GZMK	1	0	1	0.0504999495000505	0.18607382521692964
OR13C2	1	0	1	0.05349309939017867	0.18607382521692964
SUPT6H	1	0	1	0.05393452348848498	0.18607382521692964
CCL27	1	0	1	0.055950316119286074	0.18607382521692964
MYBPC3	1	0	1	0.05837370848169984	0.18607382521692964
VWDE	1	0	1	0.06013590715015936	0.18607382521692964
DNAH5	2	0	1	0.06170554115759595	0.18607382521692964
DAZL	1	0	1	0.06248437890527368	0.18607382521692964
CHPF2	1	0	1	0.0656943896991197	0.18607382521692964
ASIC1	1	0	1	0.06735821096591675	0.18607382521692964
ATR	1	0	1	0.0691945751453086	0.18607382521692964
TOX	1	0	1	0.07118451025056947	0.18607382521692964
SMAD3	1	0	1	0.07149495960534782	0.18607382521692964
