gene	Total SNV Mutations	SNVs Unmapped to Ref Tx	inactivating count	inactivating p-value	inactivating BH q-value
BAP1	15	0	10	0.0	0.0
SETD2	21	0	14	0.0	0.0
VHL	62	0	30	0.0	0.0
PBRM1	42	0	32	0.0	0.0
NF2	3	0	3	0.00042	0.06342
OR52A5	3	0	2	0.00062	0.07801666666666666
NOTCH3	2	0	2	0.00203	0.16815909090909092
AAMP	2	0	2	0.00231	0.16815909090909092
NLGN2	2	0	2	0.00237	0.16815909090909092
CLOCK	2	0	2	0.00238	0.16815909090909092
FIGN	5	0	2	0.00245	0.16815909090909092
WRAP73	2	0	2	0.00305	0.18584615384615386
PTEN	6	0	4	0.0032	0.18584615384615386
PSMC5	3	0	2	0.00424	0.2283875
SNX16	2	0	2	0.00473	0.2283875
COL24A1	6	0	3	0.00484	0.2283875
TMEM214	3	0	2	0.00645	0.2518883283956549
LCLAT1	2	0	2	0.00749	0.2518883283956549
ZBTB46	1	0	1	0.00789	0.2518883283956549
MACROD2	3	0	2	0.00793	0.2518883283956549
COL21A1	2	0	2	0.00812	0.2518883283956549
CNTNAP4	2	0	2	0.00843	0.2518883283956549
EHMT1	2	0	1	0.00887	0.2518883283956549
CYP4F11	2	0	2	0.010718802924089438	0.2518883283956549
MNS1	2	0	2	0.01163345315790086	0.2518883283956549
EIF4E2	2	0	2	0.011784809380708267	0.2518883283956549
ANK2	8	0	3	0.011951429390955158	0.2518883283956549
OR5K2	2	0	1	0.01378112812314816	0.2518883283956549
RPN1	2	0	2	0.014970956344691299	0.2518883283956549
SLC45A3	2	0	1	0.015305029232605835	0.2518883283956549
SIAH2	1	0	1	0.01556686747925715	0.2518883283956549
DENND6A	1	0	1	0.015584577502103918	0.2518883283956549
COL11A1	4	0	2	0.015952016334864726	0.2518883283956549
IQCG	3	0	2	0.016604124464516985	0.2518883283956549
ARHGAP35	4	0	2	0.017690035203170053	0.2518883283956549
SLC3A1	1	0	1	0.018286550242296792	0.2518883283956549
OR4X1	1	0	1	0.018975692138370748	0.2518883283956549
IGSF22	6	0	2	0.019034204465424368	0.2518883283956549
ANGPT1	1	0	1	0.019049796167181013	0.2518883283956549
EGLN1	1	0	1	0.019579817124508056	0.2518883283956549
NEUROD6	2	0	1	0.020056157240272765	0.2518883283956549
SMC5	2	0	2	0.020428591857163284	0.2518883283956549
SAMD10	1	0	1	0.020840714419690307	0.2518883283956549
SLC44A2	3	0	2	0.021316961906589073	0.2518883283956549
RSPH6A	1	0	1	0.021633783316026306	0.2518883283956549
CNNM1	1	0	1	0.022071644558236035	0.2518883283956549
DDX18	1	0	1	0.02277385561375541	0.2518883283956549
EME2	2	0	2	0.022783195115282966	0.2518883283956549
MAGED2	1	0	1	0.0247537006782514	0.2518883283956549
SEC24D	1	0	1	0.025396180414465664	0.2518883283956549
ULBP2	1	0	1	0.025662740267405754	0.2518883283956549
ZNF467	1	0	1	0.025745990062047835	0.2518883283956549
LUC7L2	2	0	2	0.026392884478344637	0.2518883283956549
ADAMTS6	1	0	1	0.02729779160865886	0.2518883283956549
MCPH1	3	0	2	0.027425061020760772	0.2518883283956549
CDH2	3	0	2	0.02759686499613644	0.2518883283956549
PACSIN1	1	0	1	0.02767170291659749	0.2518883283956549
DMXL2	5	0	2	0.028243800485793367	0.2518883283956549
KRT33A	1	0	1	0.028413934193328407	0.2518883283956549
EVPL	1	0	1	0.029785839811753492	0.2518883283956549
ZSCAN9	1	0	1	0.029911462072266092	0.2518883283956549
MRPS7	1	0	1	0.03006253006253006	0.2518883283956549
UGT2B4	2	0	1	0.030421027013871987	0.2518883283956549
LIPF	2	0	2	0.030978934324659233	0.2518883283956549
VPS53	1	0	1	0.031153618492787936	0.2518883283956549
TPTE2	1	0	1	0.03198260146480315	0.2518883283956549
GRIK5	1	0	1	0.03247596778383996	0.2518883283956549
PDCD2L	1	0	1	0.03250235642084051	0.2518883283956549
TMEM17	1	0	1	0.033083005260197834	0.2518883283956549
RAB12	1	0	1	0.03479471120389701	0.2518883283956549
RGL1	1	0	1	0.03489670575097711	0.2518883283956549
OR2T33	3	0	1	0.03516792685071215	0.2518883283956549
COG3	1	0	1	0.03529951639662537	0.2518883283956549
SELENBP1	2	0	1	0.03574747980267391	0.2518883283956549
VMP1	1	0	1	0.03577945543668826	0.2518883283956549
CEP250	1	0	1	0.03634513338663953	0.2518883283956549
CASQ1	1	0	1	0.03665823527255398	0.2518883283956549
DPEP3	1	0	1	0.03693580556991948	0.2518883283956549
INTS10	1	0	1	0.037472832196657424	0.2518883283956549
SLC6A3	1	0	1	0.03827751196172249	0.2518883283956549
RUFY2	3	0	2	0.03860705737008725	0.2518883283956549
GPATCH11	3	0	2	0.03919877699815766	0.2518883283956549
EXD3	1	0	1	0.03935768261964735	0.2518883283956549
PPP1R16B	1	0	1	0.04002882075094068	0.2518883283956549
PAIP2	1	0	1	0.04012841091492777	0.2518883283956549
ARRDC1	1	0	1	0.040264132710581414	0.2518883283956549
ITGA11	1	0	1	0.04027548431269886	0.2518883283956549
TTC8	1	0	1	0.04042200573992481	0.2518883283956549
TLR8	4	0	2	0.04095339503644852	0.2518883283956549
PANK2	2	0	1	0.04100881689563256	0.2518883283956549
SLC5A12	1	0	1	0.04121501875283353	0.2518883283956549
UNC80	6	0	2	0.041423304751253054	0.2518883283956549
TMEM130	1	0	1	0.041990342221289105	0.2518883283956549
TMIGD1	1	0	1	0.042333418000169334	0.2518883283956549
NSMAF	1	0	1	0.04283755997258396	0.2518883283956549
MRPL18	1	0	1	0.044234086787278276	0.2518883283956549
C1orf168	3	0	2	0.04438526409232135	0.2518883283956549
SRSF1	2	0	1	0.044706723891273246	0.2518883283956549
MMRN2	2	0	1	0.04503490204908804	0.2518883283956549
LPA	4	0	2	0.045833715280960675	0.2518883283956549
STT3A	1	0	1	0.04679676166409284	0.2518883283956549
SLC7A10	1	0	1	0.047165361758324684	0.2518883283956549
EIF5A	1	0	1	0.047357454063269556	0.2518883283956549
TM2D2	1	0	1	0.0473798919738463	0.2518883283956549
PCDH1	6	0	2	0.047644004002096334	0.2518883283956549
HIF1A	4	0	2	0.04783087004352609	0.2518883283956549
MAPK6	1	0	1	0.04800307219662058	0.2518883283956549
FMR1NB	1	0	1	0.049125564943996856	0.2518883283956549
TXNDC5	1	0	1	0.04934616333580064	0.2518883283956549
CLDN19	1	0	1	0.04952456418383518	0.2518883283956549
GRM6	2	0	1	0.04957612413861484	0.2518883283956549
SNX18	1	1	1	0.049637645190112184	0.2518883283956549
KIAA1324	1	0	1	0.04964010920824026	0.2518883283956549
EBP	1	0	1	0.04983057604145904	0.2518883283956549
PCNXL2	1	0	1	0.0504999495000505	0.2518883283956549
UMODL1	1	0	1	0.050548450689986354	0.2518883283956549
AKAP3	1	0	1	0.05100999795960008	0.2518883283956549
PRKCD	2	0	1	0.05113781641523907	0.2518883283956549
ATM	8	0	3	0.05149065444621801	0.2518883283956549
COPS4	1	0	1	0.051639555899819264	0.2518883283956549
ATP8A2	1	0	1	0.05173841059602649	0.2518883283956549
DDX5	2	0	1	0.052375216047766196	0.2518883283956549
COL6A2	2	0	1	0.0525154920701607	0.2518883283956549
RHOJ	1	0	1	0.05279273571956499	0.2518883283956549
CPB1	1	0	1	0.053008216273522396	0.2518883283956549
LGSN	1	0	1	0.05323679727427598	0.2518883283956549
DDR1	1	0	1	0.05390254420008624	0.2518883283956549
PDHB	1	0	1	0.053928706250337057	0.2518883283956549
SLC9A4	2	0	1	0.054191730341949816	0.2518883283956549
SENP8	1	0	1	0.05452265416280465	0.2518883283956549
SEPW1	1	0	1	0.05549697541483989	0.2518883283956549
NRBP2	1	0	1	0.056072670180554	0.2518883283956549
PALB2	1	0	1	0.05646208570944611	0.2518883283956549
GAN	3	0	2	0.056580287427860136	0.2518883283956549
AZU1	1	0	1	0.05672149744753262	0.2518883283956549
NREP	1	0	1	0.05692167577413479	0.2518883283956549
CDK15	1	0	1	0.05705808513066302	0.2518883283956549
XPO6	3	0	1	0.05862351975612616	0.2518883283956549
CHRNA1	1	0	1	0.05894141223623718	0.2518883283956549
ZXDC	1	0	1	0.05959830740806961	0.2518883283956549
A1BG	1	0	1	0.059665871121718374	0.2518883283956549
DUOX2	2	0	1	0.06109481915933529	0.2518883283956549
P4HA2	1	0	1	0.061139642944485206	0.2518883283956549
RNF139	1	0	1	0.061667488899852	0.2518883283956549
PIK3CD	1	0	1	0.06171696599395174	0.2518883283956549
MDFIC	1	0	1	0.06233636703652911	0.2518883283956549
STMN3	1	0	1	0.062359690695934146	0.2518883283956549
