gene	Total Mutations	Unmapped to Ref Tx	num recurrent	position entropy	mean vest score	entropy p-value	vest p-value	combined p-value	entropy BH q-value	vest BH q-value	combined BH q-value
TTN	39	0	4	0.9345396758297344	0.18343589743589744	0.0	0.65752	8.503183801199951e-05	0.0	1.0	0.10619059370398538
MET	22	0	16	0.6663959695465137	0.7743181818181818	0.0	0.0	2.402585092994044e-09	0.0	0.0	1.800257010180437e-05
KRAS	5	0	5	0.0	0.9668000000000001	0.00131	3e-05	7.094452238001973e-07	0.7665915384615385	0.07493	0.0024086084941791915
ATP11A	6	0	4	0.4841962570206112	0.8293333333333334	2e-05	0.00272	9.643434515597992e-07	0.049953333333333336	0.4632036363636364	0.0024086084941791915
EP400	8	0	4	0.6666666666666666	0.501875	9e-05	0.01282	1.6929072481309613e-05	0.1685925	0.6513950616725858	0.031712385025613236
MCM6	5	0	4	0.0	0.764	0.00017	0.03437	7.625150034635721e-05	0.21230166666666667	0.7333281854536383	0.10619059370398538
BRWD1	4	0	0	1.0	0.9205	1.0	1e-05	0.0001251292546497022	1.0	0.037465000000000005	0.13394192929860266
KIF20A	4	0	4	0.0	0.714	0.0007	0.03235	0.00026484621618625076	0.606933	0.7333281854536383	0.24806158723544713
ATP6V1H	4	0	4	0.0	0.8554999999999999	0.00106	0.04638	0.0005368761293588051	0.7220527272727272	0.7383905746162744	0.4084991611557664
ADAMTS19	2	0	0	1.0	0.966	1.0	5e-05	0.0005451743776268069	1.0	0.09366250000000001	0.4084991611557664
MYH7	7	0	3	0.5904362833084088	0.34942857142857137	0.00017	0.86354	0.0014425371976338303	0.21230166666666667	1.0	0.847706888678805
NRAP	5	0	3	0.5904362833084088	0.4790000000000001	0.00073	0.20278	0.0014533674011112364	0.606933	0.9064510572076709	0.847706888678805
FAM168B	2	0	0	1.0	0.981	1.0	0.00015	0.0014707312895802034	1.0	0.17795875	0.847706888678805
MAGEC2	2	0	0	1.0	0.595	1.0	0.00017	0.0016455510605553837	1.0	0.17795875	0.8513979472027668
TMEM260	4	0	0	1.0	0.9345	1.0	0.00019	0.0018180124323027185	1.0	0.17795875	0.8513979472027668
KCNH5	2	0	0	1.0	0.986	1.0	0.00019	0.0018180124323027185	1.0	0.17795875	0.8513979472027668
PAPPA	5	0	0	1.0	0.8928	1.0	0.00025	0.0023235124100255064	1.0	0.187325	1.0
C1QL3	2	0	0	1.0	0.897	1.0	0.00028	0.002570601867342608	1.0	0.187325	1.0
