gene	Total Mutations	Unmapped to Ref Tx	num recurrent	position entropy	mean vest score	entropy p-value	vest p-value	combined p-value	entropy BH q-value	vest BH q-value	combined BH q-value
TP53	156	0	87	0.7122225526285281	0.8167692307692308	0.0	0.0	2.402585092994044e-09	0.0	0.0	5.545646911648851e-06
CIC	40	0	16	0.8160725950554251	0.665275	0.0	0.0	2.402585092994044e-09	0.0	0.0	5.545646911648851e-06
PIK3CA	20	0	7	0.8419676733158938	0.8679500000000001	0.0	0.0	2.402585092994044e-09	0.0	0.0	5.545646911648851e-06
ZNF630	2	0	0	1.0	0.63	1.0	0.0	0.0001251292546497022	1.0	0.0	0.16045741421246812
TLR6	2	0	0	1.0	0.413	1.0	0.0	0.0001251292546497022	1.0	0.0	0.16045741421246812
IDH2	10	0	10	0.0	0.9545	0.0	0.0	2.402585092994044e-09	0.0	0.0	5.545646911648851e-06
IDH1	201	0	201	0.0	0.826626865671642	0.0	0.0	2.402585092994044e-09	0.0	0.0	5.545646911648851e-06
EGFR	25	0	7	0.8699906931386321	0.58772	2e-05	0.00013	5.39961614189892e-08	0.038470000000000004	0.13639363636363636	0.00010386161648942573
ABHD16B	3	0	0	1.0	0.795	1.0	1e-05	0.0001251292546497022	1.0	0.014426250000000002	0.16045741421246812
ZNF471	2	0	0	1.0	0.8014999999999999	1.0	4e-05	0.0004450652441540136	1.0	0.05129333333333334	0.513649798278147
OR10R2	2	0	0	1.0	0.8965000000000001	1.0	9e-05	0.000928413079887061	1.0	0.103869	0.9740741231796883
ZNF148	2	0	0	1.0	0.9395	1.0	0.00026	0.002406255521006673	1.0	0.23081999999999997	1.0
SH2B1	3	0	0	1.0	0.8483333333333333	1.0	0.00026	0.002406255521006673	1.0	0.23081999999999997	1.0
FAM135B	4	0	0	1.0	0.8585	1.0	0.00033	0.002975417908156236	1.0	0.27203785714285716	1.0
TYK2	4	0	0	1.0	0.844	1.0	0.00049	0.004224341531761204	1.0	0.37700599999999995	1.0
OBSCN	30	0	0	1.0	0.19593333333333332	1.0	0.00082	0.0066470890985189	1.0	0.5218539130434783	1.0
CRB2	5	0	0	1.0	0.742	1.0	0.00082	0.0066470890985189	1.0	0.5218539130434783	1.0
DIS3	2	0	0	1.0	0.9764999999999999	1.0	0.00083	0.006718090431454116	1.0	0.5218539130434783	1.0
ST3GAL6	2	0	0	1.0	0.9570000000000001	1.0	0.00095	0.007561096144701201	1.0	0.5218539130434783	1.0
METTL14	2	0	0	1.0	0.9844999999999999	1.0	0.00098	0.007769398826573662	1.0	0.5218539130434783	1.0
CCDC82	6	0	0	1.0	0.6221666666666668	1.0	0.00099	0.007838627558687283	1.0	0.5218539130434783	1.0
EIF4B	2	0	0	1.0	0.8765000000000001	1.0	0.00103	0.008114542371042808	1.0	0.5218539130434783	1.0
SP3	2	0	0	1.0	0.9105	1.0	0.00104	0.008183275948462009	1.0	0.5218539130434783	1.0
FNDC1	5	0	0	1.0	0.5912	1.0	0.0011	0.008593689609095593	1.0	0.5262696	1.0
ERMARD	3	0	0	1.0	0.828	1.0	0.00114	0.008865468798896338	1.0	0.5262696	1.0
TAF4	3	0	0	1.0	0.7996666666666666	1.0	0.00121	0.009337733252441919	1.0	0.5300311111111111	1.0
SLCO1C1	1	0	0	1.0	0.991	1.0	0.00124	0.009538878435212839	1.0	0.5300311111111111	1.0
PLEKHG2	2	0	0	1.0	0.737	1.0	0.00129	0.009872515848185031	1.0	0.5317103571428571	1.0
GLUD1	2	0	0	1.0	0.9570000000000001	1.0	0.00161	0.01196474897097708	1.0	0.627061	1.0
GPR128	4	0	0	1.0	0.7572500000000001	1.0	0.00163	0.012093255680586446	1.0	0.627061	1.0
KLHL8	1	0	0	1.0	0.9840000000000001	1.0	0.00169	0.012477315207579687	1.0	0.6291706451612904	1.0
BVES	2	0	0	1.0	0.9690000000000001	1.0	0.0018	0.013175943505344028	1.0	0.634755	1.0
TREML2	2	0	0	1.0	0.726	1.0	0.00182	0.013302232175766045	1.0	0.634755	1.0
RNF219	2	0	0	1.0	0.9515	1.0	0.00187	0.013616997505976253	1.0	0.634755	1.0
