gene	Total Mutations	Unmapped to Ref Tx	num recurrent	position entropy	mean vest score	entropy p-value	vest p-value	combined p-value	entropy BH q-value	vest BH q-value	combined BH q-value
PIK3CA	29	0	13	0.7798393018518469	0.7692413793103449	0.0	4e-05	9.055822627528218e-09	0.0	0.06913333333333334	3.521583024280036e-05
APOB	81	0	7	0.9667841471297827	0.2573827160493827	0.0	0.15503	2.228875936955907e-05	0.0	0.8370982574148984	0.02421786833787725
PSME4	14	0	4	0.7591760034688151	0.4723571428571428	0.0	0.17472	2.491069710099878e-05	0.0	0.8489865976372247	0.02421786833787725
GPRASP1	21	0	4	0.8634890534347651	0.3067142857142857	0.0	0.00185	3.479016594399495e-07	0.0	0.36426265822784815	0.0009019350520980691
TP53	134	0	47	0.8533918898891102	0.5866567164179105	0.0	0.0	2.402585092994044e-09	0.0	0.0	1.2457403707174116e-05
PLCL1	18	0	4	0.8140380362325801	0.422	0.0	0.3965	5.32816886469092e-05	0.0	0.9455348809671579	0.04143983334513363
KRAS	97	0	91	0.09328629769551817	0.9044226804123712	0.0	0.0	2.402585092994044e-09	0.0	0.0	1.2457403707174116e-05
BRAF	24	0	14	0.6696850556110132	0.7362500000000001	0.0	0.00013	2.7899172044222603e-08	0.0	0.14443928571428571	8.679432422957652e-05
KEAP1	46	0	4	0.9584954118904735	0.6528695652173913	0.01331	0.0	2.240361176346683e-06	1.0	0.0	0.003168074372552059
EGFR	37	0	13	0.7626614471810181	0.7365945945945946	0.0	0.0	2.402585092994044e-09	0.0	0.0	1.2457403707174116e-05
DEFB121	3	0	3	0.0	0.968	0.01204	0.0	2.0386665350102325e-06	1.0	0.0	0.003168074372552059
DMP1	12	0	4	0.7195867761904634	0.3380833333333333	1e-05	0.00685	1.19850559827996e-06	0.011110714285714288	0.49401527777777776	0.00266325065446354
IFNA6	8	0	4	0.4841962570206112	0.5035000000000001	1e-05	0.01108	1.885321728139763e-06	0.011110714285714288	0.5555116685663463	0.003168074372552059
