gene	Total Mutations	Unmapped to Ref Tx	num recurrent	position entropy	mean vest score	entropy p-value	vest p-value	combined p-value	entropy BH q-value	vest BH q-value	combined BH q-value
TP53	150	0	78	0.7506040418119413	0.7127066666666666	0.0	0.0	2.402585092994044e-09	0.0	0.0	2.3180140977206534e-05
MYL2	2	0	0	1.0	0.803	1.0	0.0	0.0001251292546497022	1.0	0.0	0.6036235244301634
KRAS	3	0	3	0.0	0.956	0.00644	0.00267	0.0002058372922830606	1.0	0.9372478195728003	0.6619727319823229
ZNF12	11	0	4	0.6666666666666666	0.13672727272727273	4e-05	0.96954	0.0004327082092544945	0.19296000000000002	1.0	1.0
BRIP1	3	0	0	1.0	0.9413333333333332	1.0	6e-05	0.0006432699597445298	1.0	0.19296	1.0
C9orf131	3	0	0	1.0	0.5246666666666666	1.0	0.00033	0.002975417908156236	1.0	0.77184	1.0
ZNF816	6	0	3	0.0	0.065	0.00049	0.7792	0.003386863255124971	1.0	1.0	1.0
FAM131B	2	0	0	1.0	0.9835	1.0	0.0004	0.0035296184043425174	1.0	0.77184	1.0
ZNF773	3	0	0	1.0	0.5546666666666666	1.0	0.00062	0.005199190469553585	1.0	0.86832	1.0
ZNF174	2	0	0	1.0	0.8899999999999999	1.0	0.00063	0.005272968165304577	1.0	0.86832	1.0
TRIOBP	7	0	0	1.0	0.4358571428571429	1.0	0.00085	0.006859733077207926	1.0	0.8924400000000001	1.0
ZNF595	5	0	0	1.0	0.2996	1.0	0.00088	0.007071318012432981	1.0	0.8924400000000001	1.0
SOD1	2	0	0	1.0	0.986	1.0	0.00095	0.007561096144701201	1.0	0.8924400000000001	1.0
RFX1	3	0	0	1.0	0.5710000000000001	1.0	0.00105	0.008251913370553336	1.0	0.8924400000000001	1.0
SDCBP2	2	0	0	1.0	0.9359999999999999	1.0	0.00111	0.008661768742660267	1.0	0.8924400000000001	1.0
SPAG17	5	0	0	1.0	0.6958	1.0	0.00141	0.010665473460174808	1.0	0.9372478195728003	1.0
SOX5	5	0	0	1.0	0.8131999999999999	1.0	0.00157	0.011706987065606422	1.0	0.9372478195728003	1.0
ZNF680	2	0	0	1.0	0.549	1.0	0.00175	0.012859244109331754	1.0	0.9372478195728003	1.0
