gene	Total Mutations	Unmapped to Ref Tx	num recurrent	position entropy	mean vest score	entropy p-value	vest p-value	combined p-value	entropy BH q-value	vest BH q-value	combined BH q-value
KRAS	63	0	59	0.08024145990277176	0.897936507936508	0.0	0.0	2.402585092994044e-09	0.0	0.0	2.4937993767337875e-05
TP53	48	0	12	0.8786228754721123	0.7300833333333333	2e-05	0.0	4.6665407498761e-09	0.10688	0.0	2.4937993767337875e-05
GNAS	7	0	3	0.7580392711198944	0.5032857142857142	0.00565	0.00784	0.000488346398240338	1.0	0.9302247857558632	1.0
U2AF1	3	0	3	0.0	0.867	0.02534	0.00284	0.0007584686551364852	1.0	0.9302247857558632	1.0
TRPC6	5	0	0	1.0	0.9225999999999999	1.0	0.00026	0.002406255521006673	1.0	0.9262933333333332	1.0
C1orf74	3	0	0	1.0	0.7920000000000001	1.0	0.00038	0.00337262893599266	1.0	0.9302247857558632	1.0
ENPEP	3	0	0	1.0	0.9466666666666667	1.0	0.00055	0.004678075753855768	1.0	0.9302247857558632	1.0
ATP2A1	5	0	0	1.0	0.9154	1.0	0.00056	0.004753041313571645	1.0	0.9302247857558632	1.0
HTR3A	3	0	0	1.0	0.8156666666666667	1.0	0.00082	0.0066470890985189	1.0	0.9302247857558632	1.0
KIF17	2	0	0	1.0	0.9219999999999999	1.0	0.00085	0.006859733077207926	1.0	0.9302247857558632	1.0
IKBKAP	2	0	0	1.0	0.942	1.0	0.00089	0.007141617294761897	1.0	0.9302247857558632	1.0
CNBD2	2	0	0	1.0	0.899	1.0	0.00099	0.007838627558687283	1.0	0.9302247857558632	1.0
PDE5A	3	0	0	1.0	0.9386666666666666	1.0	0.00104	0.008183275948462009	1.0	0.9302247857558632	1.0
CCDC114	5	0	0	1.0	0.4508	1.0	0.00123	0.009471911564805308	1.0	0.9302247857558632	1.0
TRANK1	5	0	0	1.0	0.6851999999999999	1.0	0.00132	0.010071763075946694	1.0	0.9302247857558632	1.0
DMPK	3	0	0	1.0	0.8610000000000001	1.0	0.0015	0.011253435256310965	1.0	0.9302247857558632	1.0
TECTB	3	0	0	1.0	0.9076666666666666	1.0	0.00175	0.012859244109331754	1.0	0.9302247857558632	1.0
EGFL6	2	0	0	1.0	0.9515	1.0	0.00194	0.014055430573459383	1.0	0.9302247857558632	1.0
ME2	2	0	0	1.0	0.9615	1.0	0.00197	0.014242551820377508	1.0	0.9302247857558632	1.0
MYH15	7	0	0	1.0	0.48471428571428576	1.0	0.002	0.014429216196844381	1.0	0.9302247857558632	1.0
BFAR	2	0	0	1.0	0.9380000000000001	1.0	0.00206	0.014801201550132132	1.0	0.9302247857558632	1.0
MORC4	1	0	0	1.0	0.992	1.0	0.00211	0.015109852069452681	1.0	0.9302247857558632	1.0
CCDC150	1	0	0	1.0	0.8109999999999999	1.0	0.00216	0.015417317643737903	1.0	0.9302247857558632	1.0
XIRP2	11	0	0	1.0	0.4739090909090909	1.0	0.00221	0.015723625707229974	1.0	0.9302247857558632	1.0
UROC1	3	0	0	1.0	0.846	1.0	0.00233	0.016454196736572554	1.0	0.9302247857558632	1.0
AFF2	8	0	0	1.0	0.56975	1.0	0.00234	0.016514794178093314	1.0	0.9302247857558632	1.0
IFI16	2	0	0	1.0	0.48400000000000004	1.0	0.00238	0.01675675840329104	1.0	0.9302247857558632	1.0
GCDH	2	0	0	1.0	0.966	1.0	0.00244	0.017118447664811947	1.0	0.9302247857558632	1.0
PRTFDC1	2	0	0	1.0	0.726	1.0	0.0025	0.017478661367769956	1.0	0.9302247857558632	1.0
GAS7	3	0	0	1.0	0.8893333333333334	1.0	0.00261	0.018135337200460067	1.0	0.9302247857558632	1.0
WSCD2	1	0	0	1.0	0.995	1.0	0.00271	0.01872828600548533	1.0	0.9302247857558632	1.0
VCAN	8	0	0	1.0	0.5327500000000001	1.0	0.00276	0.019023367893938502	1.0	0.9302247857558632	1.0
DSC2	3	0	0	1.0	0.912	1.0	0.00298	0.020311179295825176	1.0	0.9302247857558632	1.0
SIGLEC6	2	0	0	1.0	0.5555	1.0	0.00311	0.021064442239179988	1.0	0.9302247857558632	1.0
PDZK1	1	0	0	1.0	0.987	1.0	0.00331	0.02221277146655337	1.0	0.9302247857558632	1.0
NKX2-4	3	0	0	1.0	0.5836666666666667	1.0	0.00356	0.023631261253460784	1.0	0.9302247857558632	1.0
SETBP1	3	0	0	1.0	0.8523333333333333	1.0	0.0037	0.024417863099528255	1.0	0.9302247857558632	1.0
UBE4B	2	0	0	1.0	0.948	1.0	0.0038	0.024976466006549226	1.0	0.9302247857558632	1.0
PTGES3L-AARSD1	1	0	0	1.0	0.972	1.0	0.00382	0.02508786855130915	1.0	0.9302247857558632	1.0
PKDREJ	7	0	0	1.0	0.4104285714285715	1.0	0.0039	0.025532437030801488	1.0	0.9302247857558632	1.0
EIF3A	2	0	0	1.0	0.9339999999999999	1.0	0.00392	0.025643321410704693	1.0	0.9302247857558632	1.0
WDR45	2	0	0	1.0	0.9265	1.0	0.00394	0.025754103749348837	1.0	0.9302247857558632	1.0
STS	2	0	0	1.0	0.9255	1.0	0.00408	0.02652676582550956	1.0	0.9302247857558632	1.0
TEX19	2	0	0	1.0	0.9	1.0	0.00416	0.026966119251589295	1.0	0.9302247857558632	1.0
CTSD	1	0	0	1.0	0.985	1.0	0.00425	0.0274585542581947	1.0	0.9302247857558632	1.0
GBF1	3	0	0	1.0	0.8813333333333334	1.0	0.0043	0.02773130310201528	1.0	0.9302247857558632	1.0
IMPG1	2	0	0	1.0	0.796	1.0	0.00455	0.02908645760938771	1.0	0.9302247857558632	1.0
CHD1L	1	0	0	1.0	0.992	1.0	0.00457	0.02919426627852743	1.0	0.9302247857558632	1.0
SRRT	1	0	0	1.0	0.927	1.0	0.00471	0.029946497317192445	1.0	0.9302247857558632	1.0
KDM2B	6	0	0	1.0	0.653	1.0	0.00543	0.03375188166754705	1.0	0.9302247857558632	1.0
PPAP2B	2	0	0	1.0	0.954	1.0	0.00562	0.03473960071673015	1.0	0.9302247857558632	1.0
B4GALNT4	8	0	0	1.0	0.46512499999999996	1.0	0.00569	0.03510186622550177	1.0	0.9302247857558632	1.0
COPS8	1	0	0	1.0	0.995	1.0	0.0059	0.03618353727561575	1.0	0.9302247857558632	1.0
FKBP6	1	0	0	1.0	0.9840000000000001	1.0	0.00592	0.03628615947411043	1.0	0.9302247857558632	1.0
DEF6	1	0	0	1.0	0.934	1.0	0.00597	0.03654241985891844	1.0	0.9302247857558632	1.0
KIF9	2	0	0	1.0	0.8965000000000001	1.0	0.00605	0.036951566891983305	1.0	0.9302247857558632	1.0
ANK3	8	0	0	1.0	0.59275	1.0	0.00613	0.03735965604297853	1.0	0.9302247857558632	1.0
CLK1	3	0	0	1.0	0.89	1.0	0.00617	0.03756330824137006	1.0	0.9302247857558632	1.0
CNP	2	0	0	1.0	0.887	1.0	0.00624	0.03791907660278899	1.0	0.9302247857558632	1.0
ACVR1C	2	0	0	1.0	0.908	1.0	0.00627	0.03807130785559493	1.0	0.9302247857558632	1.0
PARM1	2	0	0	1.0	0.8865	1.0	0.00629	0.03817271557001698	1.0	0.9302247857558632	1.0
MROH9	1	0	0	1.0	0.8290000000000001	1.0	0.0063	0.03822339556718328	1.0	0.9302247857558632	1.0
THEMIS	3	0	0	1.0	0.8766666666666666	1.0	0.00632	0.03832470796760371	1.0	0.9302247857558632	1.0
DSPP	1	0	0	1.0	0.713	1.0	0.00632	0.03832470796760371	1.0	0.9302247857558632	1.0
DSCAML1	8	0	0	1.0	0.6755	1.0	0.00633	0.0383753404210889	1.0	0.9302247857558632	1.0
KIAA0895	3	0	0	1.0	0.9376666666666665	1.0	0.00639	0.03867880425768729	1.0	0.9302247857558632	1.0
CSMD1	11	0	0	1.0	0.6390909090909092	1.0	0.00653	0.039384704632080485	1.0	0.9302247857558632	1.0
FRMD7	2	0	0	1.0	0.8125	1.0	0.0066	0.03973652515766838	1.0	0.9302247857558632	1.0
RNF19B	1	0	0	1.0	0.986	1.0	0.0068	0.04073766213424053	1.0	0.9302247857558632	1.0
CYP39A1	2	0	0	1.0	0.894	1.0	0.00682	0.04083744940460455	1.0	0.9302247857558632	1.0
CDH8	1	0	0	1.0	0.99	1.0	0.00691	0.041285768780709685	1.0	0.9302247857558632	1.0
ACTA2	1	0	0	1.0	0.992	1.0	0.00702	0.04183212426782982	1.0	0.9302247857558632	1.0
GRK7	2	0	0	1.0	0.9705	1.0	0.00709	0.04217890586352613	1.0	0.9302247857558632	1.0
HPR	2	0	0	1.0	0.5840000000000001	1.0	0.00721	0.042771784422610856	1.0	0.9302247857558632	1.0
KRCC1	2	0	0	1.0	0.7315	1.0	0.00727	0.04306747263866486	1.0	0.9302247857558632	1.0
TM9SF2	1	0	0	1.0	0.982	1.0	0.00732	0.04331350104138529	1.0	0.9302247857558632	1.0
ST18	4	0	0	1.0	0.75975	1.0	0.00737	0.04355918791139516	1.0	0.9302247857558632	1.0
NKX2-1	1	0	0	1.0	0.978	1.0	0.00763	0.04483134251902243	1.0	0.9302247857558632	1.0
EFTUD2	4	0	0	1.0	0.9175	1.0	0.00779	0.045609783324784936	1.0	0.9302247857558632	1.0
HK3	4	0	0	1.0	0.6555	1.0	0.00806	0.046915984283056635	1.0	0.9302247857558632	1.0
SNRNP200	1	0	0	1.0	0.992	1.0	0.0081	0.04710871886016034	1.0	0.9302247857558632	1.0
MPEG1	2	0	0	1.0	0.772	1.0	0.00825	0.04782972214874325	1.0	0.9302247857558632	1.0
CCDC142	1	0	0	1.0	0.835	1.0	0.00836	0.04835672168176301	1.0	0.9302247857558632	1.0
SMTN	4	0	0	1.0	0.6075	1.0	0.00847	0.04888227380459496	1.0	0.9302247857558632	1.0
CLEC4M	1	0	0	1.0	0.41100000000000003	1.0	0.00854	0.04921597107589136	1.0	0.9302247857558632	1.0
CSRP2BP	2	0	0	1.0	0.9279999999999999	1.0	0.0087	0.04997656060389788	1.0	0.9302247857558632	1.0
C10orf88	2	0	0	1.0	0.612	1.0	0.0088	0.05045043130598222	1.0	0.9302247857558632	1.0
SEPT1	1	0	0	1.0	0.996	1.0	0.00895	0.05115911063292359	1.0	0.9302247857558632	1.0
C16orf46	1	0	0	1.0	0.872	1.0	0.00898	0.05130054346207891	1.0	0.9302247857558632	1.0
GRIN2D	5	0	0	1.0	0.5952	1.0	0.00907	0.0517242419447357	1.0	0.9302247857558632	1.0
DPYD	4	0	0	1.0	0.8625	1.0	0.00921	0.05238155659846442	1.0	0.9302247857558632	1.0
STXBP1	3	0	0	1.0	0.8866666666666667	1.0	0.00933	0.05294327406426652	1.0	0.9302247857558632	1.0
CAPS2	1	0	0	1.0	0.899	1.0	0.00935	0.053036743048622416	1.0	0.9302247857558632	1.0
CHN2	1	0	0	1.0	0.998	1.0	0.00941	0.053316893681871445	1.0	0.9302247857558632	1.0
CYP3A7	2	0	0	1.0	0.7275	1.0	0.0096	0.05420152493288012	1.0	0.9302247857558632	1.0
NCAN	3	0	0	1.0	0.6123333333333334	1.0	0.00963	0.05434085787204734	1.0	0.9302247857558632	1.0
ZSWIM2	2	0	0	1.0	0.6525	1.0	0.00965	0.05443369455904149	1.0	0.9302247857558632	1.0
GRM3	2	0	0	1.0	0.9244999999999999	1.0	0.00983	0.05526736966961068	1.0	0.9302247857558632	1.0
BTBD3	1	0	0	1.0	0.988	1.0	0.00987	0.055452181050047705	1.0	0.9302247857558632	1.0
KCNJ12	2	0	0	1.0	0.9595	1.0	0.010024057738572574	0.05616246292473719	1.0	0.9302247857558632	1.0
