gene	Total Mutations	Unmapped to Ref Tx	num recurrent	position entropy	mean vest score	entropy p-value	vest p-value	combined p-value	entropy BH q-value	vest BH q-value	combined BH q-value
ADCY5	206	0	13	0.9730338158563866	0.47042233009708734	0.40031	0.0	5.3755394156648e-05	1.0	0.0	0.009163339962102788
C3orf70	43	0	12	0.7512943244816899	0.3138837209302326	0.0	0.79195	0.00010094339219347321	0.0	0.9515313255317001	0.014339314750150123
SF3B1	182	0	26	0.9318113315884993	0.6397802197802198	0.0	0.0	2.402585092994044e-09	0.0	0.0	1.8771197116138048e-06
KLF13	18	0	0	1.0	0.5236111111111111	1.0	0.0	0.0001251292546497022	1.0	0.0	0.014394470269549485
HOXD11	25	0	0	1.0	0.5465599999999999	1.0	0.0	0.0001251292546497022	1.0	0.0	0.014394470269549485
IDH1	281	1	237	0.14266167956022216	0.7888785714285715	0.0	0.0	2.402585092994044e-09	0.0	0.0	1.8771197116138048e-06
NOBOX	107	0	15	0.9363628864153042	0.27252336448598136	0.06035	0.0	9.245933697132721e-06	1.0	0.0	0.0025126159819555895
LACTB	44	0	8	0.8838418534933334	0.4059318181818181	0.0	0.0446	6.9678343106771645e-06	0.0	0.3865295512983732	0.002141866576385369
SOBP	101	0	3	0.9896520301011691	0.43340594059405935	0.70202	0.0	9.032693967290348e-05	1.0	0.0	0.013336381463044198
KLHDC7B	56	0	4	0.9598839131733109	0.325	0.08111	0.0	1.2186675695489227e-05	1.0	0.0	0.003086083911396333
RAC1	48	0	20	0.7136789723035589	0.6086041666666667	0.0	9e-05	1.9645763717343782e-08	0.0	0.014674695652173914	1.2702679843583216e-05
SMARCA4	290	0	7	0.9875172669848119	0.5248896551724138	0.99548	0.0	0.00012460876811242784	1.0	0.0	0.014394470269549485
MAP2K1	57	0	19	0.8188035169445785	0.5938245614035087	0.0	0.00044	8.906330970249778e-08	0.0	0.04274839378238342	4.6389614450875996e-05
EIF1AX	41	0	20	0.7397071130669716	0.5798780487804878	0.0	0.0052	9.241451501549795e-07	0.0	0.16782306368330463	0.00036869458958629827
SHANK1	253	0	8	0.9868360771970894	0.2536047430830039	0.53976	0.0	7.086809226246493e-05	1.0	0.0	0.011048546416834944
KLF5	44	0	9	0.8561580486951456	0.3913636363636364	0.0	0.10555	1.5580758995974062e-05	0.0	0.5045836401241092	0.00369816217637354
ERBB2	214	0	50	0.8500857035498343	0.4263598130841121	0.0	0.0	2.402585092994044e-09	0.0	0.0	1.8771197116138048e-06
RARS2	63	0	10	0.8822816179864442	0.5360317460317461	0.0	0.00019	4.00546827064705e-08	0.0	0.024072229729729732	2.4227914691258978e-05
PTEN	430	0	95	0.8214602247671167	0.5393116279069768	0.0	1e-05	2.402585092994044e-09	0.0	0.002884769230769231	1.8771197116138048e-06
GSK3A	29	0	7	0.8300677204059526	0.4023103448275862	0.0	0.2391	3.3339623096946016e-05	0.0	0.6617197839923028	0.006580539712535103
SLAIN1	55	1	10	0.9121970432013287	0.5080185185185185	3e-05	0.0	6.878171592381709e-09	0.007211923076923077	0.0	5.158903821149977e-06
SPOP	89	0	42	0.7576743213669616	0.7081573033707865	0.0	0.0	2.402585092994044e-09	0.0	0.0	1.8771197116138048e-06
KEAP1	167	0	21	0.9538580981909288	0.5383473053892215	0.0402	0.0	6.322179126827604e-06	0.9149558068196533	0.0	0.00197578634678574
U2AF1	41	0	16	0.5652372328735868	0.5833170731707317	0.0	0.00073	1.4406835786818184e-07	0.0	0.05900099137931034	7.301150752395346e-05
