gene	Total Mutations	Unmapped to Ref Tx	num recurrent	position entropy	mean vest score	entropy p-value	vest p-value	combined p-value	entropy BH q-value	vest BH q-value	combined BH q-value
HRAS	7	0	5	0.4092232318950599	0.8497142857142856	0.0	0.00096	1.8683042628933708e-07	0.0	0.49968	0.0001944904737671999
EPAS1	5	0	3	0.5904362833084088	0.8764	0.00314	2e-05	1.1042319159460572e-06	1.0	0.02082	0.0005747527122499228
TRHDE	3	0	3	0.0	0.38599999999999995	0.00097	0.65121	0.005285300762798417	0.504885	1.0	1.0
AKAP5	1	0	0	1.0	0.982	1.0	0.00352	0.02340551589858991	1.0	0.8138394930272485	1.0
FKBP9	3	0	3	0.0	0.146	0.0042	0.89413	0.024727356840430918	1.0	1.0	1.0
C9orf3	1	0	0	1.0	0.978	1.0	0.00457	0.02919426627852743	1.0	0.8138394930272485	1.0
GABRA4	2	0	0	1.0	0.9490000000000001	1.0	0.00477	0.0302676008063706	1.0	0.8138394930272485	1.0
HOXD11	1	0	0	1.0	0.948	1.0	0.00502	0.031597513233298076	1.0	0.8138394930272485	1.0
TGDS	3	0	3	0.0	0.293	0.00788	0.64802	0.03205419098508207	1.0	1.0	1.0
GABBR1	1	0	0	1.0	0.95	1.0	0.00562	0.03473960071673015	1.0	0.8138394930272485	1.0
SALL1	1	0	0	1.0	0.992	1.0	0.0084	0.048547998014316106	1.0	0.8138394930272485	1.0
SPTA1	2	0	0	1.0	0.643	1.0	0.00889	0.050875942959866714	1.0	0.8138394930272485	1.0
ADH6	2	0	0	1.0	0.595	1.0	0.00921	0.05238155659846442	1.0	0.8138394930272485	1.0
CLCN1	1	0	0	1.0	0.963	1.0	0.0098	0.055128654354395	1.0	0.8138394930272485	1.0
ATRX	1	0	0	1.0	0.925	1.0	0.010876422092188554	0.060050444230698316	1.0	0.8138394930272485	1.0
SIGLEC6	1	0	0	1.0	0.848	1.0	0.011428179605270676	0.06253126268230931	1.0	0.8138394930272485	1.0
DENND4A	1	0	0	1.0	0.935	1.0	0.011962867260024882	0.0649098935511988	1.0	0.8138394930272485	1.0
TENM1	1	0	0	1.0	0.978	1.0	0.012225088326263157	0.06606761719085931	1.0	0.8138394930272485	1.0
MSN	1	0	0	1.0	0.9570000000000001	1.0	0.013239596986667726	0.07049480568256726	1.0	0.8138394930272485	1.0
FGFR2	1	0	0	1.0	0.993	1.0	0.013706328211735359	0.0725050732539069	1.0	0.8138394930272485	1.0
SHB	1	0	0	1.0	0.85	1.0	0.016037977931742366	0.08231966494412937	1.0	0.8138394930272485	1.0
P4HA2	1	0	0	1.0	0.983	1.0	0.016116295186062626	0.08264314324945281	1.0	0.8138394930272485	1.0
SEMG2	1	0	0	1.0	0.48700000000000004	1.0	0.017641662550278738	0.0888697336808028	1.0	0.8138394930272485	1.0
CDC20B	1	0	0	1.0	0.973	1.0	0.01862474856589436	0.09281203930986717	1.0	0.8138394930272485	1.0
IRAK4	1	0	0	1.0	0.9790000000000001	1.0	0.020218358269308533	0.09909349498773291	1.0	0.8138394930272485	1.0
CHD3	1	0	0	1.0	0.953	1.0	0.02107481559536354	0.10241678661867094	1.0	0.8138394930272485	1.0
