gene	Total SNV Mutations	SNVs Unmapped to Ref Tx	inactivating count	inactivating p-value	inactivating BH q-value
USP9X	3	0	3	0.00025	0.01725
FEM1B	1	0	1	0.00343	0.07175999999999999
NF1	4	0	3	0.00362	0.07175999999999999
DNAH17	2	0	2	0.00416	0.07175999999999999
ITIH1	1	0	1	0.01083059860718502	0.12902212448952116
EPOR	1	0	1	0.01121931517300184	0.12902212448952116
SLC52A1	1	0	1	0.014690327888118462	0.14480466061145342
DYNC2H1	1	0	1	0.020681240047153226	0.17211059976802484
KIF15	1	0	1	0.022449208665394543	0.17211059976802484
PI3	1	0	1	0.030902348578491966	0.17600244872972146
ERCC8	1	0	1	0.033863867253640365	0.17600244872972146
IGHG4	1	0	1	0.03424188467333242	0.17600244872972146
FAM72B	1	0	1	0.03931590328287792	0.17600244872972146
PREB	1	0	1	0.0419129049834444	0.17600244872972146
BMP8A	1	0	1	0.046952765517889	0.17600244872972146
RNF10	1	0	1	0.04770082045411181	0.17600244872972146
EGF	1	0	1	0.05767677932864229	0.17600244872972146
GAK	1	0	1	0.057830210501966225	0.17600244872972146
EIF3K	1	0	1	0.059499018266198606	0.17600244872972146
MAPK13	1	0	1	0.060143140674806035	0.17600244872972146
TGFBR3	1	0	1	0.061519532451553366	0.17600244872972146
DOCK2	1	0	1	0.06176270767710457	0.17600244872972146
ARAP3	1	0	1	0.06521880910454575	0.17600244872972146
FBF1	2	0	1	0.06601967386281112	0.17600244872972146
AURKC	1	0	1	0.07349158521349305	0.17600244872972146
REPIN1	1	0	1	0.0780579189758801	0.17600244872972146
CSDE1	1	0	1	0.08084074373484236	0.17600244872972146
TRGV3	1	0	1	0.08646779074794639	0.17600244872972146
CDC73	1	0	1	0.08679048776254122	0.17600244872972146
ALS2CL	1	0	1	0.08709284096847239	0.17600244872972146
P2RY1	1	0	1	0.08823788934968675	0.17600244872972146
MUC5B	3	0	1	0.090049527239982	0.17600244872972146
PRMT1	1	0	1	0.09019572472264814	0.17600244872972146
OR4F6	1	0	1	0.09254118082546733	0.17600244872972146
ZPLD1	1	0	1	0.09320533134495293	0.17600244872972146
LTBP2	2	0	1	0.09525623928367308	0.17600244872972146
CYP4A11	1	0	1	0.09595087315294569	0.17600244872972146
MUC16	4	0	1	0.09775171065493646	0.17600244872972146
LAMA3	2	0	1	0.1001001001001001	0.17600244872972146
ADAMTS3	1	0	1	0.10808473843493299	0.17600244872972146
BCL2L14	1	0	1	0.10837758751490192	0.17600244872972146
SZT2	2	0	1	0.10851871947911014	0.17600244872972146
VPS8	1	0	1	0.1104484205875856	0.17600244872972146
CDK19	1	0	1	0.1122334455667789	0.17600244872972146
XDH	2	0	1	0.11479738261967627	0.17602265335017028
PTPRD	1	0	1	0.1187789523696401	0.17816842855446016
RSRC2	1	0	1	0.12495314257153567	0.17966504186976628
PRPS2	1	0	1	0.1249843769528809	0.17966504186976628
FCN1	1	0	1	0.12980269989615784	0.1827833937313243
PREX2	2	0	1	0.13383297644539616	0.1846895074946467
WARS2	1	0	1	0.13935340022296544	0.18853695324283562
MYO1H	1	0	1	0.14400921658986174	0.19108915278270114
FANCC	1	0	1	0.15800284405119291	0.20162704256960517
PRG2	1	0	1	0.16002560409665548	0.20162704256960517
KCNH5	2	0	1	0.16168148746968472	0.20162704256960517
LCT	2	0	1	0.16363933889707086	0.20162704256960517
KLRD1	1	0	1	0.1724137931034483	0.20871143375680581
SLC35A4	1	0	1	0.18907165815844204	0.22493007608504312
MGAM	1	0	1	0.2536783358701167	0.2966746639836958
PIGW	1	0	1	0.26525198938992045	0.3050397877984085
TM9SF4	1	0	1	0.2972651605231867	0.33625075534589965
FLT1	1	0	1	0.30413625304136255	0.3384742170944196
TTN	4	0	1	0.30931023816888337	0.33876835608972944
C6orf58	1	0	1	0.324254215304799	0.3495865758754864
DOCK4	1	0	1	0.341646737273659	0.36267115187511495
BOD1L1	2	0	1	0.41981528127623846	0.438897794061522
CAGE1	1	0	1	0.45146726862302483	0.46494390350729425
FAM167A	1	0	1	0.4618937644341801	0.4686863197935063
