gene	Total Mutations	Unmapped to Ref Tx	num recurrent	position entropy	mean vest score	entropy p-value	vest p-value	combined p-value	entropy BH q-value	vest BH q-value	combined BH q-value
TP53	32	0	7	0.9133539033620829	0.74284375	0.00415	0.0	7.468992550029544e-07	1.0	0.0	0.00349138056751131
SPOP	28	0	27	0.4196902810907516	0.9105	0.0	0.0	2.402585092994044e-09	0.0	0.0	2.2461768034401316e-05
LCE1D	2	0	0	1.0	0.17049999999999998	1.0	0.0	0.0001251292546497022	1.0	0.0	0.14622917521500825
ZMYM3	7	0	4	0.4841962570206112	0.6061428571428571	2e-05	0.00698	2.3431140566678904e-06	0.09349	0.8194413669498585	0.007301924438596036
FAM120B	8	0	4	0.3109175070825711	0.395375	3e-05	0.05193	2.2390406443213115e-05	0.09349	0.8268569944239115	0.05233197745939985
FOXA1	11	0	3	0.8333333333333334	0.5592727272727273	0.00328	0.00247	0.00010308029429629546	1.0	0.7251175609756098	0.14622917521500825
TGOLN2	2	0	0	1.0	0.772	1.0	1e-05	0.0001251292546497022	1.0	0.018698	0.14622917521500825
AP3B2	3	0	0	1.0	0.985	1.0	1e-05	0.0001251292546497022	1.0	0.018698	0.14622917521500825
TIGD5	2	0	0	1.0	0.963	1.0	2e-05	0.00023639556568820564	1.0	0.031163333333333338	0.24556246040211496
MECOM	5	0	3	0.5904362833084088	0.7344	0.01186	0.00739	0.0009064472576173655	1.0	0.8194413669498585	0.7890667167149212
MKL2	2	0	0	1.0	0.956	1.0	9e-05	0.000928413079887061	1.0	0.12020142857142858	0.7890667167149212
TRIM29	3	0	0	1.0	0.8220000000000001	1.0	0.00011	0.0011126533211389047	1.0	0.12854875000000002	0.8668496582773016
TMEM132B	4	0	3	0.0	0.483	0.00452	0.02997	0.0013420189458783506	1.0	0.8194413669498585	0.9651180865397462
DPEP3	2	0	0	1.0	0.993	1.0	0.00019	0.0018180124323027185	1.0	0.1973677777777778	1.0
HPCA	2	0	0	1.0	0.978	1.0	0.00022	0.002072814262554621	1.0	0.205678	1.0
ADCY8	9	0	3	0.7580392711198944	0.5167777777777778	0.0011	0.29274	0.002911301375121028	1.0	0.9199019191108173	1.0
NPTXR	3	0	0	1.0	0.839	1.0	0.00039	0.0034512518893478257	1.0	0.3116333333333334	1.0
RIMS1	2	0	0	1.0	0.863	1.0	0.0004	0.0035296184043425174	1.0	0.3116333333333334	1.0
CASZ1	3	0	0	1.0	0.8723333333333333	1.0	0.00044	0.0038406437656628672	1.0	0.31642769230769235	1.0
TNRC18	4	0	0	1.0	0.68625	1.0	0.00058	0.004902439823565807	1.0	0.3873157142857143	1.0
AHCYL2	2	0	0	1.0	0.9625	1.0	0.00074	0.0060745566751068845	1.0	0.4612173333333333	1.0
ZBTB3	2	0	0	1.0	0.8820000000000001	1.0	0.00089	0.007141617294761897	1.0	0.520038125	1.0
STRN	2	0	0	1.0	0.8935	1.0	0.00117	0.009068379290301794	1.0	0.6434311764705883	1.0
CYP2A13	2	0	0	1.0	0.882	1.0	0.00138	0.010468227056141973	1.0	0.6937942105263157	1.0
