gene	Total Mutations	Unmapped to Ref Tx	num recurrent	position entropy	mean vest score	entropy p-value	vest p-value	combined p-value	entropy BH q-value	vest BH q-value	combined BH q-value
TP53	46	0	16	0.8548251559574745	0.6757826086956521	0.0	0.0	2.402585092994044e-09	0.0	0.0	1.5801802156621827e-05
LRIT2	2	0	0	1.0	0.988	1.0	0.00012	0.0012033622578218662	1.0	0.39462	1.0
WWC3	2	0	0	1.0	0.98	1.0	0.00032	0.0028951006598945603	1.0	0.5919300000000001	1.0
HSPH1	2	0	0	1.0	0.99	1.0	0.00036	0.003214586349545082	1.0	0.5919300000000001	1.0
ESRP1	2	0	0	1.0	0.977	1.0	0.00049	0.004224341531761204	1.0	0.6445460000000001	1.0
BRINP3	2	0	0	1.0	0.978	1.0	0.0006	0.005051148541648876	1.0	0.6577	1.0
FURIN	2	0	0	1.0	0.96	1.0	0.00077	0.006290222433199741	1.0	0.72347	1.0
ABCA6	2	0	0	1.0	0.8839999999999999	1.0	0.00149	0.011188378946946902	1.0	0.8803827904908486	1.0
OR9I1	2	0	0	1.0	0.8125	1.0	0.00151	0.011318424898514508	1.0	0.8803827904908486	1.0
GSX1	2	0	0	1.0	0.9565	1.0	0.00152	0.011383348315068409	1.0	0.8803827904908486	1.0
CACNB1	2	0	0	1.0	0.9735	1.0	0.00227	0.01608970426579964	1.0	0.8803827904908486	1.0
TTLL1	2	0	0	1.0	0.9784999999999999	1.0	0.00235	0.016575348884441263	1.0	0.8803827904908486	1.0
CDYL2	2	0	0	1.0	0.9305000000000001	1.0	0.00268	0.018550795138351114	1.0	0.8803827904908486	1.0
KIAA1217	4	0	0	1.0	0.7607499999999999	1.0	0.00286	0.019610830250870088	1.0	0.8803827904908486	1.0
THBS2	1	0	0	1.0	0.976	1.0	0.00288	0.019727899156322736	1.0	0.8803827904908486	1.0
GABRA1	1	0	0	1.0	0.998	1.0	0.00313	0.021179840718966142	1.0	0.8803827904908486	1.0
SLC2A4	1	0	0	1.0	0.977	1.0	0.00361	0.023912811498960823	1.0	0.8803827904908486	1.0
SLITRK5	2	0	0	1.0	0.9015	1.0	0.00361	0.023912811498960823	1.0	0.8803827904908486	1.0
FRG2B	2	0	0	1.0	0.3385	1.0	0.00372	0.024529797591793155	1.0	0.8803827904908486	1.0
CYFIP2	1	0	0	1.0	0.9890000000000001	1.0	0.00379	0.024920725294974768	1.0	0.8803827904908486	1.0
MGAM	5	0	0	1.0	0.7486	1.0	0.00404	0.026306502771516686	1.0	0.8803827904908486	1.0
CNGA3	2	0	0	1.0	0.9490000000000001	1.0	0.00449	0.0287625025717536	1.0	0.8803827904908486	1.0
TNK2	2	0	0	1.0	0.9045000000000001	1.0	0.00454	0.029032520331857124	1.0	0.8803827904908486	1.0
SAP130	1	0	0	1.0	0.993	1.0	0.0046	0.02935581528724061	1.0	0.8803827904908486	1.0
KRT4	2	0	0	1.0	0.7625	1.0	0.00473	0.030053616261742338	1.0	0.8803827904908486	1.0
SRRM5	1	0	0	1.0	0.524	1.0	0.00474	0.030107143999124217	1.0	0.8803827904908486	1.0
OR6C76	2	0	0	1.0	0.7729999999999999	1.0	0.00488	0.030854337088491366	1.0	0.8803827904908486	1.0
SCN2A	9	0	0	1.0	0.7561111111111111	1.0	0.00489	0.030907552950172286	1.0	0.8803827904908486	1.0
SLC25A13	3	0	0	1.0	0.9406666666666665	1.0	0.00496	0.03127949370969669	1.0	0.8803827904908486	1.0
SOBP	2	0	0	1.0	0.7715000000000001	1.0	0.00602	0.03679826147836168	1.0	0.8803827904908486	1.0
PCDH11Y	2	0	0	1.0	0.6415	1.0	0.00607	0.037053687810638114	1.0	0.8803827904908486	1.0
KRBA1	1	0	0	1.0	0.794	1.0	0.00638	0.038628266218770274	1.0	0.8803827904908486	1.0
MROH2B	2	0	0	1.0	0.9009999999999999	1.0	0.0065	0.03923369516352354	1.0	0.8803827904908486	1.0
COL6A6	2	0	0	1.0	0.9115	1.0	0.00658	0.03963608111138351	1.0	0.8803827904908486	1.0
TMPRSS9	2	0	0	1.0	0.808	1.0	0.00664	0.03993723161487881	1.0	0.8803827904908486	1.0
ANKRD11	3	0	0	1.0	0.6190000000000001	1.0	0.00673	0.04038794231074061	1.0	0.8803827904908486	1.0
HBD	2	0	0	1.0	0.8225	1.0	0.00681	0.040787563111569086	1.0	0.8803827904908486	1.0
FAM208B	1	0	0	1.0	0.889	1.0	0.00685	0.04098702039294984	1.0	0.8803827904908486	1.0
DQX1	3	0	0	1.0	0.8063333333333333	1.0	0.00704	0.0419312756460378	1.0	0.8803827904908486	1.0
DUSP7	2	0	0	1.0	0.8210000000000001	1.0	0.00746	0.04400057099115785	1.0	0.8803827904908486	1.0
DLEC1	1	0	0	1.0	0.8859999999999999	1.0	0.00771	0.04522097797474721	1.0	0.8803827904908486	1.0
KIF2B	2	0	0	1.0	0.9229999999999999	1.0	0.00791	0.046191453502872376	1.0	0.8803827904908486	1.0
NRCAM	2	0	0	1.0	0.9	1.0	0.00801	0.046674786788393985	1.0	0.8803827904908486	1.0
WDR36	3	0	0	1.0	0.806	1.0	0.00808	0.04701237632410902	1.0	0.8803827904908486	1.0
