gene	Total SNV Mutations	SNVs Unmapped to Ref Tx	inactivating count	inactivating p-value	inactivating BH q-value
RB1	8	0	8	0.0	0.0
ZNF234	2	0	2	0.00117	0.2536474310226512
GINS1	2	0	2	0.00188	0.2536474310226512
TP53	46	0	9	0.00222	0.2536474310226512
ABCB6	2	0	2	0.00432	0.2536474310226512
VPS35	2	0	2	0.00449	0.2536474310226512
KCNH6	1	0	1	0.00639	0.2536474310226512
CCDC93	2	0	2	0.00683	0.2536474310226512
ATRX	7	0	4	0.00721	0.2536474310226512
DOCK8	2	0	2	0.0094	0.2536474310226512
APBB2	3	0	2	0.00967	0.2536474310226512
OR2F1	1	0	1	0.010797387032338174	0.2536474310226512
DTX1	2	0	1	0.011634129883426018	0.2536474310226512
SLC7A14	1	0	1	0.011766228570756215	0.2536474310226512
PASK	4	0	2	0.013137324452502003	0.2536474310226512
ATAD3C	2	0	2	0.013341872131497491	0.2536474310226512
KLC2	1	0	1	0.014399677447225182	0.2536474310226512
CLIP2	3	0	2	0.01461091142865492	0.2536474310226512
APOA5	1	0	1	0.01547269070091289	0.2536474310226512
GNS	4	0	2	0.015809776765952063	0.2536474310226512
PDE6A	2	0	2	0.017648512230418977	0.2536474310226512
KANSL1	1	0	1	0.018430461867374397	0.2536474310226512
STK32C	2	0	2	0.018715376553376253	0.2536474310226512
MFSD9	2	0	1	0.018900376117484737	0.2536474310226512
CIITA	1	0	1	0.019445794846864366	0.2536474310226512
WDSUB1	1	0	1	0.021757577076216793	0.2536474310226512
TTC27	2	0	2	0.022023521120556756	0.2536474310226512
COL4A1	6	0	3	0.0222960469108827	0.2536474310226512
BTN2A1	1	0	1	0.022544356020470276	0.2536474310226512
SYCP1	3	0	3	0.02335575485799701	0.2536474310226512
MMP26	4	0	2	0.023952095808383235	0.2536474310226512
CHST10	1	0	1	0.02400153609831029	0.2536474310226512
SMARCAL1	3	0	2	0.024495394865765237	0.2536474310226512
CTCF	1	0	1	0.024904739371902473	0.2536474310226512
SFRP4	1	0	1	0.024920876218007825	0.2536474310226512
FER1L6	1	0	1	0.024983136382941515	0.2536474310226512
FANCI	3	0	2	0.025369764314889513	0.2536474310226512
SLC4A10	2	0	2	0.02674440373351876	0.2536474310226512
ALK	1	0	1	0.027202002067352158	0.2536474310226512
PLCG1	3	0	2	0.02736951583326491	0.2536474310226512
ROCK1	1	0	1	0.027445383686463938	0.2536474310226512
TAS1R1	1	0	1	0.02798063739891995	0.2536474310226512
CSE1L	1	0	1	0.028598392770326306	0.2536474310226512
IGSF1	7	0	3	0.029682398337785694	0.2536474310226512
EVPL	1	0	1	0.029785839811753492	0.2536474310226512
GPR19	1	0	1	0.029862334637321946	0.2536474310226512
TM4SF1	1	0	1	0.030116853391157692	0.2536474310226512
COL4A3BP	1	0	1	0.030166822528583066	0.2536474310226512
LRRC8C	1	0	1	0.030900438786230763	0.2536474310226512
CYP4A11	1	0	1	0.03108003108003108	0.2536474310226512
DIS3L	3	0	2	0.03179549139931958	0.2536474310226512
NXPH3	1	0	1	0.03236455434008674	0.2536474310226512
B4GALNT3	1	0	1	0.03240860772621208	0.2536474310226512
TEX11	1	0	1	0.03274394237066143	0.2536474310226512
NLRP13	1	0	1	0.03310490945807263	0.2536474310226512
AGER	1	0	1	0.03346608212576554	0.2536474310226512
PLA2G4F	1	0	1	0.03427004797806717	0.2536474310226512
CDC45	1	0	1	0.03482500435312554	0.2536474310226512
ATG16L1	1	0	1	0.03545219271811961	0.2536474310226512
DAPK1	2	0	1	0.03638612960739366	0.2536474310226512
CENPH	1	0	1	0.03747844989131249	0.2536474310226512
ZIC3	1	0	1	0.03779575175750246	0.2536474310226512
CD97	1	0	1	0.03795930762222897	0.2536474310226512
POU2F2	1	0	1	0.038229222417616025	0.2536474310226512
AKAP8L	1	0	1	0.03833180006133088	0.2536474310226512
NXF1	1	0	1	0.03872216844143272	0.2536474310226512
DOPEY2	1	0	1	0.03878374185541421	0.2536474310226512
TMPRSS3	2	0	1	0.04094165813715456	0.2536474310226512
TGDS	1	0	1	0.041507554374896234	0.2536474310226512
SMIM2	1	0	1	0.041785057663379574	0.2536474310226512
C16orf96	4	0	2	0.04337830217325294	0.2536474310226512
LAMB2	2	0	1	0.044720719109163275	0.2536474310226512
METTL25	2	0	1	0.04503287399801855	0.2536474310226512
ZNF337	1	0	1	0.04554356241745229	0.2536474310226512
NLRP7	2	0	1	0.045647509928333406	0.2536474310226512
PFKL	1	0	1	0.046285582041194165	0.2536474310226512
ADAMTS15	1	0	1	0.046364985163204746	0.2536474310226512
AKAP1	1	0	1	0.046763935652824544	0.2536474310226512
ZNF253	1	0	1	0.04743382980741865	0.2536474310226512
SYNDIG1	1	0	1	0.047819433817903594	0.2536474310226512
MLEC	1	0	1	0.04852249017419574	0.2536474310226512
PAQR4	1	0	1	0.04875908137890682	0.2536474310226512
IL17RC	1	0	1	0.048828125	0.2536474310226512
FERD3L	1	0	1	0.04894043948514658	0.2536474310226512
DENND4B	1	0	1	0.049229557426278735	0.2536474310226512
DOC2A	2	0	1	0.049324257669922066	0.2536474310226512
FGF23	1	0	1	0.05156765676567657	0.2536474310226512
BTBD11	2	0	1	0.05172235440157236	0.2536474310226512
ACSS2	1	0	1	0.05303914288745094	0.2536474310226512
RIPPLY2	1	0	1	0.05444843732984863	0.2536474310226512
CACNA2D4	1	0	1	0.05540780141843971	0.2536474310226512
SPTB	5	0	2	0.05678591709256105	0.2536474310226512
RBM48	1	0	1	0.05754402117619979	0.2536474310226512
PRSS53	1	0	1	0.05755395683453238	0.2536474310226512
HPSE2	1	0	1	0.05777341267548674	0.2536474310226512
TSPEAR	1	0	1	0.058336250145840624	0.2536474310226512
CYP2E1	1	0	1	0.05858917272088118	0.2536474310226512
LGR5	1	0	1	0.0586200832405182	0.2536474310226512
MOV10L1	2	0	1	0.05947778504728484	0.2536474310226512
CADM4	3	0	1	0.059637404580152674	0.2536474310226512
TCF12	1	0	1	0.060661207158022444	0.2536474310226512
LEPR	1	0	1	0.0612369871402327	0.2536474310226512
SUFU	1	0	1	0.06208480784751971	0.2536474310226512
RELN	5	0	2	0.062359690695934146	0.2536474310226512
GPC6	1	0	1	0.06256647688168679	0.2536474310226512
ZNF707	2	0	1	0.06279040562602034	0.2536474310226512
SLC12A5	3	0	1	0.06279829188646069	0.2536474310226512
NEU3	1	0	1	0.06316720358789717	0.2536474310226512
ALG9	1	0	1	0.06318316800404372	0.2536474310226512
SNX18	1	0	1	0.06348400203148806	0.2536474310226512
FGL1	1	0	1	0.06349609499015811	0.2536474310226512
OR5A1	1	0	1	0.06405329233922624	0.2536474310226512
PSME1	1	0	1	0.06533385600418137	0.2536474310226512
KRT12	1	0	1	0.06639224538573894	0.2536474310226512
SIRT3	2	0	1	0.06734913793103449	0.2536474310226512
EPX	1	0	1	0.06760411032990805	0.2536474310226512
MAP4K1	1	0	1	0.06769105801123672	0.2536474310226512
ELFN2	1	0	1	0.06775526797208482	0.2536474310226512
SIRT1	1	0	1	0.0679671039217019	0.2536474310226512
DUSP18	1	0	1	0.0681059728938228	0.2536474310226512
SLC22A8	3	0	1	0.06814310051107325	0.2536474310226512
SOAT1	1	0	1	0.06814774430966335	0.2536474310226512
TOR4A	2	0	1	0.06820351930159596	0.2536474310226512
CSPG5	3	0	1	0.06872852233676977	0.2536474310226512
SIPA1L1	1	0	1	0.06930487213251092	0.2536474310226512
IGKV2-24	1	0	1	0.06975933031042902	0.2536474310226512
FMNL1	1	0	1	0.06979828296223912	0.2536474310226512
TCERG1	1	0	1	0.07000350017500875	0.2536474310226512
JUP	1	0	1	0.071285999429712	0.2536474310226512
ROR2	2	0	1	0.07152564194263644	0.2536474310226512
DFNA5	2	0	1	0.0716024631247315	0.2536474310226512
PTCH1	2	0	1	0.07163836951070994	0.2536474310226512
MYCBP2	1	0	1	0.0726797005596337	0.2536474310226512
NADK	1	0	1	0.07284382284382285	0.2536474310226512
CCNT1	1	0	1	0.07315288953913679	0.2536474310226512
C20orf141	1	0	1	0.07403568520026653	0.2536474310226512
FZD5	1	0	1	0.07468817686160281	0.2536474310226512
EVC	1	0	1	0.07560293339381569	0.2536474310226512
C10orf54	1	0	1	0.07566013467503972	0.2536474310226512
SMPD2	1	0	1	0.07591285204585137	0.2536474310226512
CCM2	1	0	1	0.07603984487871644	0.2536474310226512
NCR3LG1	1	0	1	0.07619628162145688	0.2536474310226512
ALDH1L2	2	0	1	0.07629510948348212	0.2536474310226512
GABBR1	1	0	1	0.07638252367858234	0.2536474310226512
ECI1	1	0	1	0.07766387076731904	0.2536474310226512
MARCH9	3	0	1	0.07836376459525116	0.2536474310226512
ZNF257	1	0	1	0.07841907151819323	0.2536474310226512
KIF1C	2	0	1	0.07856076675308352	0.2536474310226512
RRP8	1	0	1	0.07875876191226273	0.2536474310226512
ULK3	1	0	1	0.07883326763894363	0.2536474310226512
ABHD15	1	0	1	0.07935248373274084	0.2536474310226512
ZNF679	2	0	1	0.07966857871255577	0.2536474310226512
NLGN3	2	0	1	0.07978299026647519	0.2536474310226512
PDE1C	1	0	1	0.07989134776703682	0.2536474310226512
EMC8	1	0	1	0.08032128514056225	0.2536474310226512
TRIM35	1	0	1	0.08051529790660225	0.2536474310226512
RNF111	2	0	1	0.08156606851549755	0.2536474310226512
CASC3	1	0	1	0.08280887711162636	0.2536474310226512
GRID2IP	2	0	1	0.08378016085790885	0.2536474310226512
SCAPER	1	0	1	0.08399832003359933	0.2536474310226512
PALD1	1	0	1	0.08494733265375468	0.2536474310226512
SLFN5	1	0	1	0.08501232678738417	0.2536474310226512
MAP7D1	2	0	1	0.08509914049868096	0.2536474310226512
ZFPL1	1	0	1	0.0854920064973925	0.2536474310226512
ITIH5	3	0	1	0.08618460742911316	0.2536474310226512
KRT23	1	0	1	0.08816009873931059	0.2536474310226512
SGOL2	2	0	1	0.08888888888888889	0.2536474310226512
WBSCR22	2	0	1	0.0896700143472023	0.2536474310226512
SLC31A2	1	0	1	0.08970218873340509	0.2536474310226512
ACPT	1	0	1	0.08990380293086397	0.2536474310226512
SPG11	1	0	1	0.09005763688760807	0.2536474310226512
EFCAB13	1	0	1	0.09176837661741764	0.2536474310226512
THRA	1	0	1	0.09238728750923873	0.2536474310226512
TNRC6A	1	0	1	0.0925154963456379	0.2536474310226512
PKD2L2	1	0	1	0.092824654228163	0.2536474310226512
NOL9	2	0	1	0.09285051067780872	0.2536474310226512
LRRC7	1	0	1	0.09330969487729775	0.2536474310226512
RAD54L	1	0	1	0.09430403621274991	0.2536474310226512
QRICH2	1	0	1	0.09476876421531463	0.2536474310226512
MAGEC1	3	0	1	0.09477774618519572	0.2536474310226512
MIER2	1	0	1	0.09503896597605017	0.2536474310226512
PTK2	1	0	1	0.09559315553006405	0.2536474310226512
IL27	1	0	1	0.09659036028204385	0.2536474310226512
KCNH1	2	0	1	0.09733307377846992	0.2536474310226512
AKAP4	3	0	1	0.09745638826625086	0.2536474310226512
GRIP1	1	0	1	0.09803921568627451	0.2536474310226512
NMRK2	2	0	1	0.09810654370646522	0.2536474310226512
NCKAP5L	2	0	1	0.09859988168014198	0.2536474310226512
MEF2C	1	0	1	0.09886307464162135	0.2536474310226512
BAG6	2	0	1	0.09921619208254787	0.2536474310226512
PHF19	1	0	1	0.09989012086704625	0.2536474310226512
SCUBE1	3	0	1	0.09998000399920016	0.2536474310226512
RIPK4	4	0	1	0.10040160642570281	0.2536474310226512
P4HA3	2	0	1	0.10058338362502514	0.2536474310226512
CHD1L	1	0	1	0.10086746015735323	0.2536474310226512
TTLL4	1	0	1	0.10121457489878542	0.2536474310226512
OR11G2	2	0	1	0.1012555690562981	0.2536474310226512
PRPF8	1	0	1	0.10143016533116948	0.2536474310226512
PIK3AP1	2	0	1	0.10164667615368977	0.2536474310226512
TBX22	2	0	1	0.10204081632653061	0.2536474310226512
DNHD1	3	0	1	0.10240655401945725	0.2536474310226512
OGDHL	3	0	1	0.10279605263157894	0.2536474310226512
ANGEL1	1	0	1	0.10302905419328251	0.2536474310226512
TAAR2	1	0	1	0.10330578512396695	0.2536474310226512
PRDM9	3	0	1	0.10345541071798055	0.2536474310226512
ZNF319	2	0	1	0.10379904504878555	0.2536474310226512
SLCO1B3	1	0	1	0.10409076714895389	0.2536474310226512
CAND2	2	0	1	0.10454783063251437	0.2536474310226512
ARRB1	1	0	1	0.1047998323202683	0.2536474310226512
FAM65B	1	0	1	0.10558547143912998	0.2536474310226512
MYBPC3	2	0	1	0.10566356720202874	0.2536474310226512
FBXO15	1	0	1	0.10608953957139826	0.2536474310226512
PDE4C	2	0	1	0.10621348911311737	0.2536474310226512
RAD21L1	1	0	1	0.10634903754121025	0.2536474310226512
RHCE	1	0	1	0.10656436487638533	0.2536474310226512
RABEP1	1	0	1	0.10705491917353602	0.2536474310226512
SLC19A1	2	0	1	0.1079447322970639	0.2536474310226512
SUZ12	1	0	1	0.10811979673478214	0.2536474310226512
SPATA31D1	3	0	1	0.10848340203948796	0.2536474310226512
FCRL5	3	0	1	0.108837614279495	0.2536474310226512
CEACAM5	3	0	1	0.10892059688487093	0.2536474310226512
COL4A5	1	0	1	0.10981770261366132	0.2536474310226512
THRAP3	2	0	1	0.10991426687183996	0.2536474310226512
RGPD8	1	0	1	0.11026574043444702	0.2536474310226512
NEK1	1	0	1	0.11042402826855123	0.2536474310226512
SCRN3	1	0	1	0.11093854004881296	0.2536474310226512
