gene	Total SNV Mutations	SNVs Unmapped to Ref Tx	inactivating count	inactivating p-value	inactivating BH q-value
TP53	108	0	28	0.0	0.0
ARID1A	39	0	17	0.0	0.0
OSBP2	8	0	6	0.0	0.0
APC	28	0	12	3e-05	0.0286125
U2AF2	7	0	4	7e-05	0.05340999999999999
SSPO	3	0	3	0.00016	0.089925
B2M	9	0	6	0.0002	0.089925
ARID1B	19	0	6	0.00023	0.089925
CCDC65	7	0	4	0.00029	0.089925
SETDB2	5	0	4	0.00031	0.089925
MFGE8	2	0	2	0.00031	0.089925
ZNF597	4	0	3	0.00032	0.089925
LRRC52	12	0	5	0.00033	0.089925
BMPR2	16	0	6	0.00033	0.089925
TFE3	4	0	3	0.00041	0.0942529411764706
ZFYVE1	8	0	3	0.00042	0.0942529411764706
SAP30BP	3	0	3	0.00042	0.0942529411764706
ARID2	17	0	7	0.00049	0.10385277777777778
ZNF784	2	0	2	0.00054	0.10842631578947368
NAT6	5	0	2	0.00067	0.1278025
PCNXL2	15	0	5	0.00074	0.13418275862068968
MAP7D2	7	0	5	0.00088	0.13418275862068968
OGFRL1	7	0	3	0.00092	0.13418275862068968
LRRN3	27	0	6	0.00095	0.13418275862068968
CPB2	14	0	5	0.00097	0.13418275862068968
CNOT11	4	0	2	0.00097	0.13418275862068968
DEFB1	2	0	2	0.00098	0.13418275862068968
MAP3K1	7	0	3	0.00099	0.13418275862068968
RABGGTA	6	0	3	0.00102	0.13418275862068968
POLR2I	3	0	3	0.00107	0.1353709677419355
HTR1F	9	0	4	0.0011	0.1353709677419355
CDKN2A	16	0	5	0.00118	0.14067812500000001
VSIG1	4	0	3	0.00131	0.14538243243243243
UNC45A	7	0	3	0.00134	0.14538243243243243
NAA40	3	0	3	0.00138	0.14538243243243243
ZNF438	10	0	4	0.00138	0.14538243243243243
C1orf43	2	0	2	0.00141	0.14538243243243243
C10orf12	11	0	3	0.0015	0.1505921052631579
NLRC5	19	0	6	0.00159	0.1526
NIT2	3	0	3	0.0016	0.1526
MASP2	3	0	2	0.00169	0.15725243902439026
ZNF394	3	0	2	0.00179	0.16259166666666666
NRD1	11	0	5	0.00188	0.16300454545454546
CC2D1B	6	0	3	0.00188	0.16300454545454546
CNTLN	18	0	6	0.00202	0.17084565217391307
STRA8	2	0	2	0.00206	0.17084565217391307
HELQ	6	0	4	0.00218	0.17644375000000004
VBP1	2	0	2	0.00222	0.17644375000000004
OR11L1	11	0	3	0.00228	0.1775142857142857
XAB2	14	0	4	0.00241	0.18252156862745095
PTEN	16	0	6	0.00244	0.18252156862745095
UBE2S	3	0	2	0.0026	0.18936272727272724
IGKV1-17	5	0	2	0.0027	0.18936272727272724
CPXCR1	9	0	5	0.00271	0.18936272727272724
TEX15	26	0	6	0.00273	0.18936272727272724
PER3	14	0	4	0.00282	0.1921125
FZD5	3	0	2	0.00303	0.20279736842105264
WDR62	15	0	3	0.00325	0.20446015625
CRLF1	2	0	2	0.00329	0.20446015625
ZNF350	4	0	3	0.00338	0.20446015625
ZNRF3	10	0	3	0.00338	0.20446015625
CHMP4B	5	0	2	0.00339	0.20446015625
DPY19L4	7	0	4	0.00342	0.20446015625
EPB42	7	0	3	0.00343	0.20446015625
NEO1	18	0	5	0.00354	0.2055544776119403
CHAF1B	3	0	2	0.00359	0.2055544776119403
ADAP2	4	0	3	0.00361	0.2055544776119403
BEX2	2	0	2	0.00376	0.2084427536231884
GABRA2	15	0	5	0.00377	0.2084427536231884
PPP1R15B	5	0	2	0.00413	0.225085
HPS5	5	0	3	0.00438	0.23534788732394368
PKNOX2	5	0	3	0.00454	0.24055694444444445
NUTM2D	2	0	2	0.00471	0.24161666666666667
CBFA2T3	10	0	3	0.00474	0.24161666666666667
IL10	3	0	2	0.00475	0.24161666666666667
MAGEE2	1	0	1	0.00496	0.24897894736842105
MYO1H	7	0	3	0.00508	0.25169090909090913
TRAF2	4	0	2	0.00525	0.25677884615384616
EPHB4	18	0	3	0.00549	0.2618294736842105
ZNF225	9	0	3	0.00555	0.2618294736842105
SELO	7	0	2	0.00569	0.2618294736842105
AKAP6	26	0	5	0.00575	0.2618294736842105
CHEK2	3	0	2	0.00583	0.2618294736842105
SMYD1	9	0	3	0.00586	0.2618294736842105
GAL3ST1	9	0	2	0.00593	0.2618294736842105
ZFHX3	53	0	5	0.00601	0.2618294736842105
AMFR	5	0	3	0.00608	0.2618294736842105
MAEL	3	0	2	0.00618	0.2618294736842105
BCOR	20	0	4	0.00627	0.2618294736842105
KREMEN1	5	0	2	0.0063	0.2618294736842105
POU2F3	6	0	3	0.00632	0.2618294736842105
WASF3	10	0	3	0.00644	0.2618294736842105
IGSF8	6	0	3	0.00646	0.2618294736842105
HIST1H2AD	4	0	2	0.00652	0.2618294736842105
BICD2	18	0	3	0.00652	0.2618294736842105
GPR141	5	0	2	0.00676	0.2644059405940594
CCDC66	6	0	4	0.00676	0.2644059405940594
CD33	5	0	2	0.0068	0.2644059405940594
VPS13C	38	0	8	0.00688	0.2644059405940594
SIGLEC8	5	0	3	0.00697	0.2644059405940594
ACSL3	6	0	3	0.007	0.2644059405940594
MTHFR	11	0	3	0.00725	0.2711642156862745
ZNF229	8	0	3	0.00754	0.2792728155339806
DLGAP3	19	0	3	0.00775	0.28231
MET	14	0	4	0.00777	0.28231
IFNA13	3	0	2	0.00792	0.2850452830188679
CTCF	4	0	2	0.00822	0.2930775700934579
RASA1	12	0	4	0.00847	0.29750000000000004
LUZP4	4	0	3	0.0085	0.29750000000000004
CWC25	3	0	2	0.00862	0.2989572727272727
NCOA6	20	0	4	0.0089	0.3014165289256198
IRF2	17	0	5	0.00909	0.3014165289256198
IL17REL	3	0	2	0.00921	0.3014165289256198
POMGNT1	6	0	3	0.00922	0.3014165289256198
MSL2	8	0	3	0.00922	0.3014165289256198
MGA	22	0	6	0.00937	0.3014165289256198
CCDC60	10	0	4	0.00943	0.3014165289256198
XKR6	11	0	3	0.00945	0.3014165289256198
ACVR1B	8	0	3	0.00948	0.3014165289256198
GSDMB	4	0	2	0.0095	0.3014165289256198
SAR1A	4	0	3	0.00956	0.3014165289256198
AGTPBP1	15	0	5	0.00976	0.30519999999999997
KMT2C	65	0	12	0.01046364406868336	0.3232992763180865
DNM2	14	0	3	0.010508285783340164	0.3232992763180865
CTNND1	17	0	5	0.010626992561105207	0.3243358129649309
PRB4	7	0	5	0.010779811568893776	0.3263887391692838
NDNL2	6	0	2	0.011045696044536247	0.33180575125910067
KANSL1	17	0	4	0.011481583540001837	0.3422050094148985
ZNF442	7	0	2	0.011687567933988617	0.34320853287483427
ZBTB18	10	0	3	0.011807908937406275	0.34320853287483427
AAMP	2	0	2	0.011904195038331507	0.34320853287483427
FAM65B	4	0	2	0.012179377877378024	0.34320853287483427
ZBP1	4	0	2	0.012196163087092801	0.34320853287483427
CBFB	4	0	2	0.012212099748430745	0.34320853287483427
HOXD3	10	0	2	0.012311025754665878	0.34320853287483427
NALCN	54	0	7	0.01244911424552143	0.34320853287483427
LONRF1	3	0	2	0.012467428842149884	0.34320853287483427
FLCN	6	0	2	0.012481901243197363	0.34320853287483427
DCUN1D3	1	0	1	0.012504845627680726	0.34320853287483427
GTF2IRD2B	7	0	2	0.012703736168807246	0.34617681059999744
EHMT2	11	0	3	0.012910388990020269	0.3493130070704066
GTF2E2	5	0	3	0.013145095564844757	0.3513484689771735
SUCNR1	6	0	3	0.013214752950193595	0.3513484689771735
ENO3	3	0	2	0.013360588934760245	0.3513484689771735
KIAA1407	7	0	2	0.013384909852632142	0.3513484689771735
FAM111A	4	0	2	0.013446101302927217	0.3513484689771735
CDCA3	2	0	2	0.013571651534275206	0.3522166707704756
CCR1	3	0	2	0.014020132910859994	0.35601349249142816
AICDA	3	0	2	0.01428510206705427	0.35601349249142816
TTLL6	5	0	2	0.014382281029771321	0.35601349249142816
ZNF76	4	0	2	0.01444564824846515	0.35601349249142816
C12orf4	2	0	2	0.01454164727780363	0.35601349249142816
PRAMEF2	8	0	3	0.01454503141726786	0.35601349249142816
CCDC150	7	0	4	0.014550322289638715	0.35601349249142816
MYPOP	1	0	1	0.014566854579090738	0.35601349249142816
TNFSF14	3	0	2	0.014731011725885333	0.35601349249142816
FTO	3	0	2	0.014796839395105206	0.35601349249142816
EIF4A1	3	0	2	0.014857737166629522	0.35601349249142816
AADACL4	3	0	2	0.015054799470071059	0.35601349249142816
SSX2IP	5	0	2	0.015149449317517308	0.35601349249142816
ACBD5	6	0	3	0.01515243348081702	0.35601349249142816
MMP9	19	0	3	0.015207043902735747	0.35601349249142816
