gene	Total SNV Mutations	SNVs Unmapped to Ref Tx	inactivating count	inactivating p-value	inactivating BH q-value
PTMA	4	0	4	0.00035	0.0273
HAUS6	1	0	1	0.018840197445269227	0.18654039316975177
DYNC1LI1	1	0	1	0.024815743107427353	0.18654039316975177
SPEN	1	0	1	0.026701556700755653	0.18654039316975177
CCDC151	1	0	1	0.029912356794591845	0.18654039316975177
LTF	1	0	1	0.030132280712327115	0.18654039316975177
THOC5	1	0	1	0.035042225882188034	0.18654039316975177
GRID1	1	0	1	0.03559605595699997	0.18654039316975177
CLP1	1	0	1	0.0362621024767016	0.18654039316975177
ZBTB4	1	0	1	0.037820052191672025	0.18654039316975177
VPS16	1	0	1	0.038061888630913865	0.18654039316975177
GAL3ST2	1	0	1	0.041003772347055926	0.18654039316975177
MEGF10	1	0	1	0.04269125683060109	0.18654039316975177
TAF3	1	0	1	0.045635011180577736	0.18654039316975177
NDST1	1	0	1	0.047442831388177245	0.18654039316975177
IGSF9B	1	0	1	0.04855783237836263	0.18654039316975177
DDHD1	1	0	1	0.05020584396023697	0.18654039316975177
MRI1	1	0	1	0.05101520253035405	0.18654039316975177
ITGA7	2	0	1	0.0535503909178537	0.18654039316975177
IFT140	1	0	1	0.05557408024897188	0.18654039316975177
LRP2	1	0	1	0.056173463655769015	0.18654039316975177
ZNF541	1	0	1	0.057425060296313314	0.18654039316975177
PLXNA4	1	0	1	0.05889628364450203	0.18654039316975177
NDRG3	1	0	1	0.06840881105486386	0.18654039316975177
PNPLA6	1	0	1	0.06872379905161158	0.18654039316975177
CASD1	1	0	1	0.0709471443774388	0.18654039316975177
LRCH4	1	0	1	0.07108836283500392	0.18654039316975177
PAX8	1	0	1	0.07774236181295188	0.18654039316975177
MACF1	1	0	1	0.08027614995584811	0.18654039316975177
UBR4	1	0	1	0.08147303242626691	0.18654039316975177
PAF1	1	0	1	0.08165264962848044	0.18654039316975177
PARP12	1	0	1	0.082223318533136	0.18654039316975177
TMEM182	1	0	1	0.08350033400133601	0.18654039316975177
FBXO16	1	0	1	0.08881783462119193	0.18654039316975177
EXOC3L4	1	0	1	0.09072763563781527	0.18654039316975177
AKAP13	2	0	1	0.09099181073703366	0.18654039316975177
SIL1	1	0	1	0.09119095385737735	0.18654039316975177
CHST5	1	0	1	0.09219988936013276	0.18654039316975177
FBXW10	1	0	1	0.093711929528629	0.18654039316975177
PHF3	1	0	1	0.10130685847431871	0.18654039316975177
TRIM23	1	0	1	0.10269049086054631	0.18654039316975177
NIPBL	1	0	1	0.10664391596459422	0.18654039316975177
SDHA	1	0	1	0.10679196924391286	0.18654039316975177
PROX1	1	0	1	0.10902747492368077	0.18654039316975177
DNAH5	1	0	1	0.10997470581766194	0.18654039316975177
TRPS1	1	0	1	0.11001100110011001	0.18654039316975177
YWHAQ	2	0	1	0.11778563015312132	0.19372913686218407
LRRK2	1	0	1	0.11921793037672866	0.19372913686218407
SRCAP	2	0	1	0.12181751735899622	0.1939135990612593
UQCC1	1	0	1	0.12565971349585323	0.19602915305353105
CSMD1	3	0	1	0.12896569512509673	0.19724165136779498
TRIP6	1	0	1	0.13238019592268996	0.19857029388403494
EPS8	1	0	1	0.13846579894765992	0.20038381207081257
CCDC40	1	0	1	0.14174344436569808	0.20038381207081257
NOTCH1	1	0	1	0.14198494959534289	0.20038381207081257
MARK3	1	0	1	0.14509576320371445	0.20038381207081257
SLC17A4	1	0	1	0.1464343242055938	0.20038381207081257
ATP8A2	1	0	1	0.15176809834572771	0.2041019253614959
SYNE1	1	0	1	0.15625	0.20482117535843705
KDM2A	2	0	1	0.1575547502757208	0.20482117535843705
TET1	2	0	1	0.16493485073396008	0.21090030093850634
ANO3	1	0	1	0.17265193370165746	0.21720727143111745
PPP1R14D	1	0	1	0.17985611510791366	0.22267899965741692
ZNF425	1	0	1	0.19230769230769232	0.234375
