gene	Total Mutations	Unmapped to Ref Tx	num recurrent	position entropy	mean vest score	entropy p-value	vest p-value	combined p-value	entropy BH q-value	vest BH q-value	combined BH q-value
NRAS	20	0	20	0.0	0.9087999999999999	0.0	0.0	2.402585092994044e-09	0.0	0.0	4.2561794922389486e-06
BRAF	157	0	155	0.015242166839724871	0.9667452229299367	0.0	0.0	2.402585092994044e-09	0.0	0.0	4.2561794922389486e-06
HRAS	8	0	8	0.0	0.83175	0.0	0.00024	5.0034713039022016e-08	0.0	0.16534	5.9090996099085e-05
CAPN9	2	0	0	1.0	0.988	1.0	0.00011	0.0011126533211389047	1.0	0.0974325	0.7884261433590278
POLR1A	2	0	0	1.0	0.99	1.0	0.00011	0.0011126533211389047	1.0	0.0974325	0.7884261433590278
CDK5RAP1	2	0	0	1.0	0.975	1.0	0.00028	0.002570601867342608	1.0	0.16534	1.0
ANKMY1	2	0	0	1.0	0.778	1.0	0.00048	0.004148027737949923	1.0	0.24294857142857146	1.0
KRAS	5	0	3	0.0	0.5404	0.00171	0.39673	0.005627913279282353	1.0	0.9826599214537709	1.0
SMARCA4	2	0	0	1.0	0.9365	1.0	0.00089	0.007141617294761897	1.0	0.39415875	1.0
EIF1AX	9	0	3	0.6934264036172708	0.4421111111111111	0.00177	0.53324	0.007518172169919553	1.0	1.0	1.0
DNAH10	2	0	0	1.0	0.982	1.0	0.00128	0.009805945857344785	1.0	0.5038933333333334	1.0
LIN54	2	0	0	1.0	0.953	1.0	0.00199	0.014367045074089013	1.0	0.6043941176470587	1.0
N4BP2	1	0	0	1.0	0.9359999999999999	1.0	0.002	0.014429216196844381	1.0	0.6043941176470587	1.0
FKRP	2	0	0	1.0	0.831	1.0	0.00213	0.015232978927425514	1.0	0.6043941176470587	1.0
CSF2RB	2	0	0	1.0	0.6475	1.0	0.00232	0.016393556376465092	1.0	0.6043941176470587	1.0
VPS52	2	0	0	1.0	0.9475	1.0	0.00256	0.017837434932456108	1.0	0.6043941176470587	1.0
VANGL1	1	0	0	1.0	0.998	1.0	0.00272	0.018787375644393915	1.0	0.6043941176470587	1.0
ADAMTS2	1	0	0	1.0	0.996	1.0	0.00285	0.0195522434113995	1.0	0.6043941176470587	1.0
SYNE3	1	0	0	1.0	0.977	1.0	0.0029	0.01984482917177015	1.0	0.6043941176470587	1.0
STK25	1	0	0	1.0	0.9940000000000001	1.0	0.00355	0.023574867248006583	1.0	0.6955468421052632	1.0
DICER1	4	0	0	1.0	0.8850000000000001	1.0	0.00373	0.024585724479067525	1.0	0.6955468421052632	1.0
MYO10	1	0	0	1.0	0.9940000000000001	1.0	0.00426	0.027513150865665657	1.0	0.7150418181818182	1.0
NDUFA9	3	0	0	1.0	0.8943333333333333	1.0	0.00432	0.02784023946745684	1.0	0.7150418181818182	1.0
CNTNAP5	1	0	0	1.0	0.973	1.0	0.00444	0.02849192800726873	1.0	0.7150418181818182	1.0
NDUFB8	2	0	0	1.0	0.905	1.0	0.00544	0.033804030626541734	1.0	0.729858	1.0
MBIP	1	0	0	1.0	0.98	1.0	0.00558	0.03453220108444615	1.0	0.729858	1.0
