gene	Total Mutations	Unmapped to Ref Tx	num recurrent	position entropy	mean vest score	entropy p-value	vest p-value	combined p-value	entropy BH q-value	vest BH q-value	combined BH q-value
GTF2I	29	0	28	0.044544623099247435	0.5950689655172413	0.0	0.00149	2.834263788975248e-07	0.0	0.5684	0.00046028443932958024
ROR1	2	0	0	1.0	0.995	1.0	0.00015	0.0014707312895802034	1.0	0.24359999999999998	1.0
SMARCA4	2	0	0	1.0	0.9495	1.0	0.00144	0.010862081518167688	1.0	0.5684	1.0
RAD18	1	0	0	1.0	0.9690000000000001	1.0	0.00183	0.013365293941195717	1.0	0.5684	1.0
HUWE1	1	0	0	1.0	0.98	1.0	0.00183	0.013365293941195717	1.0	0.5684	1.0
LAMC3	1	0	0	1.0	0.995	1.0	0.0021	0.015048217661930792	1.0	0.5684	1.0
RHBG	1	0	0	1.0	0.995	1.0	0.00302	0.020543545311737986	1.0	0.70064	1.0
URI1	1	0	0	1.0	0.98	1.0	0.00399	0.026030616551840653	1.0	0.7719709883415268	1.0
DUS3L	1	0	0	1.0	0.977	1.0	0.0046	0.02935581528724061	1.0	0.7719709883415268	1.0
COL22A1	1	0	0	1.0	0.9470000000000001	1.0	0.00552	0.0342205633511861	1.0	0.7719709883415268	1.0
ITIH1	1	0	0	1.0	0.9840000000000001	1.0	0.00715	0.04247559689427494	1.0	0.7719709883415268	1.0
HM13	1	0	0	1.0	0.975	1.0	0.00735	0.043460953998316815	1.0	0.7719709883415268	1.0
LENG8	1	0	0	1.0	0.972	1.0	0.00773	0.04531825679863911	1.0	0.7719709883415268	1.0
MEOX1	1	0	0	1.0	0.9890000000000001	1.0	0.00877	0.050308390004684844	1.0	0.7719709883415268	1.0
DHDDS	1	0	0	1.0	0.991	1.0	0.0091	0.051865275875679906	1.0	0.7719709883415268	1.0
ADAM23	1	0	0	1.0	0.997	1.0	0.00921	0.05238155659846442	1.0	0.7719709883415268	1.0
GRIA4	1	0	0	1.0	0.991	1.0	0.00929	0.05275620738599288	1.0	0.7719709883415268	1.0
PDS5A	1	0	0	1.0	0.975	1.0	0.00929	0.05275620738599288	1.0	0.7719709883415268	1.0
SNX15	1	0	0	1.0	0.84	1.0	0.00959	0.054155059800932326	1.0	0.7719709883415268	1.0
HAUS8	1	0	0	1.0	0.87	1.0	0.010028480885715433	0.05618282066605517	1.0	0.7719709883415268	1.0
SIM1	1	0	0	1.0	0.972	1.0	0.010838111133991569	0.059877166785369015	1.0	0.7719709883415268	1.0
NRXN1	1	0	0	1.0	0.958	1.0	0.011082911259129549	0.0609820665546173	1.0	0.7719709883415268	1.0
BRWD3	1	0	0	1.0	0.914	1.0	0.011653110215116414	0.06353487966236608	1.0	0.7719709883415268	1.0
SPAG1	1	0	0	1.0	0.855	1.0	0.011856489056460601	0.06443859478762282	1.0	0.7719709883415268	1.0
LRRC48	1	0	0	1.0	0.955	1.0	0.013277391258165596	0.07065819474791787	1.0	0.7719709883415268	1.0
ATG13	1	0	0	1.0	0.991	1.0	0.01573638409366296	0.08107038553507641	1.0	0.7719709883415268	1.0
ID4	1	0	0	1.0	0.541	1.0	0.01613918432562418	0.08273761164060026	1.0	0.7719709883415268	1.0
IGSF1	1	0	0	1.0	0.919	1.0	0.016551906779661018	0.08443548017947293	1.0	0.7719709883415268	1.0
MRPS15	1	0	0	1.0	0.971	1.0	0.016873934832863674	0.08575308649969197	1.0	0.7719709883415268	1.0
LFNG	1	0	0	1.0	0.9620000000000001	1.0	0.017088466993626	0.08662744557888784	1.0	0.7719709883415268	1.0
FOXF1	1	0	0	1.0	0.9209999999999999	1.0	0.01709343270315545	0.08664765207493079	1.0	0.7719709883415268	1.0
PSPN	1	0	0	1.0	0.978	1.0	0.017189514396218308	0.08703834480770702	1.0	0.7719709883415268	1.0
PFKM	1	0	0	1.0	0.987	1.0	0.017626736233519003	0.08880946248029968	1.0	0.7719709883415268	1.0
FAM178A	1	0	0	1.0	0.941	1.0	0.018207308413597217	0.09114455154155532	1.0	0.7719709883415268	1.0
SIN3A	3	0	0	1.0	0.898	1.0	0.018232870218429786	0.0912469324636206	1.0	0.7719709883415268	1.0
TRPM5	2	0	0	1.0	0.8075	1.0	0.018270179413161836	0.09139630007936575	1.0	0.7719709883415268	1.0
DIEXF	1	0	0	1.0	0.981	1.0	0.018299935950224173	0.09151537595623822	1.0	0.7719709883415268	1.0
ACSS3	1	0	0	1.0	0.963	1.0	0.019151951583866397	0.09490463588622446	1.0	0.7719709883415268	1.0
SETD2	1	0	0	1.0	0.9470000000000001	1.0	0.01935846061521188	0.09572034214089391	1.0	0.7719709883415268	1.0
AXL	1	0	0	1.0	0.943	1.0	0.020047311655506998	0.09842548847758631	1.0	0.7719709883415268	1.0
CCDC22	2	0	0	1.0	0.73	1.0	0.020304980811793133	0.09943123845851552	1.0	0.7719709883415268	1.0
TRANK1	1	0	0	1.0	0.9570000000000001	1.0	0.02059096056831051	0.10054366533211764	1.0	0.7719709883415268	1.0
ZFHX3	1	0	0	1.0	0.945	1.0	0.021185094167743574	0.10284213820930312	1.0	0.7719709883415268	1.0
TPST2	1	0	0	1.0	0.996	1.0	0.02128927871923699	0.10324345736827971	1.0	0.7719709883415268	1.0
HEBP2	1	0	0	1.0	0.903	1.0	0.02144680120959959	0.10384926700165903	1.0	0.7719709883415268	1.0
CLIP1	1	0	0	1.0	0.86	1.0	0.022697353488583233	0.10861834281396184	1.0	0.7719709883415268	1.0
RBBP8	2	0	0	1.0	0.756	1.0	0.022722108611679163	0.10871204000961149	1.0	0.7719709883415268	1.0
SHROOM4	1	0	0	1.0	0.85	1.0	0.02521940885705639	0.11803039917710707	1.0	0.7719709883415268	1.0
NAA10	1	0	0	1.0	0.9440000000000001	1.0	0.025271670457417236	0.11822267514271757	1.0	0.7719709883415268	1.0
LINGO4	1	0	0	1.0	0.9740000000000001	1.0	0.026141740517083626	0.12140804612891833	1.0	0.7719709883415268	1.0
EPN3	2	0	0	1.0	0.5965	1.0	0.026340050046095086	0.1221299797883629	1.0	0.7719709883415268	1.0
SETD1A	1	0	0	1.0	0.8909999999999999	1.0	0.027023375219564924	0.12460621642073857	1.0	0.7719709883415268	1.0
KLF3	1	0	0	1.0	0.94	1.0	0.027184993883376377	0.125189347652147	1.0	0.7719709883415268	1.0
GNB3	1	0	0	1.0	0.988	1.0	0.028061510831743183	0.12833528911377254	1.0	0.7719709883415268	1.0
TLL2	1	0	0	1.0	0.9570000000000001	1.0	0.02981514609421586	0.13454796530694882	1.0	0.7719709883415268	1.0
LRFN2	1	0	0	1.0	0.935	1.0	0.03021969719863407	0.1359663153753995	1.0	0.7719709883415268	1.0
MARCH7	1	0	0	1.0	0.965	1.0	0.031536787662808666	0.1405468653145753	1.0	0.7719709883415268	1.0
PDE7B	1	0	0	1.0	0.929	1.0	0.0316105579263474	0.1408017734344507	1.0	0.7719709883415268	1.0
FLYWCH1	1	0	0	1.0	0.825	1.0	0.03174300860235533	0.14125901594743254	1.0	0.7719709883415268	1.0
RAB3IP	1	0	0	1.0	0.948	1.0	0.03241701244813278	0.1435772795133602	1.0	0.7719709883415268	1.0
CTSB	1	0	0	1.0	0.9590000000000001	1.0	0.03276217934016971	0.14475905047946516	1.0	0.7719709883415268	1.0
C1orf167	1	0	0	1.0	0.373	1.0	0.03292939936775553	0.14533026285654363	1.0	0.7719709883415268	1.0
USP13	1	0	0	1.0	0.977	1.0	0.03348289024308578	0.1472149169502135	1.0	0.7719709883415268	1.0
CLIP3	1	0	0	1.0	0.95	1.0	0.03485778025655326	0.1518571847763099	1.0	0.7719709883415268	1.0
PINLYP	1	0	0	1.0	0.9620000000000001	1.0	0.03489548801339987	0.1519837296791441	1.0	0.7719709883415268	1.0
GCKR	1	0	0	1.0	0.8809999999999999	1.0	0.034960145434205	0.15220062117837183	1.0	0.7719709883415268	1.0
WDR25	1	0	0	1.0	0.9209999999999999	1.0	0.03509510774198077	0.15265296338860948	1.0	0.7719709883415268	1.0
ZNF638	1	0	0	1.0	0.7609999999999999	1.0	0.035285815102328866	0.15329125738399915	1.0	0.7719709883415268	1.0
LRRC34	1	0	0	1.0	0.609	1.0	0.035756427217792396	0.15486198890424976	1.0	0.7719709883415268	1.0
NRIP2	1	0	0	1.0	0.655	1.0	0.03785011355034065	0.1617759764986442	1.0	0.7719709883415268	1.0
DNMT3B	1	0	0	1.0	0.973	1.0	0.038821382817655965	0.16494367330280152	1.0	0.7719709883415268	1.0
OR4N2	1	0	0	1.0	0.9059999999999999	1.0	0.03905029678225554	0.1656866917630257	1.0	0.7719709883415268	1.0
IGDCC4	1	0	0	1.0	0.889	1.0	0.03942440370589395	0.1668980986011691	1.0	0.7719709883415268	1.0
PPT1	1	0	0	1.0	0.971	1.0	0.04036001130080316	0.16991224940455626	1.0	0.7719709883415268	1.0
IQCA1	1	0	0	1.0	0.922	1.0	0.04037304695385361	0.16995409064836225	1.0	0.7719709883415268	1.0
GTPBP4	1	0	0	1.0	0.9009999999999999	1.0	0.040543279951348064	0.1705001108731279	1.0	0.7719709883415268	1.0
HDAC4	2	0	0	1.0	0.777	1.0	0.04083966348117291	0.17144905356741502	1.0	0.7719709883415268	1.0
SLC13A1	1	0	0	1.0	0.915	1.0	0.040854679903582956	0.1714970748504626	1.0	0.7719709883415268	1.0
