gene	Total SNV Mutations	SNVs Unmapped to Ref Tx	inactivating count	inactivating p-value	inactivating BH q-value
ZNF441	1	0	1	0.00993	0.2105279274865262
ANKS1B	1	0	1	0.021229619565217392	0.2105279274865262
PDILT	1	0	1	0.025185744868404483	0.2105279274865262
CERKL	1	0	1	0.02664251079021687	0.2105279274865262
NOD1	2	0	1	0.02718942875010196	0.2105279274865262
TSC2	1	0	1	0.02915961975855835	0.2105279274865262
SEPT3	1	0	1	0.032655193808575254	0.2105279274865262
PLXNB1	1	0	1	0.03305894409732553	0.2105279274865262
SLC22A17	1	0	1	0.034121540928788344	0.2105279274865262
UHRF1BP1	1	0	1	0.034434075961571574	0.2105279274865262
NR2C2	1	0	1	0.03588345055260514	0.2105279274865262
RAI1	1	0	1	0.03939179075080753	0.2105279274865262
KLC4	1	0	1	0.039397998581672054	0.2105279274865262
FSTL4	1	0	1	0.04052520667855406	0.2105279274865262
PLEKHG4B	1	0	1	0.045651677699155443	0.2105279274865262
PODXL	1	0	1	0.04575611988103409	0.2105279274865262
IDH3B	1	0	1	0.045772874994278394	0.2105279274865262
STK33	1	0	1	0.04833953690723643	0.2105279274865262
ANKRD20A4	1	0	1	0.05003502451716201	0.2105279274865262
ZBED6CL	1	0	1	0.050841425593573644	0.2105279274865262
ARAP3	1	0	1	0.052521008403361345	0.2105279274865262
PCNXL3	1	0	1	0.05567618729469406	0.2105279274865262
FLII	1	0	1	0.058186896310950774	0.2105279274865262
NISCH	1	0	1	0.058343057176196034	0.2105279274865262
UTP23	1	0	1	0.05943536404160475	0.2105279274865262
SLC9A5	1	0	1	0.06076072426783327	0.2105279274865262
CXXC1	1	0	1	0.0613685179502915	0.2105279274865262
IDO2	1	0	1	0.06168650916044661	0.2105279274865262
CELSR1	1	0	1	0.061973227565691624	0.2105279274865262
GRIPAP1	1	0	1	0.06460783046905284	0.2105279274865262
SPIRE2	1	0	1	0.06669334400426838	0.2105279274865262
CIRH1A	1	0	1	0.0678472080873872	0.2105279274865262
TIMP3	1	0	1	0.0685166152792052	0.2105279274865262
EPN3	2	0	1	0.0701213098660683	0.2105279274865262
DYRK4	1	0	1	0.07013606396409033	0.2105279274865262
ERCC1	1	0	1	0.07112375533428165	0.2105279274865262
COL6A1	2	0	1	0.0711288142826659	0.2105279274865262
PRICKLE4	1	0	1	0.07364854912358226	0.2105279274865262
PER1	1	0	1	0.0760225026607876	0.2105279274865262
HIVEP2	1	0	1	0.07765180928715638	0.2105279274865262
ADORA1	1	0	1	0.08401949252226516	0.2105279274865262
ESYT3	1	0	1	0.08646031471554556	0.2105279274865262
FMN1	2	1	1	0.08742787200559539	0.2105279274865262
MTMR7	1	0	1	0.08803591865481117	0.2105279274865262
KIAA0430	2	0	1	0.08880994671403197	0.2105279274865262
