gene	Total Mutations	Unmapped to Ref Tx	num recurrent	position entropy	mean vest score	entropy p-value	vest p-value	combined p-value	entropy BH q-value	vest BH q-value	combined BH q-value
TP53	28	0	6	0.9135782189891487	0.7588571428571428	0.00295	0.0	5.409968294212182e-07	1.0	0.0	0.002404730906777315
KRAS	4	0	4	0.0	0.926	0.0023	0.00928	0.0002508931681744038	1.0	0.978873078149527	0.5576100662676124
PPP2R1A	9	0	3	0.8333333333333334	0.7667777777777778	0.234	0.00092	0.002033011975976742	1.0	0.6356350000000001	1.0
CCDC88A	2	0	0	1.0	0.8965000000000001	1.0	0.00078	0.0063618489778588935	1.0	0.6356350000000001	1.0
FBXW7	11	0	0	1.0	0.8125454545454546	1.0	0.0008	0.006504719064237079	1.0	0.6356350000000001	1.0
SPOP	4	0	0	1.0	0.9277500000000001	1.0	0.00084	0.0067889712795466085	1.0	0.6356350000000001	1.0
PIK3CA	9	0	0	1.0	0.8754444444444445	1.0	0.00103	0.008114542371042808	1.0	0.6356350000000001	1.0
CEP97	1	0	0	1.0	0.972	1.0	0.00123	0.009471911564805308	1.0	0.6356350000000001	1.0
SRBD1	3	0	0	1.0	0.9573333333333333	1.0	0.00139	0.01053404762925695	1.0	0.6356350000000001	1.0
LZTR1	2	0	0	1.0	0.927	1.0	0.0014	0.010599796259305296	1.0	0.6356350000000001	1.0
TRIP11	1	0	0	1.0	0.91	1.0	0.00143	0.010796615593635761	1.0	0.6356350000000001	1.0
PLXNB2	1	0	0	1.0	0.951	1.0	0.00281	0.01931754393573852	1.0	0.978873078149527	1.0
PALLD	1	0	0	1.0	0.948	1.0	0.00308	0.020891103100549705	1.0	0.978873078149527	1.0
TBC1D9	1	0	0	1.0	0.992	1.0	0.00332	0.022269864446898425	1.0	0.978873078149527	1.0
SMYD1	1	0	0	1.0	1.0	1.0	0.00335	0.022440963026036292	1.0	0.978873078149527	1.0
PGM3	1	0	0	1.0	0.995	1.0	0.00347	0.023122694377031086	1.0	0.978873078149527	1.0
TCHH	3	0	0	1.0	0.5353333333333333	1.0	0.00363	0.02402523714946053	1.0	0.978873078149527	1.0
FGF13	1	0	0	1.0	0.9840000000000001	1.0	0.00417	0.02702092964402484	1.0	0.978873078149527	1.0
TLN2	1	0	0	1.0	0.9890000000000001	1.0	0.00419	0.02713047854375151	1.0	0.978873078149527	1.0
