gene	Total Mutations	Unmapped to Ref Tx	num recurrent	position entropy	mean vest score	entropy p-value	vest p-value	combined p-value	entropy BH q-value	vest BH q-value	combined BH q-value
GNA11	15	0	14	0.09044515744019287	0.7599333333333331	0.0	0.0	2.402585092994044e-09	0.0	0.0	4.1724894448329894e-07
SF3B1	11	0	9	0.2502886927414662	0.9043636363636364	1e-05	0.0	2.402585092994044e-09	0.0017366666666666667	0.0	4.1724894448329894e-07
GNAQ	25	0	22	0.10843058881261769	0.86024	0.0	0.0	2.402585092994044e-09	0.0	0.0	4.1724894448329894e-07
BPIFB1	1	0	0	1.0	0.9179999999999999	1.0	0.00331	0.02221277146655337	1.0	0.4311275	1.0
ANAPC1	1	0	0	1.0	0.988	1.0	0.00635	0.038476557959592345	1.0	0.643435	1.0
EIF1AX	7	0	0	1.0	0.7412857142857142	1.0	0.00741	0.04375549306198541	1.0	0.643435	1.0
USP35	1	0	0	1.0	0.743	1.0	0.017573765882290916	0.08859547060470886	1.0	0.812430023421687	1.0
SCN9A	1	0	0	1.0	0.993	1.0	0.018166624277876686	0.09098152816392942	1.0	0.812430023421687	1.0
KIAA1024	1	0	0	1.0	0.9329999999999999	1.0	0.018395202531179867	0.091896276449814	1.0	0.812430023421687	1.0
MORC3	1	0	0	1.0	0.915	1.0	0.018889308651303362	0.09386398180579822	1.0	0.812430023421687	1.0
GLB1L	1	0	0	1.0	0.991	1.0	0.019328526972959392	0.09560224197108574	1.0	0.812430023421687	1.0
CETP	1	0	0	1.0	0.6970000000000001	1.0	0.024343338445434407	0.11479094043229403	1.0	0.812430023421687	1.0
PCDHGA2	1	0	0	1.0	0.9329999999999999	1.0	0.026188293832656803	0.12157765531858972	1.0	0.812430023421687	1.0
FAM171A1	1	0	0	1.0	0.992	1.0	0.028595121672242714	0.1302370291557521	1.0	0.812430023421687	1.0
HDAC5	1	0	0	1.0	0.9590000000000001	1.0	0.032080071859360966	0.1424201288329692	1.0	0.812430023421687	1.0
PCDHB16	1	0	0	1.0	0.8490000000000001	1.0	0.032429627707873915	0.14362053569195152	1.0	0.812430023421687	1.0
IL1R1	1	0	0	1.0	0.971	1.0	0.03397893306150187	0.14889617948506223	1.0	0.812430023421687	1.0
TSHZ2	1	0	0	1.0	0.873	1.0	0.040985286282224684	0.17191451075260253	1.0	0.812430023421687	1.0
FOXF2	1	0	0	1.0	0.8590000000000001	1.0	0.042506163393692085	0.17674514122835372	1.0	0.812430023421687	1.0
FAM13B	1	0	0	1.0	0.9109999999999999	1.0	0.04291661302090039	0.17803940938610446	1.0	0.812430023421687	1.0
ZNF462	1	0	0	1.0	0.955	1.0	0.04341219882787063	0.17959690898145783	1.0	0.812430023421687	1.0
OCLN	1	0	0	1.0	0.8759999999999999	1.0	0.044296788482835	0.182362927986846	1.0	0.812430023421687	1.0
USP49	1	0	0	1.0	0.893	1.0	0.04685157421289355	0.19025349839454708	1.0	0.812430023421687	1.0
PPM1L	1	0	0	1.0	0.986	1.0	0.0479570305006714	0.19362410641213595	1.0	0.812430023421687	1.0
FUS	1	0	0	1.0	0.852	1.0	0.05028663381273257	0.20064447181725242	1.0	0.812430023421687	1.0
SLC25A23	1	0	0	1.0	0.955	1.0	0.05157031612603785	0.20446645561861074	1.0	0.812430023421687	1.0
PKHD1L1	1	0	0	1.0	0.8859999999999999	1.0	0.05180541884681138	0.20516295520104336	1.0	0.812430023421687	1.0
WISP1	1	0	0	1.0	0.993	1.0	0.05278158978148422	0.2080435357042828	1.0	0.812430023421687	1.0
ATP1B4	1	0	0	1.0	0.958	1.0	0.05280667476369013	0.20811731954801543	1.0	0.812430023421687	1.0
ZDHHC23	1	0	0	1.0	0.97	1.0	0.0531434341287134	0.20910669695288875	1.0	0.812430023421687	1.0
C2orf71	1	0	0	1.0	0.381	1.0	0.05399568034557235	0.21160103829471022	1.0	0.812430023421687	1.0
C6orf211	1	0	0	1.0	0.9470000000000001	1.0	0.056044387154626465	0.2175425250489991	1.0	0.812430023421687	1.0
GSG2	1	0	0	1.0	0.9	1.0	0.05885468777588135	0.22557140792793973	1.0	0.812430023421687	1.0
ZBTB7B	1	0	0	1.0	0.6829999999999999	1.0	0.05928385107896609	0.22678553093931197	1.0	0.812430023421687	1.0
FOXC1	1	0	0	1.0	0.616	1.0	0.06103515625	0.23170808403668797	1.0	0.812430023421687	1.0
SLC12A5	1	0	0	1.0	0.9129999999999999	1.0	0.0611583389395144	0.23205241621628336	1.0	0.812430023421687	1.0
ARSJ	1	0	0	1.0	0.955	1.0	0.06359300476947535	0.23880774579246447	1.0	0.812430023421687	1.0
PPP2R1A	1	0	0	1.0	0.887	1.0	0.06580246101204185	0.2448574086958917	1.0	0.812430023421687	1.0
BCOR	1	0	0	1.0	0.856	1.0	0.06609385327164574	0.24564967136816024	1.0	0.812430023421687	1.0
KIAA0196	1	0	0	1.0	0.9890000000000001	1.0	0.06690753378830457	0.24785519239315526	1.0	0.812430023421687	1.0
PITPNM2	1	0	0	1.0	0.89	1.0	0.06906554320049728	0.2536569738102965	1.0	0.812430023421687	1.0
PLCB2	2	0	0	1.0	0.624	1.0	0.06960879855213699	0.2551068010338723	1.0	0.812430023421687	1.0
PGBD1	1	0	0	1.0	0.8759999999999999	1.0	0.07072635971426551	0.2580760263533278	1.0	0.812430023421687	1.0
CYSLTR2	1	0	0	1.0	0.888	1.0	0.07109847138286526	0.2590607495159488	1.0	0.812430023421687	1.0
NLRP3	1	0	0	1.0	0.774	1.0	0.0711490572749911	0.2591944649134468	1.0	0.812430023421687	1.0
AMOTL2	1	0	0	1.0	0.667	1.0	0.07173086579155011	0.26072979978272365	1.0	0.812430023421687	1.0
VWA7	1	0	0	1.0	0.631	1.0	0.07718431614695893	0.2748964959330875	1.0	0.8287125846607052	1.0
VAV3	1	0	0	1.0	0.9420000000000001	1.0	0.0791514959632737	0.2799106848564594	1.0	0.8287125846607052	1.0
OR2B2	1	0	0	1.0	0.79	1.0	0.07942180922881423	0.2805958440965423	1.0	0.8287125846607052	1.0
SHPK	1	0	0	1.0	0.884	1.0	0.08143985666585227	0.2856820983938737	1.0	0.8287125846607052	1.0
MAP3K19	1	0	0	1.0	0.775	1.0	0.08270614506657845	0.2888480170533545	1.0	0.8287125846607052	1.0
TNFRSF8	1	0	0	1.0	0.523	1.0	0.08285690612312537	0.2892236458394035	1.0	0.8287125846607052	1.0
CSGALNACT1	1	0	0	1.0	0.9470000000000001	1.0	0.08430281571404485	0.2928123430632722	1.0	0.8287125846607052	1.0
CLEC4M	1	0	0	1.0	0.191	1.0	0.09260974254491572	0.31296174585998293	1.0	0.8383538013954328	1.0
PARPBP	1	0	0	1.0	0.767	1.0	0.09399379640943697	0.316244618341407	1.0	0.8383538013954328	1.0
PRDM11	1	0	0	1.0	0.7759999999999999	1.0	0.0956846234810066	0.3202275062302521	1.0	0.8383538013954328	1.0
FAM212A	1	0	0	1.0	0.759	1.0	0.09650646593321753	0.3221526026242615	1.0	0.8383538013954328	1.0
C4orf17	1	0	0	1.0	0.557	1.0	0.09881422924901186	0.32752111302957704	1.0	0.8383538013954328	1.0
GRIN3B	1	0	0	1.0	0.732	1.0	0.10080645161290322	0.33211218964685285	1.0	0.8383538013954328	1.0
PLD2	1	0	0	1.0	0.828	1.0	0.1011326860841424	0.33286022458690684	1.0	0.8383538013954328	1.0
SLC12A7	1	0	0	1.0	0.878	1.0	0.10646225912913872	0.3449339647623099	1.0	0.8383538013954328	1.0
MDN1	1	0	0	1.0	0.905	1.0	0.10787486515641856	0.3480888219609238	1.0	0.8383538013954328	1.0
TRAF3IP1	1	0	0	1.0	0.608	1.0	0.10918222513374823	0.3509921391441042	1.0	0.8383538013954328	1.0
KRT16	1	0	0	1.0	0.737	1.0	0.1096371011950444	0.35199862374717916	1.0	0.8383538013954328	1.0
SYNE1	1	0	0	1.0	0.675	1.0	0.11103708638685321	0.35508450165216304	1.0	0.8383538013954328	1.0
NCAPH	1	0	0	1.0	0.675	1.0	0.11128421989761851	0.3556273993598897	1.0	0.8383538013954328	1.0
NDN	1	0	0	1.0	0.502	1.0	0.11188185276348177	0.3569380007284917	1.0	0.8383538013954328	1.0
ADAMTS18	1	0	0	1.0	0.868	1.0	0.11376564277588168	0.3610483175992133	1.0	0.8383538013954328	1.0
HMX3	1	0	0	1.0	0.612	1.0	0.11436413540713632	0.3623476384805852	1.0	0.8383538013954328	1.0
OR2B3	1	0	0	1.0	0.627	1.0	0.1205836247437598	0.37566764566128885	1.0	0.8383538013954328	1.0
STAM	1	0	0	1.0	0.893	1.0	0.12400793650793651	0.3828633074564748	1.0	0.8383538013954328	1.0
NOD2	1	0	0	1.0	0.715	1.0	0.12417732522041475	0.38321677546422545	1.0	0.8383538013954328	1.0
DCAF11	1	0	0	1.0	0.7959999999999999	1.0	0.12484394506866417	0.38460558814984613	1.0	0.8383538013954328	1.0
ELTD1	1	0	0	1.0	0.764	1.0	0.12599218848431398	0.38698946328697736	1.0	0.8383538013954328	1.0
MTOR	2	0	0	1.0	0.9	1.0	0.12898232942086935	0.39314844127909493	1.0	0.8383538013954328	1.0
DPCR1	4	0	0	1.0	0.13175	1.0	0.13012361743656473	0.3954808558218032	1.0	0.8383538013954328	1.0
RPS6KA6	1	0	0	1.0	0.934	1.0	0.1313370107696349	0.3979496530024042	1.0	0.8383538013954328	1.0
FAM187B	1	0	0	1.0	0.247	1.0	0.13264358668258389	0.4005955096471101	1.0	0.8383538013954328	1.0
DNAH8	1	0	0	1.0	0.872	1.0	0.1330671989354624	0.40145056862341144	1.0	0.8383538013954328	1.0
RASGRF2	1	0	0	1.0	0.858	1.0	0.13592496941688187	0.40718393923476015	1.0	0.8383538013954328	1.0
SEL1L3	1	0	0	1.0	0.863	1.0	0.1400560224089636	0.4153659350632348	1.0	0.8383538013954328	1.0
GTSE1	1	0	0	1.0	0.43799999999999994	1.0	0.1421666192777936	0.41949893859138343	1.0	0.8383538013954328	1.0
APC	1	0	0	1.0	0.8690000000000001	1.0	0.14302059496567507	0.42116227665235095	1.0	0.8383538013954328	1.0
VWA8	1	0	0	1.0	0.8	1.0	0.14308198597796537	0.4212816546709103	1.0	0.8383538013954328	1.0
SLC26A5	1	0	0	1.0	0.875	1.0	0.143204926249463	0.42152063924730054	1.0	0.8383538013954328	1.0
SPTA1	2	0	0	1.0	0.4575	1.0	0.1450747134774409	0.42514237689010803	1.0	0.8383538013954328	1.0
LRP1B	1	0	0	1.0	0.722	1.0	0.14788524105294293	0.4305410683652314	1.0	0.8383538013954328	1.0
CYP1A1	1	0	0	1.0	0.838	1.0	0.14874312063067083	0.432178266173866	1.0	0.8383538013954328	1.0
EYA3	1	0	0	1.0	0.8690000000000001	1.0	0.14905351021016544	0.4327694005933449	1.0	0.8383538013954328	1.0
MYH2	1	0	0	1.0	0.8759999999999999	1.0	0.15019525382997898	0.4349382906507713	1.0	0.8383538013954328	1.0
TWF2	1	0	0	1.0	0.718	1.0	0.15183723048891587	0.4380422386811681	1.0	0.8383538013954328	1.0
FAT1	1	0	0	1.0	0.715	1.0	0.151952590791673	0.4382596428314819	1.0	0.8383538013954328	1.0
LILRA3	1	0	0	1.0	0.535	1.0	0.15617679212868968	0.446160648217502	1.0	0.8383538013954328	1.0
ADD1	1	0	0	1.0	0.9309999999999999	1.0	0.15795293002685198	0.4494484602056529	1.0	0.8383538013954328	1.0
KRR1	1	0	0	1.0	0.748	1.0	0.16189088554314393	0.45666710647786335	1.0	0.8383538013954328	1.0
SELE	1	0	0	1.0	0.773	1.0	0.16194331983805668	0.45676257206705106	1.0	0.8383538013954328	1.0
KIF13B	1	0	0	1.0	0.725	1.0	0.16493485073396008	0.4621812183885198	1.0	0.8383538013954328	1.0
COL27A1	1	0	0	1.0	0.444	1.0	0.16553550736633008	0.46326263220602615	1.0	0.8383538013954328	1.0
NOC4L	1	0	0	1.0	0.564	1.0	0.16600265604249667	0.46410217305736934	1.0	0.8383538013954328	1.0
KLHL31	1	0	0	1.0	0.8340000000000001	1.0	0.16630633627141195	0.46464722967860184	1.0	0.8383538013954328	1.0
NLRC5	1	0	0	1.0	0.275	1.0	0.16644474034620507	0.4648954584656847	1.0	0.8383538013954328	1.0
CNTN5	1	0	0	1.0	0.884	1.0	0.16798252981689904	0.46764577426024756	1.0	0.8383538013954328	1.0
LILRA2	1	0	0	1.0	0.32	1.0	0.16803898504453033	0.4677464749895339	1.0	0.8383538013954328	1.0
SIGLEC1	1	0	0	1.0	0.48	1.0	0.168321831341525	0.4682507102126925	1.0	0.8383538013954328	1.0
OSGIN1	1	0	0	1.0	0.698	1.0	0.17006802721088435	0.4713531908011114	1.0	0.8383538013954328	1.0
GTDC1	1	0	0	1.0	0.831	1.0	0.17129153819801302	0.4735163193614119	1.0	0.8383538013954328	1.0
MCEE	1	0	0	1.0	0.6729999999999999	1.0	0.1771793054571226	0.483804577248506	1.0	0.8383538013954328	1.0
CTDSP1	1	0	0	1.0	0.8079999999999999	1.0	0.17774617845716317	0.48478469784352396	1.0	0.8383538013954328	1.0
CHST4	1	0	0	1.0	0.943	1.0	0.17972681524083392	0.48819505285068243	1.0	0.8383538013954328	1.0
FHOD3	1	0	0	1.0	0.669	1.0	0.1893939393939394	0.5045314579011688	1.0	0.8383538013954328	1.0
DEPDC5	1	0	0	1.0	0.792	1.0	0.19000570017100513	0.505548395662482	1.0	0.8383538013954328	1.0
HK1	1	0	0	1.0	0.753	1.0	0.19135093761959435	0.5077776821849255	1.0	0.8383538013954328	1.0
CLCN5	1	0	0	1.0	0.904	1.0	0.19171779141104295	0.5083839771135645	1.0	0.8383538013954328	1.0
KRCC1	1	0	0	1.0	0.255	1.0	0.1953125	0.5142879763772299	1.0	0.8383538013954328	1.0
SQSTM1	1	0	0	1.0	0.413	1.0	0.19561815336463223	0.5147869164857657	1.0	0.8383538013954328	1.0
CDHR1	1	0	0	1.0	0.415	1.0	0.19565642731363725	0.5148493601616401	1.0	0.8383538013954328	1.0
NFX1	1	0	0	1.0	0.65	1.0	0.19611688566385566	0.5156000082512293	1.0	0.8383538013954328	1.0
TBCD	1	0	0	1.0	0.888	1.0	0.2002402883460152	0.5222741673723633	1.0	0.8383538013954328	1.0
USP15	1	0	0	1.0	0.774	1.0	0.2010454362685967	0.5235674196584668	1.0	0.8383538013954328	1.0
PSG4	1	0	0	1.0	0.252	1.0	0.20169423154497781	0.5246071870941911	1.0	0.8383538013954328	1.0
PRR14	1	0	0	1.0	0.22899999999999998	1.0	0.20567667626491157	0.5309440304183324	1.0	0.8383538013954328	1.0
