gene	Total SNV Mutations	SNVs Unmapped to Ref Tx	inactivating count	inactivating p-value	inactivating BH q-value
GLI2	1	0	1	0.020208552259316143	0.16976007243096422
IRAK3	1	0	1	0.020951622703178362	0.16976007243096422
TMEM35	1	0	1	0.02191684748065838	0.16976007243096422
EWSR1	1	0	1	0.03125097659301853	0.16976007243096422
ARHGEF19	1	0	1	0.031498047121078496	0.16976007243096422
ZNF446	1	0	1	0.03313452617627568	0.16976007243096422
ALG1	1	0	1	0.04786062984588877	0.16976007243096422
TBX5	1	0	1	0.04811624885723909	0.16976007243096422
MGAT4B	1	0	1	0.06093845216331505	0.16976007243096422
PPARA	1	0	1	0.06341556217895872	0.16976007243096422
PDE4D	1	0	1	0.06697923643670463	0.16976007243096422
HHEX	1	0	1	0.06718624025799516	0.16976007243096422
ZC3H7A	1	0	1	0.07367025195226168	0.16976007243096422
DSCAM	1	0	1	0.07508634930169696	0.16976007243096422
STAG1	1	0	1	0.08136034496786267	0.16976007243096422
PPP2R5D	1	0	1	0.0948676596148373	0.16976007243096422
MYO1F	1	0	1	0.09579461634256155	0.16976007243096422
KRT32	1	0	1	0.09656237929702588	0.16976007243096422
FGFR2	1	0	1	0.09769441187964048	0.16976007243096422
GMEB2	2	0	1	0.10264832683227264	0.16976007243096422
JAK1	1	0	1	0.1063264221158958	0.16976007243096422
MSS51	1	0	1	0.10646225912913872	0.16976007243096422
QKI	1	0	1	0.11314777098891152	0.16976007243096422
DTNA	1	0	1	0.11317338162064282	0.16976007243096422
MAOB	1	0	1	0.12367054167697254	0.17808558001484046
IL24	1	0	1	0.14836795252225518	0.19823570224997522
SLC13A5	1	0	1	0.14867677668748142	0.19823570224997522
CA2	1	0	1	0.17433751743375175	0.21944127812353326
BAP1	2	0	1	0.176772140710624	0.21944127812353326
HERC2	1	0	1	0.27129679869777534	0.317465916506464
DIP2A	1	0	1	0.2733734281027884	0.317465916506464
GPR112	1	0	1	0.28835063437139563	0.3243944636678201
PADI2	1	0	1	0.3057169061449098	0.3335093521580834
FAM214A	1	0	1	0.3702332469455757	0.3920116732364919
LRRIQ3	1	0	1	0.5032712632108707	0.5176504421597526
GNAQ	25	0	1	0.8264462809917356	0.8264462809917356
C1orf86	1	0	0	1.0	1.0
TTLL4	1	0	0	1.0	1.0
TTN	2	0	0	1.0	1.0
ACOX1	1	0	0	1.0	1.0
ALYREF	1	0	0	1.0	1.0
ATP2A3	1	0	0	1.0	1.0
CDR2L	1	0	0	1.0	1.0
CEP95	1	0	0	1.0	1.0
COG1	1	0	0	1.0	1.0
CWC25	1	0	0	1.0	1.0
DHRS7B	1	0	0	1.0	1.0
DNAH17	2	0	0	1.0	1.0
TRAF3IP1	1	0	0	1.0	1.0
DVL2	1	0	0	1.0	1.0
HDAC5	1	0	0	1.0	1.0
KRT16	1	0	0	1.0	1.0
KRT31	1	0	0	1.0	1.0
KRTAP4-4	1	0	0	1.0	1.0
MYH2	1	0	0	1.0	1.0
MYH4	1	0	0	1.0	1.0
MYO15A	1	0	0	1.0	1.0
