Gene	ID	gene length	non-silent snv	silent snv	nonsense	lost stop	splice site	lost start	missense	recurrent missense	normalized missense position entropy	frameshift indel	inframe indel	normalized mutation entropy
A3GALT2	NA	1023	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AADACL3	NA	1224	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
AADACL4	NA	1224	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ABCA4	NA	6822	5	3	0	0	0	0	5	0	1.0	0.0	0.0	1.0
ABCD3	NA	1980	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ABL2	NA	3549	3	1	0	0	0	0	3	0	1.0	0.0	0.0	1.0
ACADM	NA	1278	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ACAP3	NA	2505	4	0	0	0	1	0	3	0	1.0	0.0	0.0	1.0
ACBD6	NA	849	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ACOT11	NA	1824	3	0	0	0	0	0	3	0	1.0	0.0	0.0	1.0
ACTL8	NA	1101	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ACTN2	NA	2685	6	0	0	0	0	0	6	0	1.0	0.0	0.0	1.0
ACTRT2	NA	1134	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ADAM15	NA	2592	2	1	1	0	0	0	1	0	1.0	0.0	0.0	1.0
ADAM30	NA	2373	2	1	1	0	0	0	1	0	1.0	1.0	0.0	0.75
ADAMTS4	NA	2514	0	1	0	0	0	0	0	0	1.0	1.0	0.0	1.0
ADAMTSL4	NA	3225	4	1	1	0	0	0	3	0	1.0	0.0	0.0	1.0
ADAR	NA	3681	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ADCK3	NA	1944	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ADCY10	NA	4833	6	1	0	0	0	0	6	0	1.0	0.0	0.0	0.9999999999999999
