Gene	ID	gene length	non-silent snv	silent snv	nonsense	lost stop	splice site	lost start	missense	recurrent missense	normalized missense position entropy	frameshift indel	inframe indel	normalized mutation entropy
ACAP3	NA	2505	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ACBD3	NA	1587	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ACBD6	NA	849	0	2	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ADAM15	NA	2592	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ADAM30	NA	2373	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ADAMTSL4	NA	3225	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ADSS	NA	1371	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AGL	NA	4599	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AJAP1	NA	1236	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ALG6	NA	1524	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ANKRD45	NA	801	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ANP32E	NA	807	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
APOA2	NA	303	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ARHGAP29	NA	3786	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ARHGEF11	NA	4689	2	1	0	0	0	0	2	0	1.0	0.0	0.0	1.0
ARHGEF16	NA	2130	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ARID1A	NA	6858	1	0	1	0	0	0	0	0	1.0	0.0	0.0	1.0
ARID4B	NA	3939	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ARTN	NA	687	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ASAP3	NA	2712	1	0	1	0	0	0	0	0	1.0	0.0	0.0	1.0
ASH1L	NA	8895	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ASPM	NA	10434	2	0	0	0	0	0	2	0	1.0	1.0	0.0	1.0
ASTN1	NA	3885	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ATF6	NA	2013	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ATG4C	NA	1377	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ATP1A2	NA	3063	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ATP1A4	NA	3090	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ATP2B4	NA	3618	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ATP8B2	NA	3672	3	0	0	0	0	0	3	0	1.0	0.0	0.0	1.0
B3GALT2	NA	1269	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
BAI2	NA	4758	3	0	0	0	0	0	3	0	1.0	0.0	0.0	1.0
BCAN	NA	2736	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
BMP8B	NA	1209	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
BOLA1	NA	414	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
BTF3L4	NA	477	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
C1QC	NA	738	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
C1orf141	NA	1203	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
C1orf158	NA	585	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
C1orf174	NA	732	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
C1orf54	NA	396	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
C1orf87	NA	1641	2	0	1	0	0	0	1	0	1.0	0.0	0.0	1.0
C8B	NA	1776	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CACNA1E	NA	6942	0	2	0	0	0	0	0	0	1.0	0.0	0.0	1.0
CACNA1S	NA	5622	1	0	0	0	1	0	0	0	1.0	0.0	0.0	1.0
CALML6	NA	546	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CAMTA1	NA	5022	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
CAPN2	NA	2103	2	0	0	0	0	0	2	0	1.0	0.0	0.0	1.0
CAPN9	NA	2073	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
CASP9	NA	1251	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
CASZ1	NA	5280	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CCDC27	NA	1971	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CCNL2	NA	1563	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
CCT3	NA	1638	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
CD1C	NA	1002	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CD5L	NA	1044	1	2	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CDC7	NA	1725	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CELA3B	NA	813	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
CELSR2	NA	8772	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CENPF	NA	9345	0	2	0	0	0	0	0	0	1.0	0.0	0.0	1.0
CEP104	NA	2778	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CEP350	NA	9354	2	0	0	0	0	0	2	0	1.0	0.0	0.0	1.0
CEPT1	NA	1251	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
CFH	NA	3696	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
CGN	NA	3612	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
CHD5	NA	5865	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CHRNB2	NA	1509	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CLCA4	NA	2760	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
CLK2	NA	1497	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CPSF3L	NA	1821	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
