gene,gene length,silent,nonsense,splice site,missense,recurrent missense,frameshift indel,inframe indel,lost start and stop,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,exp_mean,exp_std,methy_mean,methy_std,cna_mean,cna_std,3'UTR,5'UTR,SNP,DEL,INS
ACOT11,1824.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.39207986405974,415.0,0.01756964,7.678666519753551e-08,4.0,5.574963371912934,1.0419181324290931,0.1722534450658922,0.10399466623395873,0.04025,0.04105,0,0,1,0,0
ADAMTS4,2514.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.474906069300577,234.0,0.03749509,1.26441181554528e-06,3.0,8.839016382680285,2.0751249628428297,0.7550381820256069,0.09709565202594007,0.26245,0.26314999999999994,0,0,1,0,0
ADAMTSL4,3225.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.49291914767253,152.0,0.03127347,0.0005887446183600722,107.0,10.307699298670356,1.2582586210487805,0.2718702552006049,0.08694357547085094,0.020350378207906014,0.08516611057456243,0,0,1,0,0
AK2,720.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.623168837641032,233.0,0.02683501,5.0947884545253496e-05,31.0,11.11529778004596,0.4342826770208996,0.028965048224516662,0.011264531027025258,0.03195,0.03025,0,0,1,0,0
ALDH9A1,1557.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.295947359341085,408.0,-0.0003845727,4.424209178282366e-06,14.0,10.931405904203935,0.6351206576091014,0.04348705220696583,0.010377636336115343,0.0749,0.07079999999999999,0,0,1,0,0
ANKRD35,3006.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.31980893907987,456.5248738284066,0.019282663495738518,0.0,1.0,4.98372162766116,1.555026114041844,0.1542877351433269,0.13765575102667735,-0.0823,0.0822,0,0,1,0,0
AP4B1,2220.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.35479862292078,545.0,0.01264193,4.619835438584507e-07,4.0,8.393156294069499,0.5175150165235959,0.032599684895221887,0.008125823178199194,-0.04535,0.03555,0,0,1,0,0
ARHGAP29,3786.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.83041833826032,327.0,-0.008548422,1.1210784456458e-05,9.0,9.362522041108756,1.039761585041473,0.2718702552006049,0.08694357547085094,-0.27065,0.26985,0,0,1,0,0
ARHGEF2,2961.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.842672600659128,213.0,0.0321663,7.339305742058517e-05,42.0,11.164291480960534,0.5579254223925285,0.08313073277739705,0.035061389020226034,0.14825000000000002,0.14745,0,0,1,0,0
ATP1A2,3063.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.67268620325319,386.0,0.02299702,1.0175730680950039e-05,15.0,3.6595108708909287,2.0195069142806057,0.2718702552006049,0.08694357547085094,0.020350378207906014,0.08516611057456243,0,0,1,0,0
ATP1A4,3090.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.682785978668665,386.0,0.02907324,1.0179056657283298e-05,5.0,0.4253330546150053,0.629344803492484,0.8347768288503176,0.09622634768079104,0.083,0.0831,0,0,1,0,0
BCAN,2736.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.82039791471944,180.0,0.03666845,0.00024367720298562509,13.0,4.797249654718293,2.5951995675088293,0.2751070781137537,0.14213851674925182,0.0852,0.0869,0,0,1,0,0
C1orf109,612.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.763523940873203,375.0,0.02730565,0.00010340865664815756,46.0,8.213143251879108,0.5302548224854949,0.04884397122349619,0.037150365830669135,0.020350378207906014,0.08516611057456243,0,0,1,0,0
