gene	gene length	silent	nonsense	splice site	missense	recurrent missense	normalized missense position entropy	frameshift indel	inframe indel	normalized mutation entropy	lost start and stop	missense to silent	non-silent to silent	inactivating p-value	entropy p-value	vest p-value	combined p-value	expression_CCLE	replication_time	HiC_compartment	gene_betweeness	gene_degree
A3GALT2	1023	0.5	0.0	0.0	0.5	0.0	1.0	0.0	0.0	1.0	0.0	0.5	0.5	1.0	1.0	0.22568269013766645	0.5616396506922484	619223.2176391274	460.6222093918399	0.018310236927756608	0.0	0.0
AADACL3	1224	0.6666666666666666	0.0	0.0	0.3333333333333333	0.0	1.0	0.0	0.0	1.0	0.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0	1.0	145424.0	454.0	0.02278783	0.0	0.0
AADACL4	1224	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.6734006734006734	0.9396732473095374	145424.0	454.0	0.02278783	0.0	0.0
ABCA4	6822	0.2857142857142857	0.0	0.0	0.7142857142857143	0.0	1.0	0.0	0.0	1.0	0.0	1.6666666666666667	1.6666666666666667	1.0	1.0	0.8116883116883117	0.9810380398630908	512481.5	370.0	-0.001895926	0.0	1.0
ABCB10	2217	0.5	0.0	0.0	0.5	0.0	1.0	0.0	0.0	1.0	0.0	0.5	0.5	1.0	1.0	0.7936507936507936	0.9770727944153862	255826.4	277.0	0.02002447	2.798207415238828e-05	12.0
ABCD3	1980	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.3047851264858275	1.0	1.0	1.0	459823.6	348.0	-0.007712561	0.00016227685446233104	50.0
ABL2	3549	0.0	0.3333333333333333	0.0	0.6666666666666666	0.0	1.0	0.0	0.0	1.0	0.0	2.0	3.0	0.4091653027823241	1.0	0.4786979415988512	0.8313477657129866	328468.0	301.0	0.0055768530000000005	0.00013322127512867526	35.0
ACADM	1278	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.06681365671143183	0.2476012412338484	152733.9	578.0	-0.01324586	8.213403646317276e-05	49.0
ACAP3	2505	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.3901677721420211	0.7573852701451167	1744013.0	273.0	0.02773012	2.23720235201786e-08	2.0
ACBD3	1587	0.3333333333333333	0.0	0.0	0.6666666666666666	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.28034763106251753	0.6368726959284428	756400.3	214.0	0.02416004	0.00014136214738912968	24.0
