Gene	ID	gene length	non-silent snv	silent snv	nonsense	lost stop	splice site	lost start	missense	recurrent missense	normalized missense position entropy	frameshift indel	inframe indel	normalized mutation entropy
AADACL3	NA	1224	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AADACL4	NA	1224	2	0	0	0	0	0	2	0	1.0	0.0	0.0	1.0
ABCA4	NA	6822	9	1	0	0	0	0	9	0	1.0	1.0	0.0	1.0000000000000002
ABCB10	NA	2217	3	0	0	0	0	0	3	0	1.0	1.0	0.0	0.75
ABCD3	NA	1980	7	0	0	0	0	0	7	0	1.0	0.0	0.0	0.7964530359382728
ABL2	NA	3549	7	1	0	0	0	0	7	0	1.0	1.0	0.0	1.0
ACAP3	NA	2505	4	1	0	0	0	0	4	0	1.0	0.0	0.0	0.8277293767706428
ACBD3	NA	1587	3	0	0	0	0	0	3	0	1.0	1.0	0.0	1.0
ACOT11	NA	1824	1	0	0	0	0	0	1	0	1.0	2.0	0.0	0.579380164285695
ACOT7	NA	1143	1	0	0	0	0	0	1	0	1.0	2.0	0.0	0.579380164285695
ACTA1	NA	1134	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ACTL8	NA	1101	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ACTN2	NA	2685	7	5	1	0	1	0	5	0	1.0	1.0	0.0	0.9011575366850628
ACTRT2	NA	1134	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ADAM15	NA	2592	1	1	0	0	0	0	1	0	1.0	2.0	0.0	0.75
ADAM30	NA	2373	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ADAMTSL4	NA	3225	1	0	0	0	0	0	1	0	1.0	1.0	0.0	1.0
ADAR	NA	3681	2	1	0	0	0	0	2	0	1.0	0.0	0.0	1.0
ADCK3	NA	1944	3	6	1	0	0	0	2	0	1.0	1.0	0.0	0.9397940008672039
ADCY10	NA	4833	5	2	1	0	0	0	4	0	1.0	2.0	0.0	0.8333333333333335
