gene	gene length	silent	nonsense	splice site	missense	recurrent missense	normalized missense position entropy	frameshift indel	inframe indel	normalized mutation entropy	lost start and stop	missense to silent	non-silent to silent	inactivating p-value	entropy p-value	vest p-value	combined p-value	expression_CCLE	replication_time	HiC_compartment	gene_betweeness	gene_degree
AHCTF1	6828	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.6540222367560498	0.9317291870156476	422581.0	405.0	0.004111425	4.1223181878505266e-05	15.0
ARHGEF19	2409	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.031498047121078496	1.0	1.0	1.0	824718.8	186.0	0.04027805	0.0	0.0
C1orf86	693	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.6779661016949152	0.9414630439266326	849778.8	293.0	0.02456286	6.098820621252992e-05	14.0
C1orf94	1797	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.4901960784313725	0.8396812783608456	28615.62	907.0	0.01607165	0.00021495139705683368	63.0
CADM3	1299	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	99569.46	785.0	0.014330200000000001	0.0	0.0
CELSR2	8772	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	994134.5	287.0	0.03056305	4.51090529906267e-06	9.0
CHD5	5865	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	620865.8	240.0	0.03039633	5.120663270611904e-07	16.0
CHML	1971	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.2751031636863824	0.6301538132009583	578602.8247310757	478.68388429752065	0.017407570743426297	6.8246788809197275e-06	11.0
CNST	2178	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	416572.8	346.0	0.003618809	0.00013911716515765707	13.0
COL9A2	2070	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.2774694783573807	0.6331976525377614	627703.3	373.0	0.0184817	2.6475284222692253e-07	4.0
CR1L	1710	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	386489.5	361.0	0.01291692	0.0	0.0
DCDC2B	1050	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1460758.0	218.0	0.02930987	1.5258607147547018e-06	5.0
DNAJC8	762	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.2364625206904705	0.5774333313999412	779314.4	213.0	0.03315278	3.815670755284909e-05	24.0
DR1	531	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.6635700066357001	0.9357139480055464	699814.6	223.0	0.01333191	6.4572162945824e-05	37.0
ELTD1	2073	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.12599218848431398	0.38698946328697736	74049.38	903.0	-0.01691914	0.0	2.0
ESRRG	1413	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.44130626654898497	0.8023019252452844	15598.65	1132.0	-0.02793805	5.336062233828758e-05	30.0
EYA3	1722	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.14905351021016544	0.4327694005933449	827177.0	316.0	0.02753917	3.887193437823654e-06	5.0
F5	6675	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.28851702250432776	0.6471440251856361	294416.2	415.0	0.0111471	6.8391898024312284e-06	9.0
FCRL1	1290	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.3889537145079736	0.7562407344549795	113185.8	829.0	0.02621864	0.0	0.0
GNB1	1023	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.4921259842519685	0.8410534102934231	1492510.0	229.0	0.02599404	0.0006912587460128816	80.0
IL24	624	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.14836795252225518	1.0	1.0	1.0	467839.2	385.0	0.0387394	9.792696756509322e-07	4.0
ITPKB	2841	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.26343519494204426	0.6148440149493366	508274.3	407.0	0.01908919	1.188314241350905e-06	3.0
JAK1	3465	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.1063264221158958	1.0	1.0	1.0	269434.0	396.0	-0.005437463000000001	0.00047243078240005184	78.0
LCE4A	300	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	169157.6	818.0	0.0241362	8.46054463915683e-06	23.0
LRRIQ3	1875	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.5032712632108707	1.0	1.0	1.0	58596.77	1188.0	-0.01826199	9.538970434450752e-07	4.0
MTOR	7650	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.12898232942086935	0.3931484412790949	577167.0	416.0	0.03177134	0.0011287275307097762	128.0
NCF2	1581	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.6381620931716656	0.9248008700535314	618153.1	407.0	0.03080687	2.804439843431143e-05	19.0
NLRP3	3111	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0711490572749911	0.2591944649134468	578602.8247310757	478.68388429752065	0.017407570743426297	3.1029278132148897e-06	8.0
NME7	1131	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.5353319057815846	0.8698438649928538	270055.3	491.0	0.0115975	0.0001731463341742601	39.0
OR6K3	948	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	175689.7	966.0	0.001844479	0.0	0.0
PADI2	1998	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.3057169061449098	1.0	1.0	1.0	610093.0	194.0	0.04459804	0.0	0.0
PAPPA2	5376	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.25006251562890724	0.5966602475280524	39980.38	863.0	-0.01034029	8.134804344250316e-07	3.0
PPM1J	1518	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.2253267237494367	0.5611094692452463	559669.1	325.0	0.02719753	0.0	1.0
PRDM2	5157	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.4847309743092584	0.8357543548662698	68342.23	892.0	0.02495296	8.901033246259819e-07	12.0
PTBP2	1596	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.6191950464396285	0.9159968771979072	334206.5	676.0	-0.01605845	8.184770658774973e-06	21.0
RPS6KC1	3201	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.7587253414264037	0.9682211199395412	226812.9	600.0	-0.000338861	4.170714926766818e-06	4.0
