gene	gene length	silent	nonsense	splice site	missense	recurrent missense	normalized missense position entropy	frameshift indel	inframe indel	normalized mutation entropy	lost start and stop	missense to silent	non-silent to silent	inactivating p-value	entropy p-value	vest p-value	combined p-value	expression_CCLE	replication_time	HiC_compartment	gene_betweeness	gene_degree
AADACL3	1224	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.01519849230956289	0.07882787777691523	145424.0	454.0	0.02278783	0.0	0.0
AADACL4	1224	0.5	0.0	0.0	0.5	0.0	1.0	0.0	0.0	1.0	0.0	0.5	0.5	1.0	1.0	0.4137360364087712	0.7788693014982813	145424.0	454.0	0.02278783	0.0	0.0
ABCA4	6822	0.0	0.0	0.5	0.5	0.0	1.0	0.0	0.0	1.0	0.0	1.0	2.0	0.16823687752355315	1.0	0.4576659038901602	0.8153848185572327	512481.5	370.0	-0.001895926	0.0	1.0
ABCD3	1980	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	459823.6	348.0	-0.007712561	0.00016227685446233104	50.0
ACBD6	849	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.17911517105498834	0.4871442354161247	543108.1	445.0	0.01167259	2.050000935228513e-06	3.0
ACOT11	1824	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.1535862386730149	0.4413289900560172	688013.7	415.0	0.01756964	7.678666519753551e-08	4.0
ACTL8	1101	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.2288853284504463	0.5663845616775691	249962.3	416.0	0.02650356	0.0	1.0
ADAM30	2373	0.0	0.0	0.0	0.6666666666666666	0.0	1.0	0.3333333333333333	0.0	1.0	0.0	2.0	3.0	1.0	1.0	0.057613642910641236	0.2220427425959984	390094.2	560.0	0.009313993000000001	0.0	0.0
ADCY10	4833	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	534610.7	238.0	0.01328722	0.0	0.0
ADIPOR1	1128	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.6939625260235948	0.947492933391662	421205.7	389.0	0.03032769	3.8266747506163036e-05	11.0
ADORA3	1044	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.2717391304347826	0.6257915087447934	374092.3	330.0	0.02739502	4.1604108441729285e-06	12.0
AGRN	6138	0.5	0.0	0.0	0.0	0.0	1.0	0.5	0.0	1.0	0.0	0.0	0.5	1.0	1.0	1.0	1.0	1971475.0	239.0	0.01491109	9.33204613905154e-06	10.0
AGT	1458	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0938174312787316	0.31582743275232183	422372.1	568.0	0.00627829	5.497217174772501e-05	11.0
AHCTF1	6828	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.3785011355034065	0.7462286926949787	422581.0	405.0	0.004111425	4.1223181878505266e-05	15.0
AHDC1	4812	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.098833761612967	0.3275663190225088	738004.3	217.0	0.02515438	3.121233630167117e-05	10.0
AIM1L	4986	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.32289312237649337	0.6879024543077383	1021101.0	217.0	0.02159451	0.0	0.0
AK5	1689	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.2340276152586005	0.5739097020037185	484699.3	536.0	-0.008071406	1.8151959906919063e-06	8.0
AKR7L	996	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	799326.0	448.0	0.03513426	0.0	1.0
ALDH4A1	1692	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	642600.0	453.0	0.02718929	1.57249907427897e-05	23.0
ALPL	1575	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.5500550055005501	0.8788432319886068	547986.3	297.0	0.0418635	0.0	2.0
AMIGO1	1482	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.5837711617046117	0.8979837824529964	1056159.0	272.0	0.03738143	1.7706509134063115e-05	13.0
AMPD1	2343	0.5	0.0	0.0	0.5	0.0	1.0	0.0	0.0	1.0	0.0	0.5	0.5	1.0	1.0	0.6218905472636815	0.9172830663910291	600650.2	472.0	0.01059793	1.5588598857844034e-06	5.0
AMPD2	2640	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	989433.2	201.0	0.029085700000000003	1.391998329508335e-05	15.0
AMY2B	1536	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.36643459142543056	0.734311191544962	31275.85	974.0	-0.01881541	0.0	1.0
ANKRD13C	1626	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.08200754469411185	0.2871038238056113	295771.9	396.0	-0.001240119	2.9449640668634333e-06	4.0
ANKRD35	3006	0.4	0.0	0.0	0.6	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.3029385034837928	0.6647153749988053	627764.5801869582	471.89927205011	0.017736618988668365	0.0	1.0
AP4B1	2220	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.43308791684712	0.7955021785934857	335230.6	545.0	0.01264193	4.619835438584507e-07	4.0
ARHGAP29	3786	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	1.0	0.11246063877642826	0.35820422808164065	466143.7	327.0	-0.008548422	1.1210784456458e-05	9.0
ARHGAP30	3306	0.3333333333333333	0.0	0.0	0.6666666666666666	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.5659309564233164	0.8881059385045609	689033.1	250.0	0.02271094	0.0	0.0
ARHGEF10L	3840	0.3333333333333333	0.0	0.0	0.6666666666666666	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.14573010784027982	0.4264061417132409	375252.2	279.0	0.03035749	0.0	0.0
ARHGEF16	2130	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	248448.3	483.0	0.02143424	1.5429093062171875e-06	5.0
ARID1A	6858	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.07902015013828527	0.2795774313707694	975965.1	182.0	0.02749164	0.00010715271733528008	52.0
ASH1L	8895	0.6666666666666666	0.0	0.0	0.0	0.0	1.0	0.3333333333333333	0.0	1.0	0.0	0.0	0.3333333333333333	1.0	1.0	1.0	1.0	1960625.0	247.0	0.03315029	1.4643366527007545e-07	5.0
ASTN1	3885	0.3333333333333333	0.0	0.0	0.6666666666666666	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.8417508417508418	0.9867602869869134	6546.731	940.0	-0.009137709	0.0	0.0
