Gene	ID	gene length	non-silent snv	silent snv	nonsense	lost stop	splice site	lost start	missense	recurrent missense	normalized missense position entropy	frameshift indel	inframe indel	normalized mutation entropy
AADACL3	NA	1224	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AADACL4	NA	1224	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ABCA4	NA	6822	6	2	0	0	0	0	6	0	1.0	1.0	0.0	1.0
ABCB10	NA	2217	2	0	0	0	0	0	2	0	1.0	0.0	0.0	1.0
ABCD3	NA	1980	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ABL2	NA	3549	1	1	1	0	0	0	0	0	1.0	0.0	0.0	1.0
ACADM	NA	1278	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ACAP3	NA	2505	0	1	0	0	0	0	0	0	1.0	1.0	0.0	1.0
ACBD3	NA	1587	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ACOT7	NA	1143	2	0	0	0	0	0	2	0	1.0	0.0	0.0	1.0
ACP6	NA	1287	2	1	0	0	0	0	2	0	1.0	0.0	0.0	1.0
ACTA1	NA	1134	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ACTN2	NA	2685	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ACTRT2	NA	1134	0	3	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ADAM15	NA	2592	4	2	0	0	0	0	4	0	1.0	0.0	0.0	1.0
ADAM30	NA	2373	2	0	0	0	0	0	2	0	1.0	0.0	0.0	1.0
ADAMTS4	NA	2514	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ADAMTSL4	NA	3225	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ADAR	NA	3681	3	0	0	0	0	0	3	0	1.0	0.0	0.0	1.0
ADCK3	NA	1944	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ADCY10	NA	4833	2	2	0	0	0	0	2	0	1.0	0.0	0.0	1.0
ADORA1	NA	981	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ADORA3	NA	1044	1	0	1	0	0	0	0	0	1.0	0.0	0.0	1.0
AGL	NA	4599	2	1	0	0	0	0	2	0	1.0	0.0	0.0	1.0
AGMAT	NA	1059	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AGRN	NA	6138	3	1	0	0	0	0	3	0	1.0	0.0	0.0	1.0
AHCTF1	NA	6828	7	1	0	0	0	0	7	0	1.0	0.0	0.0	1.0
AHCYL1	NA	1593	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
