gene,gene length,silent,nonsense,splice site,missense,recurrent missense,frameshift indel,inframe indel,lost start and stop,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,exp_mean,exp_std,methy_mean,methy_std,cna_mean,cna_std,3'UTR,5'UTR,SNP,DEL,INS
AHCTF1,6828.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.688871791014453,405.0,0.004111425,4.1223181878505266e-05,15.0,8.799663860990602,0.9514639770957072,0.8908216521287289,0.0987581733501618,0.010900000000000002,0.007100000000000001,0,0,1,0,0
ARHGEF19,2409.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6535445188694,186.0,0.04027805,0.0,0.0,6.380854319652798,0.8744572462080699,0.6092000849079406,0.09871565411521772,-0.0124,0.0148,0,0,1,0,0
C1orf86,693.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.69672952438809,293.0,0.02456286,6.098820621252992e-05,14.0,10.479603254591684,0.6819558868125848,0.04459110436593288,0.00754544602018349,0.015508066302713825,0.11672541274035253,0,0,1,0,0
C1orf94,1797.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.804565660376953,907.0,0.01607165,0.00021495139705683368,63.0,0.21934928367510784,0.3808230296077837,0.8144093643931491,0.13813973361568216,0.0218,0.0202,0,0,1,0,0
CADM3,1299.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.603430174728356,785.0,0.014330200000000001,0.0,0.0,4.06998947632493,2.8637088145592697,0.29715614382101097,0.10009099724461114,0.015508066302713825,0.11672541274035253,0,0,1,0,0
CELSR2,8772.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.923082977990155,287.0,0.03056305,4.51090529906267e-06,9.0,12.36750142017588,0.7211982149199064,0.07575046085262267,0.044882856431766927,0.015508066302713825,0.11672541274035253,0,0,1,0,0
CHD5,5865.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.243924262058727,240.0,0.03039633,5.120663270611904e-07,16.0,4.008446692029973,1.3311081631080517,0.17094743666862916,0.2608173137308082,0.015508066302713825,0.11672541274035253,0,0,1,0,0
CHML,1971.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.142216334348493,478.6838842975208,0.017407570743426297,6.8246788809197275e-06,11.0,7.596951440437674,1.1238418401647814,0.9375599478490636,0.031014832067206375,-0.04785,0.04995,0,0,1,0,0
CNST,2178.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.668212579781045,346.0,0.003618809,0.00013911716515765707,13.0,8.37053979589329,0.60081191133441,0.29715614382101097,0.10009099724461114,0.015508066302713825,0.11672541274035253,0,0,1,0,0
COL9A2,2070.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.25972556637107,373.0,0.0184817,2.6475284222692253e-07,4.0,5.582932362322887,1.935057151968256,0.09676615333560737,0.07331774416291538,0.0218,0.0202,0,0,1,0,0
CR1L,1710.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.560073427341575,361.0,0.01291692,0.0,0.0,0.4610968014691949,0.7905583320982678,0.29715614382101097,0.10009099724461114,0.015508066302713825,0.11672541274035253,0,0,1,0,0
DCDC2B,1050.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.478286747339197,218.0,0.02930987,1.5258607147547018e-06,5.0,0.2747177383926825,0.4222089916930574,0.29715614382101097,0.10009099724461114,0.015508066302713825,0.11672541274035253,0,0,1,0,0
DNAJC8,762.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.571847800061022,213.0,0.03315278,3.815670755284909e-05,24.0,10.619903756413793,0.38004663765539776,0.29715614382101097,0.10009099724461114,-0.0019,0.0034,0,0,1,0,0
DR1,531.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.416615299334364,223.0,0.01333191,6.4572162945824e-05,37.0,9.442172684993334,0.7272965211455389,0.033982317006494074,0.01424061553137147,0.01225,0.01105,0,0,1,0,0
ELTD1,2073.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.176219518476252,903.0,-0.01691914,0.0,2.0,5.007072840061004,1.2476106413022257,0.29715614382101097,0.10009099724461114,-0.03825,0.04195,0,0,1,0,0
ESRRG,1413.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.929226040115894,1132.0,-0.02793805,5.336062233828758e-05,30.0,3.004535402700855,2.1646230737524106,0.0727966806010776,0.022329590767221,-0.01855,0.02005,0,0,1,0,0
EYA3,1722.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.657838290030465,316.0,0.02753917,3.887193437823654e-06,5.0,7.1074837708624505,1.2627527031189558,0.03320183922417782,0.012113819828961607,-0.015449999999999997,0.016649999999999998,0,0,1,0,0
F5,6675.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.167502431259237,415.0,0.0111471,6.8391898024312284e-06,9.0,3.0153432278078607,2.2046589694987007,0.37806094279932656,0.2718066292318786,-0.0558,0.057,0,0,1,0,0
FCRL1,1290.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.78834619334035,829.0,0.02621864,0.0,0.0,0.4545153433868505,1.1532049497650787,0.30819175276847155,0.1939276732568744,0.01985,0.01995,0,0,1,0,0
GNB1,1023.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.509310133703345,229.0,0.02599404,0.0006912587460128816,80.0,12.70528306547302,0.3494519472672813,0.039383919529427,0.025723171401305617,0.015508066302713825,0.11672541274035253,0,0,2,0,0
IL24,624.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.835656307586863,385.0,0.0387394,9.792696756509322e-07,4.0,1.5358287467978844,1.2957430726913366,0.9054667893136432,0.053898210629406376,0.04505,0.04495,0,0,1,0,0
