Gene	ID	gene length	non-silent snv	silent snv	nonsense	lost stop	splice site	lost start	missense	recurrent missense	normalized missense position entropy	frameshift indel	inframe indel	normalized mutation entropy
AADACL3	NA	1224	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ABCA4	NA	6822	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ADORA1	NA	981	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AGBL4	NA	1512	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AGL	NA	4599	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AIM1L	NA	4986	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
AMPD2	NA	2640	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AMY2B	NA	1536	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ARHGAP29	NA	3786	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ARHGAP30	NA	3306	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ARHGEF11	NA	4689	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ARHGEF2	NA	2961	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ARID1A	NA	6858	2	0	1	0	0	0	1	0	1.0	1.0	0.0	0.579380164285695
ASAP3	NA	2712	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ASPM	NA	10434	2	0	0	0	0	0	2	0	1.0	0.0	0.0	1.0
ATG4C	NA	1377	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ATP2B4	NA	3618	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
B3GALNT2	NA	1503	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
BARHL2	NA	1164	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
BCL10	NA	702	1	0	1	0	0	0	0	0	1.0	0.0	0.0	1.0
BTG2	NA	477	9	1	0	0	0	0	9	0	1.0	0.0	0.0	1.0
C1orf112	NA	2562	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
C1orf27	NA	1365	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
C1orf61	NA	471	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
C1orf87	NA	1641	1	0	0	0	1	0	0	0	1.0	0.0	0.0	1.0
C8A	NA	1755	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CACNA1E	NA	6942	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CADM3	NA	1299	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CAMSAP2	NA	4437	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
CASZ1	NA	5280	2	0	0	0	0	0	2	0	1.0	0.0	0.0	1.0
CD1A	NA	984	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
CD2	NA	1056	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
