Gene	ID	gene length	non-silent snv	silent snv	nonsense	lost stop	splice site	lost start	missense	recurrent missense	normalized missense position entropy	frameshift indel	inframe indel	normalized mutation entropy
ABCA4	NA	6822	0	2	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ABL2	NA	3549	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ACP6	NA	1287	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
ACTA1	NA	1134	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ADAM15	NA	2592	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ADAMTSL4	NA	3225	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ADSS	NA	1371	0	1	0	0	0	0	0	0	1.0	0.0	0.0	1.0
AGL	NA	4599	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AGRN	NA	6138	2	0	0	0	0	0	2	0	1.0	0.0	0.0	-0.0
AJAP1	NA	1236	1	0	1	0	0	0	0	0	1.0	0.0	0.0	1.0
AKT3	NA	1440	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
AMPD2	NA	2640	2	1	1	0	0	0	1	0	1.0	0.0	0.0	1.0
ANGPTL1	NA	1476	1	1	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ANGPTL3	NA	1383	1	0	1	0	0	0	0	0	1.0	0.0	0.0	1.0
ANGPTL7	NA	1041	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ANKRD35	NA	3006	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ARHGAP30	NA	3306	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ARHGEF19	NA	2409	1	0	0	0	0	0	1	0	1.0	0.0	0.0	1.0
ARHGEF2	NA	2961	2	0	0	0	0	0	2	0	1.0	0.0	0.0	1.0
ASH1L	NA	8895	3	0	0	0	0	0	3	0	1.0	0.0	0.0	1.0
ASTN1	NA	3885	0	2	0	0	0	0	0	0	1.0	0.0	0.0	1.0
