,gene length,silent,nonsense,splice site,missense,recurrent missense,frameshift indel,inframe indel,lost start and stop,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,exp_mean,exp_std,methy_mean,methy_std,cna_mean,cna_std,3'UTR,5'UTR,SNP,DEL,INS
TP53,0.0,0.0046874301984670685,0.03282996496293261,0.0,0.005826811757472183,0.14893042451485855,0.02484883122472492,0.0,0.0,0.0,0.001251197626964684,0.005107988718332068,0.11050572796425978,0.14256387820154004,0.02065392292247764,0.0,0.0074973251159224374,0.0,0.021285678830477495,0.021047153259673157,0.0,0.0,0.05689786146136766,0.08975259934672503,0.0579996242695453
PIK3CA,0.02256863000487816,0.003891324815116573,-0.007090620663414177,0.0,0.0036129951780562303,0.0,0.0,0.0,0.0,0.0,0.006103842638360793,-0.012803404583957428,0.05191647345295032,0.0983625835252794,0.0,0.0027128837628979385,0.003984984965967678,-0.015952689121848142,0.0,0.0020100246947492295,0.0,0.0,0.07808367742098987,0.0,0.0
PTEN,-0.0180689407949019,0.0,0.04128020856801484,0.013649521282510096,0.013807623254816409,0.0,0.0,0.0,0.0,0.0025226765559879794,0.005489349238189889,0.01534559292502713,0.13411990846039668,0.17885284937583323,0.023204975897839125,0.0,0.0,0.0,0.031086576967143675,0.05337992842002265,0.0,0.0,0.06415900736771812,0.0,0.0
ARID1A,0.10217523295054212,0.0,0.06038640490481528,0.0,0.009614846163110813,0.0,0.0330436479845983,0.0,0.0,0.0,0.0,0.0,0.02630733375989594,0.08759296849194861,0.022107677763663014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016070956515135987,0.04529620747182295,0.016947343114765312
FBXW7,0.0044525321488625424,0.0025271766482323765,0.04578914801295525,0.002985818718195976,0.016058698317051368,0.0,0.031609917575466384,0.0,0.0,0.002935624934555764,0.0,0.031954427292869125,0.10598687022388137,0.1646468200632648,0.0,0.003549847786583793,0.0038066442521056953,0.0,0.032710168802358996,0.02690375675284029,0.0,0.0,0.061343588299831386,0.09022293455596131,0.009916731705009951
CTNNB1,0.009516472965915818,-0.005286179710962499,-0.007578174788958392,0.0,-0.017068818986695683,-0.0013072969445851595,-0.003331878071740013,0.0,0.0,-0.007547430551849449,0.0,-0.007833174736091186,0.1360940836963417,0.19698811715553816,0.022666059010342077,-0.01295743353767051,-0.005461620483353358,-0.011323264574330014,-0.011505097219195654,0.0048322947885920675,-0.003752988010348665,0.0,0.02676730909554806,-0.003795987292184999,0.0
SMAD4,0.005470629111884423,0.0,0.0,0.0,0.0,0.0,0.023999637529495688,0.0,0.0,0.0,0.005938828326652268,0.025430229937248305,0.14380143678721327,0.22152092649468155,0.01851798259816545,0.0,0.0,0.0,0.021634832279652016,0.026072345759296983,0.0,0.0,0.058234541486658936,0.047493601493363236,0.0
APC,0.05413222289558628,0.0026464265710456902,0.061734564860463914,0.0,0.019822011911561244,0.0,0.04344862833186375,0.0,0.0,0.0,0.004614605879871836,0.00686260421890128,0.09407792710997215,0.15599887937516282,0.0070288364456041474,0.0,0.0023215256079670565,0.03131458136831422,0.023958012226999448,0.016787443903878096,0.0,0.0,0.05004237662052735,0.09260072725793045,0.09143790293294818
GNAS,0.03920347795221904,0.0028233709057994827,0.0,0.0,0.008911013182153371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09270571583383785,0.1237473537812955,0.04776311373495762,0.0,0.013984393301717746,0.07039198623657159,0.0,0.003664655300619546,0.0,0.0,0.019919911575140503,0.0,0.0
SMAD2,-0.017558822856401868,0.0,0.053213377619117375,0.0,0.01255649308572071,0.0,0.0,0.0,0.0,0.01067518896129871,0.0,0.011256619977781157,0.18219406151990053,0.2791320841744192,0.017349792571463074,0.0,0.0,0.01556568156739313,0.03225940145372047,0.03291404805475767,0.0,0.0,0.018557065675142037,0.0,0.0
BRAF,-0.004602067587046656,-0.01304504170625187,-0.002683318074825844,-0.0007013269801432881,-0.013866625411993672,-0.0013851293921464045,-0.002939709773830547,0.0,0.0,-0.00448373589064531,0.006657597095785964,-0.0063207518559175585,-0.012321310903084533,0.05405975968654089,-0.009357019638692607,-0.0006968050192594014,0.0027018030708478857,-0.008365719195091256,-0.005100009288668814,-0.01207633382486275,-0.00029635391962990615,-0.001393868405319007,-0.02172551531666566,-0.003258977497654962,-0.0013988340814182348
ACVR2A,-0.018331105985970972,-0.009165745626191109,0.026672761760742035,0.0,0.006699634311591075,-0.0013802231724719081,0.055931708652772055,0.0,0.0,0.002985991271574215,-0.0012150700477790224,-0.016552582053878072,-0.009519696533599641,0.02217829460696795,-0.014659402374916156,-0.012159449878611776,0.006290858963980395,-0.005875348648700485,-0.004425235413879444,-0.003150526390419593,0.0,-0.0006988329267048343,0.0,0.03337849212734183,-0.0017466736946772018
KRAS,0.0,0.0,0.0,0.0,0.003037395037392032,0.3361002666454348,0.0,0.0,0.0,0.0,0.0,0.0,0.059529451457873916,0.07010676494602813,0.023171379493056393,0.0,0.022464751571288605,0.0,0.0,0.0348227123422018,0.0,0.0,0.1417394131681795,0.0,0.0
NRAS,0.0,0.0,0.0,0.0,0.0,0.38076218770006154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023414681560396056,0.02056696124574997,0.0,0.0,0.0,0.008004568673214196,0.013175939689912458,0.0,0.0,0.045047795792120704,0.0,0.0
