gene,gene length,silent,nonsense,splice site,missense,recurrent missense,frameshift indel,inframe indel,lost start and stop,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,exp_mean,exp_std,methy_mean,methy_std,cna_mean,cna_std,3'UTR,5'UTR,SNP,DEL,INS
AADACL3,1224.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.149915778602672,454.0,0.02278783,0.0,0.0,0.1657991506725381,0.5329515323766214,0.2700766447688331,0.10098526538322378,0.02155,0.02765,0,0,1,0,0
AADACL4,1224.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,17.149915778602672,454.0,0.02278783,0.0,0.0,0.4743606261584088,0.8681803129285456,0.2700766447688331,0.10098526538322378,0.25015,0.25075,0,0,2,0,0
ABCA4,6822.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,18.96714321545631,370.0,-0.001895926,0.0,1.0,3.6094030624176745,1.5253706354005667,0.9099592024812077,0.09478156360281688,-7.499999999999521e-05,0.08900408347373731,0,0,2,0,0
ABCD3,1980.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.81072412480923,348.0,-0.007712561,0.00016227685446233104,50.0,9.510458053382052,0.5203862880541859,0.05559282657103578,0.023339878536124792,0.03584882086220026,0.14129255144074826,0,0,1,0,0
ACBD6,849.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0508825108068,445.0,0.01167259,2.050000935228513e-06,3.0,9.19051025171357,0.5376423652386734,0.0439332752502361,0.02753359343349637,0.0495,0.11082206459004453,0,0,2,0,0
ACOT11,1824.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.39207986405974,415.0,0.01756964,7.678666519753551e-08,4.0,6.243470522544566,1.302939136928292,0.1837535939462705,0.17171539988041046,0.0477,0.1059272155774898,0,0,2,0,0
ACTL8,1101.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.931356766145438,416.0,0.02650356,0.0,1.0,1.0541008087778982,1.555572928154365,0.2700766447688331,0.10098526538322378,0.03584882086220026,0.14129255144074826,0,0,1,0,0
ADAM30,2373.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,18.57346672099513,560.0,0.009313993000000001,0.0,0.0,0.08643419893382531,0.22727725621035946,0.7569628763822003,0.18566390898760526,0.04726,0.13020137633681142,0,0,2,0,1
ADCY10,4833.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.02813188580619,238.0,0.01328722,0.0,0.0,1.5825113591526103,0.8849370232917296,0.2700766447688331,0.10098526538322378,0.03584882086220026,0.14129255144074826,0,0,1,0,0
ADIPOR1,1128.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.68416885947066,389.0,0.03032769,3.8266747506163036e-05,11.0,10.977347765099264,0.3806106407971477,0.02273204008781034,0.007102916187904362,0.1203,0.1183,0,0,1,0,0
ADORA3,1044.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.513038601931182,330.0,0.02739502,4.1604108441729285e-06,12.0,7.344005270585264,1.6160578290660064,0.6740670676144574,0.2468833518186165,0.05905,0.05705,0,0,1,0,0
AGRN,6138.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,20.910844717055358,239.0,0.01491109,9.33204613905154e-06,10.0,11.30771018651908,1.0675126861898845,0.2700766447688331,0.10098526538322378,0.03584882086220026,0.14129255144074826,0,0,1,1,0
AGT,1458.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.688158430031887,568.0,0.00627829,5.497217174772501e-05,11.0,8.123749044616995,2.546678285283435,0.4704916918836016,0.21138567499675384,0.1203,0.1183,0,0,1,0,0
AHCTF1,6828.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.688871791014453,405.0,0.004111425,4.1223181878505266e-05,15.0,9.891799383712783,0.6827752879621142,0.7789221610948436,0.17105636883080405,0.1203,0.1183,2,0,3,0,0
AHDC1,4812.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.493271651503324,217.0,0.02515438,3.121233630167117e-05,10.0,10.452458622808852,0.7466239009771299,0.2700766447688331,0.10098526538322378,0.05905,0.05705,0,0,1,0,0
AIM1L,4986.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.961695556542946,217.0,0.02159451,0.0,0.0,2.6068892338442002,1.798722660355981,0.2700766447688331,0.10098526538322378,0.05905,0.05705,0,0,1,0,0
AK5,1689.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.886733449881863,536.0,-0.008071406,1.8151959906919063e-06,8.0,4.5116109625531635,2.821533220912153,0.10851546613517883,0.1270236060552711,0.05905,0.05705,0,0,1,0,0
